"Dist Code","Year","State Code","State Name","Dist Name","PRIMARY SECTOR CONSTANT PRICES (Millions in Rs)","PRIMARY SECTOR CURRENT PRICES (Millions in Rs)","PRIMARY SECTOR CONSTANT SHARES (Percent)","PRIMARY SECTOR CURRENT SHARES (Percent)","SECONDARY SECTOR CONSTANT PRICES (Millions in Rs)","SECONDARY SECTOR CURRENT PRICES (Millions in Rs)","SECONDARY SECTOR CONSTANT SHARES (Percent)","SECONDARY SECTOR CURRENT SHARES (Percent)","TERTIARY SECTOR CONSTANT PRICES (Millions in Rs)","TERTIARY SECTOR CURRENT PRICES (Millions in Rs)","TERTIARY SECTOR CONSTANT SHARES (Percent)","TERTIARY SECTOR CURRENT SHARES (Percent)","TOTAL CONSTANT PRICES (Millions in Rs)","TOTAL CURRENT PRICES (Millions in Rs)","PER CAPITA CURRENT PRICES (1000 in Rs)"
"34","2010 (2004)","6","Madhya Pradesh","Jhabua","3434","5653","33.73","36.83","2422","3519","23.79","22.93","4324","6176","42.48","40.24","10180","15349","15"
"34","2011 (2004)","6","Madhya Pradesh","Jhabua","3955","7029","35.15","38.3","2537","3947","22.55","21.5","4761","7377","42.31","40.19","11253","18354","18"
"34","2012 (2004)","6","Madhya Pradesh","Jhabua","4556","8950","36.63","40.31","2711","4485","21.79","20.2","5172","8769","41.58","39.49","12439","22204","21"
"34","2013 (2004)","6","Madhya Pradesh","Jhabua","5430","12095","38.75","43.88","2818","5104","20.11","18.52","5766","10367","41.14","37.61","14014","27566","25"
"35","2007 (2004)","6","Madhya Pradesh","Khargone","9780","11707","34.17","34.34","5965","7077","20.84","20.76","12877","15308","44.99","44.9","28622","34092","20"
"35","2008 (2004)","6","Madhya Pradesh","Khargone","11320","15160","34.86","35.97","7186","9146","22.13","21.7","13966","17837","43.01","42.32","32471","42144","24"
"35","2009 (2004)","6","Madhya Pradesh","Khargone","13224","19524","36.3","38.8","7774","10289","21.34","20.45","15429","20503","42.36","40.75","36427","50316","28"
"35","2010 (2004)","6","Madhya Pradesh","Khargone","13096","21545","34.06","37.1","8578","12181","22.31","20.98","16774","24343","43.63","41.92","38448","58069","32"
"35","2011 (2004)","6","Madhya Pradesh","Khargone","16268","28805","37.63","40.68","8925","13628","20.64","19.25","18044","28376","41.73","40.07","43237","70809","38"
"35","2012 (2004)","6","Madhya Pradesh","Khargone","20223","39642","41.18","44.85","9407","15317","19.15","17.33","19483","33434","39.67","37.82","49113","88393","46"
"35","2013 (2004)","6","Madhya Pradesh","Khargone","26062","58203","45.64","51.04","9687","16981","16.96","14.89","21357","38851","37.4","34.07","57107","114034","58"
"36","2007 (2004)","6","Madhya Pradesh","Khandwa","6117","7327","32.01","32.33","4601","5473","24.08","24.15","8389","9861","43.91","43.52","19107","22661","19"
"36","2008 (2004)","6","Madhya Pradesh","Khandwa","6138","8232","29.71","30.85","5408","6946","26.18","26.03","9111","11509","44.1","43.13","20658","26687","22"
