Key, State Code, State, District code, District, Year,Mango Area (000Ha),Mango Production (000Tonnes),Orange  Area (000Ha),Orange Production (000Tonnes),Sweet Orange Area (000Ha),Sweet Orange Production (000Tonnes), Mandarin Orange Area (000Ha), Mandarin Orange Production (000Tonnes),Orange(Santra) Area (000Ha),Orange(Santra) Production (000Tonnes),Malta Area (000Ha),Malta Production (000Tonnes),Mausmi Area (000Ha),Mausmi #N/A,Banana Area (000Ha),Banana Production (000Tonnes),Grapes Area (000Ha),Grapes Production (000Tonnes),Guava Area (000Ha),Guava Production (000Tonnes),Papaya Area (000Ha),Papaya Production (000Tonnes),Water Melon Area (000Ha),Water Melon Production (000Tonnes),Litchi Area (000Ha),Litchi Production (000Tonnes),Custard Apple Area (000Ha),Custard Apple Production (000Tonnes),Aonla Area (000Ha),Aonla Production (000Tonnes), Amla Area (000Ha), Amla Production (000Tonnes),Ber Area (000Ha),Ber Production (000Tonnes),Jack fruit Area (000Ha),Jack fruit Production (000Tonnes),Sapota  Area (000Ha),Sapota Production (000Tonnes),Pomegranate Area (000Ha),Pomegranate Production (000Tonnes),Pine Apple Area (000Ha),Pine Apple Production (000Tonnes),Lemon Area (000Ha),Lemon Production (000Tonnes),K.Lime Area (000Ha),K.Lime Production (000Tonnes),Galgal Area (000Ha),Galgal Production (000Tonnes), Limes-Lemons #N/A, Lime-Lemon  #N/A,Musk Melon Area (000Ha),Musk Melon Production (000Tonnes),Pear Area (000Ha),Pear Production (000Tonnes),Date palm Area (000Ha),Date palm Production (000Tonnes),Peach Area (000Ha),Peach Production (000Tonnes),Plum Area (000Ha),Plum Production (000Tonnes),Jamun Area (000Ha),Jamun Production (000Tonnes),Bael Area (000Ha),Bael Production (000Tonnes),Strawberry Area (000Ha),Strawberry Production (000Tonnes), Apple Area (000Ha), Apple Production (000Tonnes), Apricot Area (000Ha), Apricot Production (000Tonnes), Cherry Area (000Ha), Cherry Production (000Tonnes),G?Almond Area (000Ha),G?Almond Production (000Tonnes),Almond Area (000Ha),Almond Production (000Tonnes),Persimon Area (000Ha),Persimon Production (000Tonnes),Olive Area (000Ha),Olive Production (000Tonnes),Kiwi Area (000Ha),Kiwi Production (000Tonnes),Walnut Area (000Ha),Walnut Production (000Tonnes),Picanut Area (000Ha),Picanut Production (000Tonnes),Loquat Area (000Ha),Loquat Production (000Tonnes),Fig Area (000Ha),Fig Production (000Tonnes), Kinnow  #N/A, Kinnow  #N/A,Phalsa Area (000Ha),Phalsa #N/A,Mulberry Area (000Ha),Mulberry #N/A,Dragon Fruit Area (000Ha),Dragon Fruit Production (000Tonnes),Citrus Area (000Ha),Citrus Production (000Tonnes),Other citrus Area (000Ha),Other citrus Production (000Tonnes),Arecanut Area (000Ha),Arecanut Production (000Tonnes),Cashew Nut Area (000Ha),Cashew Nut Production (000Tonnes),Coconut Area (000Ha),Coconut Production (000Tonnes),Other Fruits Area (000Ha),Other Fruits Production (000Tonnes),Total Fruits  Area (000Ha),Total Fruits  Production (000Tonnes),
12720163,3,Gujarat,127,Valsad,2016,34.62,335.85,.,.,.,.,.,.,.,.,.,.,.,.,1.00,57.08,.,.,0.00,0.00,0.24,10.90,.,.,.,.,0.07,0.52,0.00,0.00,.,.,0.00,0.00,.,.,2.98,32.41,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,6.60,12.27,3.51,29.17,0.23,1.86,49.24,480.06,
12820053,3,Gujarat,128,Dang,2005,2.20,6.60,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.30,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.05,0.50,0.01,0.04,.,.,0.00,0.00,.,.,0.01,0.05,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.60,0.90,0.00,0.00,0.01,0.08,2.88,8.47,
12820063,3,Gujarat,128,Dang,2006,2.30,9.20,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.36,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.06,0.60,0.01,0.05,.,.,0.00,0.00,.,.,0.01,0.10,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.62,0.93,0.00,0.00,0.02,0.12,3.02,11.36,
12820073,3,Gujarat,128,Dang,2007,2.42,13.31,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.45,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.07,0.52,0.01,0.05,.,.,0.00,0.00,.,.,0.02,0.14,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.62,0.93,0.00,0.00,0.03,0.21,3.17,15.60,
12820083,3,Gujarat,128,Dang,2008,2.77,8.31,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.45,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.07,0.70,0.01,0.07,.,.,0.00,0.00,.,.,0.02,0.17,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.72,1.08,0.00,0.00,0.04,0.23,3.64,11.01,
12820093,3,Gujarat,128,Dang,2009,3.00,18.00,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.47,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.08,1.13,0.01,0.08,.,.,0.00,0.00,.,.,0.02,0.20,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.75,2.25,0.00,0.00,0.04,0.24,3.91,22.36,
12820103,3,Gujarat,128,Dang,2010,3.30,19.80,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.66,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.08,1.13,0.01,0.08,.,.,0.00,0.00,.,.,0.02,0.20,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,0.80,2.60,0.00,0.00,0.03,0.20,4.26,24.66,
12820113,3,Gujarat,128,Dang,2011,3.71,22.26,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.77,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.08,1.23,0.01,0.08,.,.,0.00,0.00,.,.,0.02,0.25,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.05,3.41,0.00,0.00,0.01,0.31,4.91,28.30,
12820123,3,Gujarat,128,Dang,2012,3.91,23.46,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.74,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.08,1.24,0.02,0.11,.,.,0.00,0.00,.,.,0.02,0.21,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.15,3.98,0.00,0.00,0.03,0.62,5.22,30.35,
12820133,3,Gujarat,128,Dang,2013,4.36,25.81,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.81,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.09,0.68,0.02,0.13,.,.,0.00,0.00,.,.,0.02,0.23,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.23,4.25,0.00,0.00,0.05,0.36,5.78,32.28,
12820143,3,Gujarat,128,Dang,2014,4.71,28.26,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.90,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.10,0.77,0.02,0.12,.,.,0.00,0.00,.,.,0.02,0.26,0.01,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.29,4.55,0.00,0.00,0.08,0.60,6.25,35.45,
12820153,3,Gujarat,128,Dang,2015,4.82,28.93,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.98,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.11,0.84,0.02,0.13,.,.,0.00,0.00,.,.,0.03,0.33,0.01,0.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.30,4.60,0.00,0.00,0.08,0.66,6.40,36.57,
12820163,3,Gujarat,128,Dang,2016,4.91,33.55,.,.,.,.,.,.,.,.,.,.,.,.,0.03,1.03,.,.,0.00,0.00,0.00,0.00,.,.,.,.,0.11,0.84,0.02,0.14,.,.,0.00,0.00,.,.,0.03,0.30,0.01,0.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,1.32,2.10,0.00,0.00,0.09,0.68,6.50,38.73,
12920053,3,Gujarat,129,Jamnagar,2005,0.18,1.64,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,0.00,0.00,0.48,21.42,.,.,.,.,0.06,0.30,0.06,0.24,.,.,0.29,1.51,.,.,0.18,1.65,0.06,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.14,0.56,.,.,.,.,0.00,0.00,0.34,2.52,0.14,0.68,1.92,30.83,
12920063,3,Gujarat,129,Jamnagar,2006,0.42,3.73,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.03,.,.,0.01,0.02,0.57,26.04,.,.,.,.,0.07,0.34,0.07,0.28,.,.,0.32,1.67,.,.,0.24,2.15,0.08,0.39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.17,0.68,.,.,.,.,0.01,0.00,0.37,2.76,0.16,0.80,2.47,38.88,
12920073,3,Gujarat,129,Jamnagar,2007,0.42,3.90,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.19,.,.,0.01,0.03,0.52,24.01,.,.,.,.,0.05,0.26,0.05,0.19,.,.,0.30,1.59,.,.,0.23,2.10,0.06,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,0.69,.,.,.,.,0.00,0.00,0.39,2.94,0.08,0.36,2.32,36.58,
12920083,3,Gujarat,129,Jamnagar,2008,0.43,1.45,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.16,.,.,0.01,0.04,0.55,25.48,.,.,.,.,0.06,0.30,0.04,0.15,.,.,0.32,1.64,.,.,0.24,2.18,0.05,0.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,0.71,.,.,.,.,0.00,0.00,0.41,3.06,0.10,0.38,2.40,35.81,
12920093,3,Gujarat,129,Jamnagar,2009,0.44,4.21,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.27,.,.,0.01,0.05,0.59,27.80,.,.,.,.,0.06,0.30,0.04,0.16,.,.,0.32,1.74,.,.,0.24,2.51,0.06,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.02,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,0.76,.,.,.,.,0.00,0.00,0.43,3.54,0.12,0.57,2.51,42.20,
12920103,3,Gujarat,129,Jamnagar,2010,0.45,4.24,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.32,.,.,0.01,0.05,0.43,27.39,.,.,.,.,0.06,0.31,0.04,0.16,.,.,0.33,1.78,.,.,0.25,2.65,0.07,0.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.03,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.21,0.90,.,.,.,.,0.00,0.00,0.46,3.83,0.12,0.62,2.45,42.66,
12920113,3,Gujarat,129,Jamnagar,2011,0.46,4.39,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.36,.,.,0.01,0.05,0.41,26.60,.,.,.,.,0.06,0.33,0.03,0.11,.,.,0.32,1.81,.,.,0.25,2.76,0.08,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.07,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.22,1.26,.,.,.,.,0.00,0.00,0.46,3.89,0.04,0.98,2.38,43.25,
12920123,3,Gujarat,129,Jamnagar,2012,0.46,3.74,.,.,.,.,.,.,.,.,.,.,.,.,0.03,1.27,.,.,0.01,0.05,0.41,25.60,.,.,.,.,0.07,0.35,0.04,0.11,.,.,0.33,3.14,.,.,0.25,2.82,0.16,1.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,0.28,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.24,1.24,.,.,.,.,0.00,0.00,0.47,4.01,0.13,5.84,2.64,50.38,
12920133,3,Gujarat,129,Jamnagar,2013,0.47,2.84,.,.,.,.,.,.,.,.,.,.,.,.,0.03,1.27,.,.,0.01,0.05,0.42,26.09,.,.,.,.,0.07,0.49,0.04,0.21,.,.,0.34,3.22,.,.,0.25,2.82,0.45,3.78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,0.36,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.25,1.84,.,.,.,.,0.00,0.00,0.47,4.19,0.13,0.96,2.97,48.12,
12920143,3,Gujarat,129,Jamnagar,2014,0.47,2.87,.,.,.,.,.,.,.,.,.,.,.,.,0.04,1.94,.,.,0.01,0.05,0.48,30.19,.,.,.,.,0.07,0.49,0.04,0.21,.,.,0.35,3.33,.,.,0.25,2.88,0.57,5.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,0.46,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.26,1.90,.,.,.,.,0.00,0.00,0.51,4.25,0.18,1.39,3.31,54.98,
12920153,3,Gujarat,129,Jamnagar,2015,0.42,2.62,.,.,.,.,.,.,.,.,.,.,.,.,0.04,1.76,.,.,0.01,0.03,0.27,16.94,.,.,.,.,0.05,0.40,0.02,0.14,.,.,0.18,1.66,.,.,0.15,1.77,0.49,5.93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,0.43,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.21,1.81,.,.,.,.,0.00,0.00,0.15,1.24,0.09,0.64,2.16,35.37,
12920163,3,Gujarat,129,Jamnagar,2016,0.42,2.67,.,.,.,.,.,.,.,.,.,.,.,.,0.04,1.76,.,.,0.01,0.03,0.29,15.29,.,.,.,.,0.05,0.40,0.02,0.14,.,.,0.18,1.70,.,.,0.15,1.77,0.53,6.53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,0.48,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.24,2.18,.,.,.,.,0.00,0.00,0.15,1.24,0.09,0.66,2.27,34.85,
13020053,3,Gujarat,130,Junagadh,2005,15.72,79.15,.,.,.,.,.,.,.,.,.,.,.,.,1.85,49.95,.,.,0.21,0.82,0.70,24.33,.,.,.,.,0.24,1.42,0.23,1.35,.,.,0.25,0.74,.,.,3.56,28.81,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,2.94,.,.,.,.,0.01,0.00,5.94,51.93,0.17,0.50,29.25,241.93,
13020063,3,Gujarat,130,Junagadh,2006,15.93,103.55,.,.,.,.,.,.,.,.,.,.,.,.,2.06,96.59,.,.,0.26,1.30,0.88,30.63,.,.,.,.,0.30,1.80,0.25,1.47,.,.,0.29,1.16,.,.,3.74,33.66,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.48,3.09,.,.,.,.,0.00,0.00,6.28,54.91,0.29,1.14,30.73,329.28,
13020073,3,Gujarat,130,Junagadh,2007,16.12,112.84,.,.,.,.,.,.,.,.,.,.,.,.,2.14,85.60,.,.,0.23,1.15,0.65,19.50,.,.,.,.,0.27,1.62,0.23,1.38,.,.,0.29,1.14,.,.,3.67,32.99,0.06,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.52,3.10,.,.,.,.,0.00,0.00,6.50,71.50,0.28,1.12,30.95,332.10,
13020083,3,Gujarat,130,Junagadh,2008,16.88,54.02,.,.,.,.,.,.,.,.,.,.,.,.,1.72,77.40,.,.,0.23,1.15,0.31,15.25,.,.,.,.,0.30,1.80,0.24,1.44,.,.,0.29,1.14,.,.,3.68,33.08,0.06,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.52,3.13,.,.,.,.,0.01,0.00,6.54,71.94,0.28,1.12,31.04,261.63,
13020093,3,Gujarat,130,Junagadh,2009,17.47,139.74,.,.,.,.,.,.,.,.,.,.,.,.,1.56,69.98,.,.,0.23,1.15,0.26,13.20,.,.,.,.,0.30,1.80,0.12,0.69,.,.,0.29,1.14,.,.,3.81,34.25,0.04,0.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.54,3.26,.,.,.,.,0.01,0.00,7.08,77.84,0.28,1.18,31.97,344.34,
13020103,3,Gujarat,130,Junagadh,2010,19.78,157.70,.,.,.,.,.,.,.,.,.,.,.,.,1.80,81.00,.,.,0.23,1.23,0.37,18.45,.,.,.,.,0.33,2.02,0.12,0.70,.,.,0.29,1.14,.,.,4.82,44.54,0.07,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.56,3.45,.,.,.,.,0.01,0.00,10.31,113.91,0.38,1.57,39.06,425.94,
13020113,3,Gujarat,130,Junagadh,2011,20.53,156.02,.,.,.,.,.,.,.,.,.,.,.,.,1.93,88.55,.,.,0.23,1.23,0.38,19.55,.,.,.,.,0.36,2.17,0.12,0.70,.,.,0.29,1.15,.,.,4.89,45.38,0.07,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.57,3.52,.,.,.,.,0.01,0.00,10.81,118.91,0.13,2.37,40.31,439.76,
13020123,3,Gujarat,130,Junagadh,2012,21.03,84.12,.,.,.,.,.,.,.,.,.,.,.,.,1.93,76.55,.,.,0.24,1.35,0.38,20.55,.,.,.,.,0.37,2.25,0.12,0.70,.,.,0.30,2.54,.,.,4.91,46.57,0.09,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.59,3.63,.,.,.,.,0.01,0.00,11.25,131.75,0.30,10.41,41.50,381.35,
13020133,3,Gujarat,130,Junagadh,2013,21.32,176.96,.,.,.,.,.,.,.,.,.,.,.,.,1.01,45.36,.,.,0.24,1.25,0.45,22.60,.,.,.,.,0.38,3.14,0.12,0.70,.,.,0.29,2.28,.,.,4.92,46.70,0.16,1.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.61,4.91,.,.,.,.,0.01,0.01,11.57,114.54,0.43,2.92,41.49,422.78,
13020143,3,Gujarat,130,Junagadh,2014,21.81,182.11,.,.,.,.,.,.,.,.,.,.,.,.,1.18,56.99,.,.,0.24,1.20,0.51,26.92,.,.,.,.,0.39,3.25,0.12,0.71,.,.,0.35,2.45,.,.,4.93,49.99,0.18,1.67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.66,5.43,.,.,.,.,0.01,0.01,12.06,120.00,0.44,3.06,42.85,453.79,
13020153,3,Gujarat,130,Junagadh,2015,8.18,56.03,.,.,.,.,.,.,.,.,.,.,.,.,0.53,25.46,.,.,0.18,0.92,0.33,17.66,.,.,.,.,0.34,3.13,0.08,0.52,.,.,0.29,2.05,.,.,3.69,37.65,0.15,1.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.47,4.44,.,.,.,.,0.00,0.00,4.85,48.26,0.24,1.73,19.33,199.31,
13020163,3,Gujarat,130,Junagadh,2016,8.49,78.11,.,.,.,.,.,.,.,.,.,.,.,.,0.50,24.26,.,.,0.17,1.40,0.42,22.48,.,.,.,.,0.35,3.26,0.08,0.52,.,.,0.29,2.04,.,.,3.69,37.77,0.15,1.52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.51,4.99,.,.,.,.,0.00,0.00,5.23,52.04,0.25,1.80,20.14,230.17,
13120053,3,Gujarat,131,Kheda,2005,0.50,5.00,.,.,.,.,.,.,.,.,.,.,.,.,0.15,4.50,.,.,0.43,6.00,0.30,12.00,.,.,.,.,0.40,2.80,2.80,23.30,.,.,0.45,3.30,.,.,0.23,2.30,0.30,1.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.02,24.12,.,.,.,.,0.00,0.00,0.01,0.03,0.42,2.08,8.00,86.92,
13120063,3,Gujarat,131,Kheda,2006,0.78,7.00,.,.,.,.,.,.,.,.,.,.,.,.,0.33,13.20,.,.,0.52,4.16,0.40,16.00,.,.,.,.,0.02,0.14,3.07,27.63,.,.,0.57,4.56,.,.,0.38,3.75,0.45,3.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.07,24.84,.,.,.,.,0.00,0.00,0.01,0.03,0.69,3.45,9.28,107.91,
13120073,3,Gujarat,131,Kheda,2007,0.79,8.30,.,.,.,.,.,.,.,.,.,.,.,.,0.53,21.28,.,.,0.63,9.51,0.69,27.76,.,.,.,.,0.04,0.28,3.04,30.44,.,.,0.54,5.43,.,.,0.39,3.92,0.37,2.98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.10,29.40,.,.,.,.,0.00,0.00,0.01,0.04,0.64,3.19,9.79,142.52,
