Key,Dist Code,Year,State Code,State Name,Dist Name,CANALS AREA (1000 ha),TANKS AREA (1000 ha),TUBE WELLS AREA (1000 ha),OTHER WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),OTHER SOURCES AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha)
1199014,1,1990,14,Chhattisgarh,Durg,118,4.8,8.6,6.3,14.9,16.5,154.2,171.9
1199114,1,1991,14,Chhattisgarh,Durg,144.08,10.84,11.19,8.77,19.96,18.42,193.31,204.95
1199214,1,1992,14,Chhattisgarh,Durg,130.53,8.92,14.6,9.2,23.8,36.15,199.39,214.06
1199314,1,1993,14,Chhattisgarh,Durg,142.59,6.16,15.34,8.05,23.39,30.19,202.34,223.01
1199414,1,1994,14,Chhattisgarh,Durg,146.67,9.75,19.35,7.31,26.66,14.55,197.63,232.86
1199514,1,1995,14,Chhattisgarh,Durg,149.55,17.26,19.76,7.51,27.27,11.49,205.57,234.9
1199614,1,1996,14,Chhattisgarh,Durg,153.88,9.32,20.42,7.41,27.83,18.78,209.81,230.49
1199714,1,1997,14,Chhattisgarh,Durg,151.2,9.79,21.9,6.5,28.41,16.16,205.55,233.17
1199814,1,1998,14,Chhattisgarh,Durg,107.05,9.79,27.97,7.23,35.2,18.16,170.2,194.51
1199914,1,1999,14,Chhattisgarh,Durg,131.37,7.71,31.04,5.71,36.76,18.56,194.39,242.05
1200014,1,2000,14,Chhattisgarh,Durg,85.67,6.44,40.48,5.39,45.87,16.25,154.23,178.71
1200114,1,2001,14,Chhattisgarh,Durg,140.74,7.6,44,3.67,47.66,19.61,215.61,245.39
1200214,1,2002,14,Chhattisgarh,Durg,100.96,5.62,48.23,4.29,52.52,19.05,178.14,205.72
1200314,1,2003,14,Chhattisgarh,Durg,112.82,4.69,41.12,3.42,44.54,19.59,181.64,215.85
1200414,1,2004,14,Chhattisgarh,Durg,126.12,10.18,60.12,2.89,63,16.12,215.43,259.29
1200514,1,2005,14,Chhattisgarh,Durg,129.97,5.82,66.71,2.56,69.27,17.58,222.64,272.92
1200614,1,2006,14,Chhattisgarh,Durg,129.37,4.94,75.73,2.43,78.16,16.68,229.15,290.57
1200714,1,2007,14,Chhattisgarh,Durg,138.86,4.71,75.74,2.07,77.8,17.45,238.82,309.87
1200814,1,2008,14,Chhattisgarh,Durg,117.38,3.27,86.23,1.94,88.17,18.73,227.54,303.31
1200914,1,2009,14,Chhattisgarh,Durg,103.75,1.93,95.58,1.53,97.11,12.85,215.63,280.54
1201014,1,2010,14,Chhattisgarh,Durg,127.21,2.73,91.79,1.68,93.47,12.62,236.03,317.43
1201114,1,2011,14,Chhattisgarh,Durg,55.17,0,28.92,0.52,29.44,4,88.62,109.08
1201214,1,2012,14,Chhattisgarh,Durg,57.03,1.2,31.84,0.41,32.25,3.47,93.94,113.95
1201314,1,2013,14,Chhattisgarh,Durg,58.5,1.64,28.37,0.59,28.95,2.96,92.05,113.59
1201414,1,2014,14,Chhattisgarh,Durg,57.87,1.49,29.26,0.64,29.91,3.3,92.56,114.32
1201514,1,2015,14,Chhattisgarh,Durg,55.86,1.44,29.32,0.61,29.93,2.61,89.84,110.85
1201614,1,2016,14,Chhattisgarh,Durg,56.09,1.54,30.9,0.59,31.49,4.99,94.11,117.5
2199014,2,1990,14,Chhattisgarh,Bastar,5.2,10.5,0.4,2,2.4,3.4,21.5,21.5
2199114,2,1991,14,Chhattisgarh,Bastar,6.89,11.59,0.33,1.94,2.27,3.91,24.67,24.67
2199214,2,1992,14,Chhattisgarh,Bastar,8.98,10.29,0.37,2.43,2.8,3.3,25.37,25.37
2199314,2,1993,14,Chhattisgarh,Bastar,10.26,9.66,0.28,2.03,2.31,3.38,25.61,25.61
2199414,2,1994,14,Chhattisgarh,Bastar,7.58,10.86,0.48,2.21,2.69,4.3,25.42,25.42
2199514,2,1995,14,Chhattisgarh,Bastar,6.48,10.77,0.51,2.3,2.8,4.68,24.73,24.73
2199614,2,1996,14,Chhattisgarh,Bastar,7.48,8.97,1.46,3.32,4.78,3.89,25.12,25.12
2199714,2,1997,14,Chhattisgarh,Bastar,7.21,8.94,1.13,2.21,3.34,5.29,24.78,24.78
2199814,2,1998,14,Chhattisgarh,Bastar,0.46,1.81,0.46,2.34,2.79,2.07,7.14,7.14
2199914,2,1999,14,Chhattisgarh,Bastar,0.26,1.42,0.39,2.43,2.82,2.06,6.56,6.56
2200014,2,2000,14,Chhattisgarh,Bastar,0.28,1.17,0.39,0.96,1.35,2.39,5.19,5.19
2200114,2,2001,14,Chhattisgarh,Bastar,0.28,1.07,0.46,0.97,1.43,2.75,5.53,5.53
2200214,2,2002,14,Chhattisgarh,Bastar,0.19,1.15,0.65,1,1.65,2.95,5.94,5.94
2200314,2,2003,14,Chhattisgarh,Bastar,0.19,1.37,1.28,0.85,2.13,2.8,6.48,6.48
2200414,2,2004,14,Chhattisgarh,Bastar,0.24,1.42,1.78,0.92,2.7,2.58,6.94,6.94
2200514,2,2005,14,Chhattisgarh,Bastar,0.23,1.24,1.61,0.82,2.43,3.19,7.08,7.08
2200614,2,2006,14,Chhattisgarh,Bastar,0.18,1.52,1.89,0.81,2.7,3.33,7.73,7.73
2200714,2,2007,14,Chhattisgarh,Bastar,0.2,1.14,2.49,0.74,3.23,3.22,7.79,7.79
2200814,2,2008,14,Chhattisgarh,Bastar,0.53,1.11,2.16,0.79,2.95,3.69,8.28,8.28
2200914,2,2009,14,Chhattisgarh,Bastar,0.29,1.26,2.57,0.89,3.46,4.13,9.14,9.14
2201014,2,2010,14,Chhattisgarh,Bastar,0.42,1.44,2.57,0.77,3.34,4.39,9.59,9.59
2201114,2,2011,14,Chhattisgarh,Bastar,0.92,0,1.65,0.21,1.86,2.65,5.43,6.01
2201214,2,2012,14,Chhattisgarh,Bastar,1.01,0.61,1.54,0.24,1.78,2.53,5.93,5.93
2201314,2,2013,14,Chhattisgarh,Bastar,1.01,0.62,1.97,0.24,2.2,2.52,6.36,6.36
2201414,2,2014,14,Chhattisgarh,Bastar,1.01,0.62,2.02,0.23,2.26,2.49,6.38,6.38
2201514,2,2015,14,Chhattisgarh,Bastar,1.17,0.45,2.55,0.15,2.7,2.65,6.97,6.97
2201614,2,2016,14,Chhattisgarh,Bastar,1.17,0.45,2.63,0.15,2.78,2.56,6.96,6.96
3199014,3,1990,14,Chhattisgarh,Raipur,328.8,24.5,6.8,15.7,22.5,7.5,383.3,386.3
3199114,3,1991,14,Chhattisgarh,Raipur,333.95,28.68,8.67,17,25.67,17.38,405.69,407.71
3199214,3,1992,14,Chhattisgarh,Raipur,343.02,36.37,10.39,17.21,27.6,17.42,424.4,425.93
3199314,3,1993,14,Chhattisgarh,Raipur,357.76,30.25,12.87,18.11,30.98,16.82,435.81,439.92
3199414,3,1994,14,Chhattisgarh,Raipur,353.26,25.99,14.66,16.63,31.29,14.44,424.99,444.69
3199514,3,1995,14,Chhattisgarh,Raipur,363.11,28.34,16.07,17.08,33.16,14.16,438.76,461.34
3199614,3,1996,14,Chhattisgarh,Raipur,345.26,22.77,22.99,18.23,41.22,15.86,425.11,428.69
3199714,3,1997,14,Chhattisgarh,Raipur,356.59,25.52,23.16,17.79,40.96,15.2,438.27,459.03
3199814,3,1998,14,Chhattisgarh,Raipur,219.11,14.1,12.02,19.07,31.09,10.16,274.44,276.58
3199914,3,1999,14,Chhattisgarh,Raipur,225.03,14.67,14.47,21.73,36.2,10.89,286.32,305.08
3200014,3,2000,14,Chhattisgarh,Raipur,169.8,10.63,16.11,7.69,23.8,11.6,215.84,220.08
3200114,3,2001,14,Chhattisgarh,Raipur,233.74,13.04,21.29,6.3,27.59,11.8,286.17,291.03
3200214,3,2002,14,Chhattisgarh,Raipur,188.63,13.1,22.6,5.81,28.41,13.72,243.85,249.91
3200314,3,2003,14,Chhattisgarh,Raipur,197.41,12.69,23.46,5.19,28.65,10.12,248.87,253.97
3200414,3,2004,14,Chhattisgarh,Raipur,222.43,12.16,28.25,5.83,34.08,12.39,281.06,284.9
3200514,3,2005,14,Chhattisgarh,Raipur,229.21,11.64,31.12,4.8,35.92,12.58,289.35,295.06
3200614,3,2006,14,Chhattisgarh,Raipur,234.22,8.28,31.83,5.05,36.89,13.27,292.66,310.4
3200714,3,2007,14,Chhattisgarh,Raipur,240.78,7.52,32.73,3.94,36.67,11.92,296.89,316.38
3200814,3,2008,14,Chhattisgarh,Raipur,241.37,7.66,36.93,3.1,40.03,11.43,300.49,306.59
3200914,3,2009,14,Chhattisgarh,Raipur,236.15,7.07,38.05,3.02,41.06,10.02,294.3,301.84
3201014,3,2010,14,Chhattisgarh,Raipur,239.21,6.37,39.7,3.13,42.83,10.82,299.24,328
3201114,3,2011,14,Chhattisgarh,Raipur,114.12,0,16.69,0.68,17.37,3.44,134.93,142.6
3201214,3,2012,14,Chhattisgarh,Raipur,113.82,4.37,21.65,0.67,22.32,3.29,143.8,160
3201314,3,2013,14,Chhattisgarh,Raipur,113.78,4.62,21.21,0.64,21.85,2.56,142.8,160.51
3201414,3,2014,14,Chhattisgarh,Raipur,110.6,3.98,21.1,0.55,21.65,2.49,138.72,165.23
3201514,3,2015,14,Chhattisgarh,Raipur,108.44,3.52,21.67,0.51,22.19,1.92,136.06,144.83
3201614,3,2016,14,Chhattisgarh,Raipur,113.31,3.18,20.41,0.33,20.74,2.34,139.57,158.92
4199014,4,1990,14,Chhattisgarh,Bilaspur,202.7,5.4,2.2,6.4,8.6,5.4,222.1,231.2
4199114,4,1991,14,Chhattisgarh,Bilaspur,212.05,19.97,7.23,8.92,16.15,4.76,252.93,262.6
4199214,4,1992,14,Chhattisgarh,Bilaspur,215.2,20.69,9.76,9.38,19.14,6.45,261.47,272.87
4199314,4,1993,14,Chhattisgarh,Bilaspur,212.15,6.41,7.61,11.39,19,5.78,243.33,255.48
4199414,4,1994,14,Chhattisgarh,Bilaspur,217,8.35,9.36,9.62,18.98,6.52,250.85,280.12
4199514,4,1995,14,Chhattisgarh,Bilaspur,215.2,20.69,9.76,9.38,19.14,6.45,261.47,272.87
4199614,4,1996,14,Chhattisgarh,Bilaspur,220.09,14.4,18.76,11.07,29.83,4.55,268.87,311.47
4199714,4,1997,14,Chhattisgarh,Bilaspur,221.7,11.71,16.85,10.02,26.87,5.85,266.14,284.21
4199814,4,1998,14,Chhattisgarh,Bilaspur,99.84,3.22,7.47,15.87,23.34,1.91,127.64,171.21
4199914,4,1999,14,Chhattisgarh,Bilaspur,100.97,3.06,7.03,15.39,22.42,2.01,128.25,143.33
4200014,4,2000,14,Chhattisgarh,Bilaspur,99.89,2.03,13.78,1.63,15.41,1.19,118.52,127.32
4200114,4,2001,14,Chhattisgarh,Bilaspur,113.82,4.47,13.33,4.26,17.59,2.52,138.41,147.14
4200214,4,2002,14,Chhattisgarh,Bilaspur,102.25,3.92,16.02,4.59,20.61,3.26,130.04,137.28
4200314,4,2003,14,Chhattisgarh,Bilaspur,107.71,4.88,16.81,4.71,21.52,2.14,136.25,143.61
4200414,4,2004,14,Chhattisgarh,Bilaspur,111.46,5.04,15.51,4.97,20.48,5.18,142.16,148.36
4200514,4,2005,14,Chhattisgarh,Bilaspur,113.14,4.09,16.15,4.73,20.88,2.27,140.38,149.31
4200614,4,2006,14,Chhattisgarh,Bilaspur,115.5,4.21,16.62,4.36,20.97,2.17,142.86,153.59
4200714,4,2007,14,Chhattisgarh,Bilaspur,116.03,4.8,20.86,4.44,25.3,2.7,148.83,157.57
4200814,4,2008,14,Chhattisgarh,Bilaspur,112.81,3.96,22.2,3.61,25.81,2.07,144.66,159.23
4200914,4,2009,14,Chhattisgarh,Bilaspur,113.71,4.05,22.27,2.43,24.7,2.6,145.06,157.3
4201014,4,2010,14,Chhattisgarh,Bilaspur,115.83,3.99,24.72,3.14,27.87,2.11,149.8,165.35
4201114,4,2011,14,Chhattisgarh,Bilaspur,19.3,0,71.77,1.4,73.18,2.04,94.52,103.6
4201214,4,2012,14,Chhattisgarh,Bilaspur,19.69,9.41,69.84,0.32,70.16,0.98,100.25,100.25
4201314,4,2013,14,Chhattisgarh,Bilaspur,19.68,9.41,69.94,0.32,70.26,0.82,100.18,100.18
4201414,4,2014,14,Chhattisgarh,Bilaspur,57.56,3.82,23.27,2.04,25.3,0.12,86.81,106.67
4201514,4,2015,14,Chhattisgarh,Bilaspur,57.56,3.82,23.16,2.08,25.23,0.12,86.74,105.86
4201614,4,2016,14,Chhattisgarh,Bilaspur,55.49,2.55,21.73,2.36,24.09,0.01,82.13,100.66
5199014,5,1990,14,Chhattisgarh,Raigarh,11.5,2.9,4.7,8.9,13.6,5.3,33.3,35.4
5199114,5,1991,14,Chhattisgarh,Raigarh,10.42,5.28,6.72,11.08,17.8,6.11,39.61,41.05
5199214,5,1992,14,Chhattisgarh,Raigarh,6.92,6.2,9.39,14.05,23.44,6.61,43.17,44.62
5199314,5,1993,14,Chhattisgarh,Raigarh,7.41,4.13,8.56,13.66,22.22,5.15,38.91,38.94
5199414,5,1994,14,Chhattisgarh,Raigarh,6.84,4.28,9.05,14.51,23.56,5.71,40.39,41.12
5199514,5,1995,14,Chhattisgarh,Raigarh,5.35,4.9,10.8,16.05,26.85,6.13,43.23,43.56
5199614,5,1996,14,Chhattisgarh,Raigarh,3.54,5.32,11.64,17.59,29.22,6.19,44.27,46.06
5199714,5,1997,14,Chhattisgarh,Raigarh,7.2,4.91,7.37,12.5,19.88,6.37,38.36,46.95
5199814,5,1998,14,Chhattisgarh,Raigarh,0.14,3.54,11.33,13.21,24.54,8.57,36.78,33.59
5199914,5,1999,14,Chhattisgarh,Raigarh,1.53,3.17,10.27,12.52,22.79,7.55,35.03,40.78
5200014,5,2000,14,Chhattisgarh,Raigarh,18.04,1.6,12.32,1.03,13.35,7.97,40.96,45.6
5200114,5,2001,14,Chhattisgarh,Raigarh,17.46,5.02,16.24,0.87,17.11,5.68,45.28,47.14
5200214,5,2002,14,Chhattisgarh,Raigarh,17.54,5.29,16.82,0.92,17.74,6.08,46.64,49.37
5200314,5,2003,14,Chhattisgarh,Raigarh,19.86,5.75,21.37,0.83,22.21,7.43,55.24,57.68
5200414,5,2004,14,Chhattisgarh,Raigarh,16.34,5.59,24.13,0.87,24.99,7.19,54.06,59.09
5200514,5,2005,14,Chhattisgarh,Raigarh,17.8,4.93,25.44,0.97,26.41,7.77,56.91,61.38
5200614,5,2006,14,Chhattisgarh,Raigarh,21.98,5.22,24.73,0.77,25.5,6.89,59.6,63.22
5200714,5,2007,14,Chhattisgarh,Raigarh,19.5,4.48,30.95,0.9,31.85,5.67,61.5,63.62
5200814,5,2008,14,Chhattisgarh,Raigarh,17.14,4.57,32.73,0.76,33.49,6.43,61.64,64.05
5200914,5,2009,14,Chhattisgarh,Raigarh,18.23,4.68,31.79,0.66,32.46,7.19,62.56,65.39
5201014,5,2010,14,Chhattisgarh,Raigarh,18.02,4.66,31.79,0.66,32.46,7.18,62.32,66.27
5201114,5,2011,14,Chhattisgarh,Raigarh,18,0,31.85,0.67,32.51,7.18,57.69,68.69
5201214,5,2012,14,Chhattisgarh,Raigarh,17.98,4.29,31.49,0.67,32.16,7.22,61.64,68.25
5201314,5,2013,14,Chhattisgarh,Raigarh,17.94,4.28,31.37,0.66,32.03,7.2,61.46,68.65
5201414,5,2014,14,Chhattisgarh,Raigarh,18.66,4.29,31.96,0.67,32.63,7.22,62.79,70.93
5201514,5,2015,14,Chhattisgarh,Raigarh,18.58,4.33,31.82,0.66,32.48,7.13,62.52,70.3
5201614,5,2016,14,Chhattisgarh,Raigarh,18.63,4.72,32.31,0.77,33.09,7.2,63.64,71.96
6199014,6,1990,14,Chhattisgarh,Surguja,8.5,0.7,0.2,5.2,5.4,9.3,23.9,25.1
6199114,6,1991,14,Chhattisgarh,Surguja,8.65,0.77,0.21,4.74,4.95,9.89,24.26,25.47
6199214,6,1992,14,Chhattisgarh,Surguja,8.45,0.52,0.75,4.8,5.55,8.47,22.99,24.68
6199314,6,1993,14,Chhattisgarh,Surguja,9.57,0.54,0.72,5.67,6.39,9.36,25.85,27.53
6199414,6,1994,14,Chhattisgarh,Surguja,10.15,0.87,0.72,5.64,6.36,10.48,27.85,29.75
6199514,6,1995,14,Chhattisgarh,Surguja,9.87,0.89,0.71,6.5,7.22,10.8,28.77,30.73
6199614,6,1996,14,Chhattisgarh,Surguja,9.56,1.23,0.46,5.71,6.17,12.07,29.03,31.36
6199714,6,1997,14,Chhattisgarh,Surguja,8.94,1.18,0.32,5.95,6.27,13.13,29.52,31.26
6199814,6,1998,14,Chhattisgarh,Surguja,6.96,1.54,0.31,4.9,5.21,12.01,25.73,24.74
6199914,6,1999,14,Chhattisgarh,Surguja,7.46,1.65,0.3,5.43,5.73,13.85,28.7,30.49
6200014,6,2000,14,Chhattisgarh,Surguja,6.99,3.57,0.31,5.65,5.95,15.3,30.89,32.68
6200114,6,2001,14,Chhattisgarh,Surguja,7.99,1.74,0.32,5.75,6.07,16.17,31.97,34.61
6200214,6,2002,14,Chhattisgarh,Surguja,8.04,1.8,0.36,5.85,6.2,17.84,33.88,35.43
6200314,6,2003,14,Chhattisgarh,Surguja,9.36,2.05,0.94,6.17,7.11,17.7,36.21,38.12
6200414,6,2004,14,Chhattisgarh,Surguja,9.18,1.96,1.04,6.69,7.73,17.73,36.59,38.67
6200514,6,2005,14,Chhattisgarh,Surguja,9.94,2.42,0.92,6.76,7.67,17.16,37.2,39.76
6200614,6,2006,14,Chhattisgarh,Surguja,9.74,2.06,0.93,6.64,7.56,20.25,39.61,42.09
6200714,6,2007,14,Chhattisgarh,Surguja,7.99,2.09,1.11,6.72,7.82,21.2,39.1,40.91
6200814,6,2008,14,Chhattisgarh,Surguja,7.28,1.95,1.2,5.86,7.05,22.78,39.05,40.96
6200914,6,2009,14,Chhattisgarh,Surguja,6.39,2,1.28,6.53,7.8,23.18,39.37,41.17
6201014,6,2010,14,Chhattisgarh,Surguja,6.11,2.02,1.17,5.74,6.91,26.83,41.86,44.05
6201114,6,2011,14,Chhattisgarh,Surguja,6.47,0,0.43,0.99,1.42,7.17,15.06,16.49
6201214,6,2012,14,Chhattisgarh,Surguja,3.56,0.29,0.59,1.52,2.11,9.13,15.09,16.2
6201314,6,2013,14,Chhattisgarh,Surguja,3.56,0.29,0.59,1.33,1.92,9.5,15.27,16.29
6201414,6,2014,14,Chhattisgarh,Surguja,5.09,0.42,0.59,1.38,1.97,8.4,15.88,16.93
6201514,6,2015,14,Chhattisgarh,Surguja,4.99,0.4,0.35,1.36,1.7,8.66,15.75,16.91
6201614,6,2016,14,Chhattisgarh,Surguja,6.88,0.36,0.39,0.85,1.23,7.88,16.36,17.58
719906,7,1990,6,Madhya Pradesh,Jabalpur,15.9,0.3,7.4,31.1,38.5,19.8,74.5,78.3
719916,7,1991,6,Madhya Pradesh,Jabalpur,17.43,1.53,10.13,35.3,45.43,21.02,85.41,95.52
719926,7,1992,6,Madhya Pradesh,Jabalpur,19.9,0.34,13.22,41.68,54.9,28.18,103.32,112.3
719936,7,1993,6,Madhya Pradesh,Jabalpur,18.04,0.75,6.41,29.21,35.62,31.37,85.77,126.7
719946,7,1994,6,Madhya Pradesh,Jabalpur,18.73,0.55,7.14,31.89,39.03,32.03,90.34,137.68
719956,7,1995,6,Madhya Pradesh,Jabalpur,21.52,0.56,9.7,38.7,48.4,28.4,98.88,139.45
719966,7,1996,6,Madhya Pradesh,Jabalpur,20.86,1.74,17.35,35.26,52.61,35.22,110.44,146.84
719976,7,1997,6,Madhya Pradesh,Jabalpur,15.97,0.48,29.39,47,76.39,33.5,126.34,132.05
719986,7,1998,6,Madhya Pradesh,Jabalpur,8.16,0.04,33.21,30.51,63.72,20.81,92.73,96.52
719996,7,1999,6,Madhya Pradesh,Jabalpur,7.87,1.02,46.44,29.35,75.79,12.93,97.62,100.71
720006,7,2000,6,Madhya Pradesh,Jabalpur,7.15,0.25,49.33,30.53,79.86,11.82,99.08,102.05
720016,7,2001,6,Madhya Pradesh,Jabalpur,7.71,0.07,38.41,25.57,63.97,27.96,99.71,105.78
720026,7,2002,6,Madhya Pradesh,Jabalpur,6.81,0.08,50.27,25.62,75.9,13.89,96.68,111.08
720036,7,2003,6,Madhya Pradesh,Jabalpur,8.34,0.1,52.37,22.4,74.77,14.32,97.53,111.32
720046,7,2004,6,Madhya Pradesh,Jabalpur,7.28,0.11,55.64,23.75,79.39,15.64,102.41,116.43
720056,7,2005,6,Madhya Pradesh,Jabalpur,7.85,0.09,59.77,27.59,87.36,13.19,108.5,123.53
720066,7,2006,6,Madhya Pradesh,Jabalpur,9.45,0.1,66.68,25.4,92.08,15.76,117.39,133.19
720076,7,2007,6,Madhya Pradesh,Jabalpur,11.42,0.33,65.31,27.84,93.15,15.92,120.81,136.88
720086,7,2008,6,Madhya Pradesh,Jabalpur,9.78,0.33,68.46,26.45,94.91,18.62,123.63,146.75
720096,7,2009,6,Madhya Pradesh,Jabalpur,9.74,0.29,78.31,25.5,103.8,20.05,133.88,151.18
720106,7,2010,6,Madhya Pradesh,Jabalpur,10.95,0.12,83.53,21.45,104.98,20.95,137,155.12
720116,7,2011,6,Madhya Pradesh,Jabalpur,14.42,0.14,87.09,25.61,112.7,21.63,148.89,177.68
720126,7,2012,6,Madhya Pradesh,Jabalpur,16.64,0.12,96.2,27.61,123.8,18.24,158.81,182.3
720136,7,2013,6,Madhya Pradesh,Jabalpur,18.09,1.17,108.75,31.99,140.74,19.79,179.79,202.44
720146,7,2014,6,Madhya Pradesh,Jabalpur,19.77,1.19,113.9,38.73,152.64,20.76,194.36,225.12
720156,7,2015,6,Madhya Pradesh,Jabalpur,21.06,0.95,112.24,38.18,150.42,20.71,193.14,226.33
720166,7,2016,6,Madhya Pradesh,Jabalpur,47.01,0.78,97.24,30.9,128.14,23.38,199.3,244.52
720176,7,2017,6,Madhya Pradesh,Jabalpur,56.58,0.78,117.92,38.45,156.37,24.55,238.28,283.54
819906,8,1990,6,Madhya Pradesh,Balaghat,74.8,30.6,0,11,11,3.7,120.1,135.7
819916,8,1991,6,Madhya Pradesh,Balaghat,70.22,31.68,0.02,11.14,11.16,4.12,117.2,128.7
819926,8,1992,6,Madhya Pradesh,Balaghat,71.95,32.65,0.03,11.89,11.92,4.23,120.8,132.2
819936,8,1993,6,Madhya Pradesh,Balaghat,71.99,32.44,0.05,13.4,13.45,4.15,122,137.2
819946,8,1994,6,Madhya Pradesh,Balaghat,80.17,27.86,0.37,10.25,10.62,4.62,123.3,141.4
819956,8,1995,6,Madhya Pradesh,Balaghat,74.68,30.21,0.03,13.08,13.11,4.48,122.48,140.62
819966,8,1996,6,Madhya Pradesh,Balaghat,75.92,27.16,0.03,13.51,13.54,3.42,120,134
819976,8,1997,6,Madhya Pradesh,Balaghat,75.3,27.48,0.02,13.46,13.48,4.49,120.75,134.33
819986,8,1998,6,Madhya Pradesh,Balaghat,72.94,28.31,0.02,15.02,15.04,5.16,121.44,137.47
819996,8,1999,6,Madhya Pradesh,Balaghat,74.24,26.98,0.02,16.18,16.2,6.49,123.91,144.6
820006,8,2000,6,Madhya Pradesh,Balaghat,74.29,26.03,0.05,17.52,17.57,4,121.89,136.26
820016,8,2001,6,Madhya Pradesh,Balaghat,73.43,26.35,0.32,18.87,19.19,5.01,123.98,142.45
820026,8,2002,6,Madhya Pradesh,Balaghat,70.55,28.31,0.28,18.82,19.1,5.06,123.02,139.62
820036,8,2003,6,Madhya Pradesh,Balaghat,74.35,25.92,0.24,16.63,16.87,5.81,122.94,142.62
820046,8,2004,6,Madhya Pradesh,Balaghat,70.47,18.13,0.29,14.57,14.86,4.35,107.82,119.95
820056,8,2005,6,Madhya Pradesh,Balaghat,74.66,25.95,0.04,16.94,16.98,5.24,122.82,141.6
820066,8,2006,6,Madhya Pradesh,Balaghat,73.64,25.47,0.1,20.59,20.69,4.92,124.72,141.47
820076,8,2007,6,Madhya Pradesh,Balaghat,73.75,25.34,0.26,20.45,20.71,4.23,124.02,142.51
820086,8,2008,6,Madhya Pradesh,Balaghat,73.72,26.44,0.84,20.36,21.2,6.28,127.63,145.5
820096,8,2009,6,Madhya Pradesh,Balaghat,70.61,26.12,0.84,19.71,20.55,6.18,123.46,145.06
820106,8,2010,6,Madhya Pradesh,Balaghat,72.92,26.52,1.03,20.69,21.72,6.82,127.99,148
820116,8,2011,6,Madhya Pradesh,Balaghat,74.9,29.02,1.07,23.12,24.19,7.79,135.9,158.3
820126,8,2012,6,Madhya Pradesh,Balaghat,75.57,29.53,1.09,24.66,25.74,8.53,139.38,164.48
820136,8,2013,6,Madhya Pradesh,Balaghat,81.38,10.78,0.94,38.75,39.69,5.65,137.5,162.69
820146,8,2014,6,Madhya Pradesh,Balaghat,84.91,12.05,1.42,36.72,38.14,8.16,143.25,167.02
820156,8,2015,6,Madhya Pradesh,Balaghat,80.94,13,2.43,44.23,46.66,9.56,150.15,172.45
820166,8,2016,6,Madhya Pradesh,Balaghat,86.46,19.8,7.39,26.25,33.64,12.32,152.21,176.91
820176,8,2017,6,Madhya Pradesh,Balaghat,79.97,22.9,6.61,22.66,29.27,12.51,144.64,170.66
919906,9,1990,6,Madhya Pradesh,Chhindwara,5,1.1,1.2,59.8,61,5.4,72.5,72.5
919916,9,1991,6,Madhya Pradesh,Chhindwara,5.06,0.4,1.63,54.27,55.9,5.23,66.6,66.6
919926,9,1992,6,Madhya Pradesh,Chhindwara,5.27,0.71,2.73,58.97,61.7,5.89,73.6,73.6
919936,9,1993,6,Madhya Pradesh,Chhindwara,5.85,1.14,4.86,71.23,76.09,6.83,89.9,89.9
919946,9,1994,6,Madhya Pradesh,Chhindwara,7.29,0.59,5.75,84.72,90.47,8.92,107.3,107.3
919956,9,1995,6,Madhya Pradesh,Chhindwara,7.49,0.51,6.11,75.5,81.61,9.15,98.76,107.51
919966,9,1996,6,Madhya Pradesh,Chhindwara,6.72,0.49,9.58,76.93,86.51,8.34,102.1,109.3
919976,9,1997,6,Madhya Pradesh,Chhindwara,6.08,0.79,11.01,79.82,90.83,6.38,104.08,111.56
919986,9,1998,6,Madhya Pradesh,Chhindwara,8.23,0.31,12.9,92.61,105.51,6,120.05,127.99
919996,9,1999,6,Madhya Pradesh,Chhindwara,7.4,0.9,13.7,102.93,116.63,8.25,133.18,139.56
920006,9,2000,6,Madhya Pradesh,Chhindwara,3.36,0.94,14.25,66.37,80.62,4.71,89.62,95.09
920016,9,2001,6,Madhya Pradesh,Chhindwara,4.49,0.82,16.19,55.33,71.52,5.17,81.99,87.3
920026,9,2002,6,Madhya Pradesh,Chhindwara,9.95,1.31,18.58,57.96,76.54,5.51,93.31,102.77
920036,9,2003,6,Madhya Pradesh,Chhindwara,10.5,2.35,17.47,75.05,92.52,7.03,112.4,121.48
920046,9,2004,6,Madhya Pradesh,Chhindwara,10.13,1.89,18.54,75.11,93.65,7.34,113.02,122.39
920056,9,2005,6,Madhya Pradesh,Chhindwara,9.79,2.67,22.97,70.61,93.58,4.85,110.89,133.7
920066,9,2006,6,Madhya Pradesh,Chhindwara,10.75,4.23,29.87,76.11,105.98,5.84,126.81,150.41
920076,9,2007,6,Madhya Pradesh,Chhindwara,11.46,4.49,32.73,78.44,111.17,6.35,133.48,156.64
920086,9,2008,6,Madhya Pradesh,Chhindwara,5.77,2.88,28.01,80.95,108.96,8.98,126.59,131.68
920096,9,2009,6,Madhya Pradesh,Chhindwara,9.75,5.23,33.5,90.45,123.95,14.35,153.28,158.48
920106,9,2010,6,Madhya Pradesh,Chhindwara,12.25,7.37,32.12,99.61,131.73,18.36,169.69,169.69
920116,9,2011,6,Madhya Pradesh,Chhindwara,14.21,4.6,40.4,109.75,150.15,19.31,188.26,188.26
