Key,State Code,State,District code,District,Year,Mango Area (000Ha),Mango Production (000t),Orange  Area (000Ha),Orange Production (000t),Sweet Orange Area (000Ha),Sweet Orange Production (000t), Mandarin Orange Area (000Ha), Mandarin Orange Production (000t),Orange(Santra) Area (000Ha),Orange(Santra) Production (000t),Malta Area (000Ha),Malta Production (000t),Mausmi Area (000Ha),#N/A,Banana Area (000Ha),Banana Production (000t),Grapes Area (000Ha),Grapes Production (000t),Guava Area (000Ha),Guava Production (000t),Papaya Area (000Ha),Papaya Production (000t),Water Melon Area (000Ha),Water Melon Production (000t),Litchi Area (000Ha),Litchi Production (000t),Custard Apple Area (000Ha),Custard Apple Production (000t),Aonla Area (000Ha),Aonla Production (000t), Amla Area (000Ha), Amla Production (000t),Ber Area (000Ha),Ber Production (000t),Jack fruit Area (000Ha),Jack fruit Production (000t),Sapota  Area (000Ha),Sapota Production (000t),Pomegranate Area (000Ha),Pomegranate Production (000t),Pine Apple Area (000Ha),Pine Apple Production (000t),Lemon Area (000Ha),Lemon Production (000t),K.Lime Area (000Ha),K.Lime Production (000t),Galgal Area (000Ha),Galgal Production (000t),#N/A,#N/A,Musk Melon Area (000Ha),Musk Melon Production (000t),Pear Area (000Ha),Pear Production (000t),Date palm Area (000Ha),Date palm Production (000t),Peach Area (000Ha),Peach Production (000t),Plum Area (000Ha),Plum Production (000t),Jamun Area (000Ha),Jamun Production (000t),Bael Area (000Ha),Bael Production (000t),Strawberry Area (000Ha),Strawberry Production (000t), Apple Area (000Ha), Apple Production (000t), Apricot Area (000Ha), Apricot Production (000t), Cherry Area (000Ha), Cherry Production (000t),G_Almond Area (000Ha),G_Almond Production (000t),Almond Area (000Ha),Almond Production (000t),Persimon Area (000Ha),Persimon Production (000t),Olive Area (000Ha),Olive Production (000t),Kiwi Area (000Ha),Kiwi Production (000t),Walnut Area (000Ha),Walnut Production (000t),Picanut Area (000Ha),Picanut Production (000t),Loquat Area (000Ha),Loquat Production (000t),Fig Area (000Ha),Fig Production (000t),#N/A,#N/A,Phalsa Area (000Ha),#N/A,Mulberry Area (000Ha),#N/A,Dragon Fruit Area (000Ha),Dragon Fruit Production (000t),Citrus Area (000Ha),Citrus Production (000t),Other citrus Area (000Ha),Other citrus Production (000t),Arecanut Area (000Ha),Arecanut Production (000t),Cashew Nut Area (000Ha),Cashew Nut Production (000t),Coconut Area (000Ha),Coconut Production (000t),Other Fruits Area (000Ha),Other Fruits Production (000t),Total Fruits  Area (000Ha),Total Fruits  Production (000t)
4520071,1,Andhra Pradesh,45,Visakhapatanam,2007,19.96,171.66,0.09,1.16,,,,,,,,,,,1.58,55.13,,,0.15,2.27,0.05,4,,,,,0,0,,,,,,,,,0.02,0.21,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,21.84,234.42
4520081,1,Andhra Pradesh,45,Visakhapatanam,2008,18.97,163.13,0.09,1.16,,,,,,,,,,,1.58,55.13,0,0,0.15,2.27,0.05,4,,,,,0,0,,,,,,,,,0.02,0.21,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,20.85,225.89
4520091,1,Andhra Pradesh,45,Visakhapatanam,2009,16.6,142.77,0.11,1.46,,,,,,,,,,,1.52,53.24,0,0,0.15,2.27,0.05,4,,,,,0,0,,,,,,,,,0.02,0.21,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,18.45,203.94
4520101,1,Andhra Pradesh,45,Visakhapatanam,2010,13.28,106.27,0.04,0.55,,,,,,,,,,,1.41,49.22,0.21,4.47,0.11,1.61,0.22,17.61,,,,,0.06,0.38,,,,,,,,,0.05,0.52,0,0,,,0.01,0.15,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.28,,,,,0.23,2.35,16.43,184.39
4520111,1,Andhra Pradesh,45,Visakhapatanam,2011,13.88,111.05,0.04,0.58,,,,,,,,,,,1.47,51.43,0.22,4.67,0.11,1.68,0.23,18.4,,,,,0.07,0.39,,,,,,,,,0.05,0.54,0,0,,,0.01,0.16,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.34,,,,,0.23,2.35,17.16,192.59
4520121,1,Andhra Pradesh,45,Visakhapatanam,2012,16.2,145.8,0.1,1.35,,,,,,,,,,,1.58,55.3,0.25,5.25,0.15,2.27,0.31,24.8,,,,,0.07,0.42,,,,,,,,,0.05,0.54,0,0,,,0.01,0.15,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.29,,,,,0.35,3.5,19.26,239.66
4520131,1,Andhra Pradesh,45,Visakhapatanam,2013,16.41,147.71,0.11,1.5,,,,,,,,,,,1.92,67.21,0.28,5.84,0.17,2.51,0.34,27.53,,,,,0.08,0.47,,,,,,,,,0.11,1.13,0,0,,,0.01,0.17,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.32,,,,,0.48,4.77,20.11,259.16
4520141,1,Andhra Pradesh,45,Visakhapatanam,2014,5.87,52.83,0.11,1.5,,,,,,,,,,,1.87,65.46,,,0.17,2.51,0.34,27.53,0.63,16.38,,,0.08,0.47,,,0.24,2.4,,,,,0.4,2,,,0.64,8,0.01,0.17,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,6.47,11.03,185.72
4520151,1,Andhra Pradesh,45,Visakhapatanam,2015,6.35,55,0.11,1.5,,,,,,,,,,,1.5,52,0,0,0.17,2.51,0.2,12,0.63,16.38,,,0.08,0.47,,,0.24,4.8,0,0,0,0,0.4,2,0,0,0.64,8,0.01,0.17,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,6.7,11.06,161.53
4520161,1,Andhra Pradesh,45,Visakhapatanam,2016,16.79,201.48,0.03,0.5,,,,,,,,,,,1.84,97.52,,,0.1,1.2,0.28,27.5,0.05,1,,,0.08,0.6,,,0.1,2,,,,,0.23,3.03,,,1.14,17.13,0.01,0.09,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.26,20.72,353.3
4620071,1,Andhra Pradesh,46,East Godavari,2007,19.84,170.66,0.96,13,,,,,,,,,,,15.48,541.87,0,0,0.3,4.47,0.08,6.56,,,,,0.05,0.28,,,,,,,,,0.46,4.64,0,0,,,4.07,61.11,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0.12,1.15,41.37,803.73
4620081,1,Andhra Pradesh,46,East Godavari,2008,19.84,170.66,2.05,27.73,,,,,,,,,,,16.07,562.28,0.01,0.27,0.38,5.63,0.19,15.12,,,,,0.06,0.36,,,,,,,,,0.73,7.29,0,0,,,4.07,61.11,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0.6,5.95,44,856.39
4620091,1,Andhra Pradesh,46,East Godavari,2009,18.28,157.23,2.5,33.76,,,,,,,,,,,15.47,541.49,0,0,0.31,4.65,0.3,24,,,,,0.76,4.58,,,,,,,,,0.56,5.63,0,0,,,1.21,18.15,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0.66,6.62,40.06,796.11
4620101,1,Andhra Pradesh,46,East Godavari,2010,5.87,46.98,0.03,0.45,,,,,,,,,,,13.12,459.35,0,0,0.04,0.63,0.21,17.04,,,,,0.68,4.11,,,,,,,,,0.35,3.46,0,0,,,0.01,0.13,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,1.51,,,,,0.44,4.44,21.71,538.09
