Key,State Code,State,District code,District,Year,Mango Area (000Ha),Mango Production (000t),Orange  Area (000Ha),Orange Production (000t),Sweet Orange Area (000Ha),Sweet Orange Production (000t), Mandarin Orange Area (000Ha), Mandarin Orange Production (000t),Orange(Santra) Area (000Ha),Orange(Santra) Production (000t),Malta Area (000Ha),Malta Production (000t),Mausmi Area (000Ha),#N/A,Banana Area (000Ha),Banana Production (000t),Grapes Area (000Ha),Grapes Production (000t),Guava Area (000Ha),Guava Production (000t),Papaya Area (000Ha),Papaya Production (000t),Water Melon Area (000Ha),Water Melon Production (000t),Litchi Area (000Ha),Litchi Production (000t),Custard Apple Area (000Ha),Custard Apple Production (000t),Aonla Area (000Ha),Aonla Production (000t), Amla Area (000Ha), Amla Production (000t),Ber Area (000Ha),Ber Production (000t),Jack fruit Area (000Ha),Jack fruit Production (000t),Sapota  Area (000Ha),Sapota Production (000t),Pomegranate Area (000Ha),Pomegranate Production (000t),Pine Apple Area (000Ha),Pine Apple Production (000t),Lemon Area (000Ha),Lemon Production (000t),K.Lime Area (000Ha),K.Lime Production (000t),Galgal Area (000Ha),Galgal Production (000t),#N/A,#N/A,Musk Melon Area (000Ha),Musk Melon Production (000t),Pear Area (000Ha),Pear Production (000t),Date palm Area (000Ha),Date palm Production (000t),Peach Area (000Ha),Peach Production (000t),Plum Area (000Ha),Plum Production (000t),Jamun Area (000Ha),Jamun Production (000t),Bael Area (000Ha),Bael Production (000t),Strawberry Area (000Ha),Strawberry Production (000t), Apple Area (000Ha), Apple Production (000t), Apricot Area (000Ha), Apricot Production (000t), Cherry Area (000Ha), Cherry Production (000t),G_Almond Area (000Ha),G_Almond Production (000t),Almond Area (000Ha),Almond Production (000t),Persimon Area (000Ha),Persimon Production (000t),Olive Area (000Ha),Olive Production (000t),Kiwi Area (000Ha),Kiwi Production (000t),Walnut Area (000Ha),Walnut Production (000t),Picanut Area (000Ha),Picanut Production (000t),Loquat Area (000Ha),Loquat Production (000t),Fig Area (000Ha),Fig Production (000t),#N/A,#N/A,Phalsa Area (000Ha),#N/A,Mulberry Area (000Ha),#N/A,Dragon Fruit Area (000Ha),Dragon Fruit Production (000t),Citrus Area (000Ha),Citrus Production (000t),Other citrus Area (000Ha),Other citrus Production (000t),Arecanut Area (000Ha),Arecanut Production (000t),Cashew Nut Area (000Ha),Cashew Nut Production (000t),Coconut Area (000Ha),Coconut Production (000t),Other Fruits Area (000Ha),Other Fruits Production (000t),Total Fruits  Area (000Ha),Total Fruits  Production (000t)
12920133,3,Gujarat,129,Jamnagar,2013,0.47,2.84,,,,,,,,,,,,,0.03,1.27,,,0.01,0.05,0.42,26.09,,,,,0.07,0.49,0.04,0.21,,,0.34,3.22,,,0.25,2.82,0.45,3.78,,,,,,,,,,,,,,,0.07,0.36,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.84,,,,,0,0,0.47,4.19,0.13,0.96,2.97,48.12
12920143,3,Gujarat,129,Jamnagar,2014,0.47,2.87,,,,,,,,,,,,,0.04,1.94,,,0.01,0.05,0.48,30.19,,,,,0.07,0.49,0.04,0.21,,,0.35,3.33,,,0.25,2.88,0.57,5.03,,,,,,,,,,,,,,,0.09,0.46,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,1.9,,,,,0,0,0.51,4.25,0.18,1.39,3.31,54.98
12920153,3,Gujarat,129,Jamnagar,2015,0.42,2.62,,,,,,,,,,,,,0.04,1.76,,,0.01,0.03,0.27,16.94,,,,,0.05,0.4,0.02,0.14,,,0.18,1.66,,,0.15,1.77,0.49,5.93,,,,,,,,,,,,,,,0.09,0.43,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.81,,,,,0,0,0.15,1.24,0.09,0.64,2.16,35.37
12920163,3,Gujarat,129,Jamnagar,2016,0.42,2.67,,,,,,,,,,,,,0.04,1.76,,,0.01,0.03,0.29,15.29,,,,,0.05,0.4,0.02,0.14,,,0.18,1.7,,,0.15,1.77,0.53,6.53,,,,,,,,,,,,,,,0.1,0.48,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.18,,,,,0,0,0.15,1.24,0.09,0.66,2.27,34.85
13020053,3,Gujarat,130,Junagadh,2005,15.72,79.15,,,,,,,,,,,,,1.85,49.95,,,0.21,0.82,0.7,24.33,,,,,0.24,1.42,0.23,1.35,,,0.25,0.74,,,3.56,28.81,0,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2.94,,,,,0.01,0,5.94,51.93,0.17,0.5,29.25,241.93
13020063,3,Gujarat,130,Junagadh,2006,15.93,103.55,,,,,,,,,,,,,2.06,96.59,,,0.26,1.3,0.88,30.63,,,,,0.3,1.8,0.25,1.47,,,0.29,1.16,,,3.74,33.66,0,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,3.09,,,,,0,0,6.28,54.91,0.29,1.14,30.73,329.28
13020073,3,Gujarat,130,Junagadh,2007,16.12,112.84,,,,,,,,,,,,,2.14,85.6,,,0.23,1.15,0.65,19.5,,,,,0.27,1.62,0.23,1.38,,,0.29,1.14,,,3.67,32.99,0.06,0.17,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,3.1,,,,,0,0,6.5,71.5,0.28,1.12,30.95,332.1
13020083,3,Gujarat,130,Junagadh,2008,16.88,54.02,,,,,,,,,,,,,1.72,77.4,,,0.23,1.15,0.31,15.25,,,,,0.3,1.8,0.24,1.44,,,0.29,1.14,,,3.68,33.08,0.06,0.17,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,3.13,,,,,0.01,0,6.54,71.94,0.28,1.12,31.04,261.63
13020093,3,Gujarat,130,Junagadh,2009,17.47,139.74,,,,,,,,,,,,,1.56,69.98,,,0.23,1.15,0.26,13.2,,,,,0.3,1.8,0.12,0.69,,,0.29,1.14,,,3.81,34.25,0.04,0.13,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,3.26,,,,,0.01,0,7.08,77.84,0.28,1.18,31.97,344.34
13020103,3,Gujarat,130,Junagadh,2010,19.78,157.7,,,,,,,,,,,,,1.8,81,,,0.23,1.23,0.37,18.45,,,,,0.33,2.02,0.12,0.7,,,0.29,1.14,,,4.82,44.54,0.07,0.23,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,3.45,,,,,0.01,0,10.31,113.91,0.38,1.57,39.06,425.94
13020113,3,Gujarat,130,Junagadh,2011,20.53,156.02,,,,,,,,,,,,,1.93,88.55,,,0.23,1.23,0.38,19.55,,,,,0.36,2.17,0.12,0.7,,,0.29,1.15,,,4.89,45.38,0.07,0.23,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,3.52,,,,,0.01,0,10.81,118.91,0.13,2.37,40.31,439.76
13020123,3,Gujarat,130,Junagadh,2012,21.03,84.12,,,,,,,,,,,,,1.93,76.55,,,0.24,1.35,0.38,20.55,,,,,0.37,2.25,0.12,0.7,,,0.3,2.54,,,4.91,46.57,0.09,0.95,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,3.63,,,,,0.01,0,11.25,131.75,0.3,10.41,41.5,381.35
13020133,3,Gujarat,130,Junagadh,2013,21.32,176.96,,,,,,,,,,,,,1.01,45.36,,,0.24,1.25,0.45,22.6,,,,,0.38,3.14,0.12,0.7,,,0.29,2.28,,,4.92,46.7,0.16,1.42,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,4.91,,,,,0.01,0.01,11.57,114.54,0.43,2.92,41.49,422.78
13020143,3,Gujarat,130,Junagadh,2014,21.81,182.11,,,,,,,,,,,,,1.18,56.99,,,0.24,1.2,0.51,26.92,,,,,0.39,3.25,0.12,0.71,,,0.35,2.45,,,4.93,49.99,0.18,1.67,,,,,,,,,,,,,,,0.01,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,5.43,,,,,0.01,0.01,12.06,120,0.44,3.06,42.85,453.79
13020153,3,Gujarat,130,Junagadh,2015,8.18,56.03,,,,,,,,,,,,,0.53,25.46,,,0.18,0.92,0.33,17.66,,,,,0.34,3.13,0.08,0.52,,,0.29,2.05,,,3.69,37.65,0.15,1.46,,,,,,,,,,,,,,,0.01,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,4.44,,,,,0,0,4.85,48.26,0.24,1.73,19.33,199.31
13020163,3,Gujarat,130,Junagadh,2016,8.49,78.11,,,,,,,,,,,,,0.5,24.26,,,0.17,1.4,0.42,22.48,,,,,0.35,3.26,0.08,0.52,,,0.29,2.04,,,3.69,37.77,0.15,1.52,,,,,,,,,,,,,,,0.01,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,4.99,,,,,0,0,5.23,52.04,0.25,1.8,20.14,230.17
13120053,3,Gujarat,131,Kheda,2005,0.5,5,,,,,,,,,,,,,0.15,4.5,,,0.43,6,0.3,12,,,,,0.4,2.8,2.8,23.3,,,0.45,3.3,,,0.23,2.3,0.3,1.5,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,24.12,,,,,0,0,0.01,0.03,0.42,2.08,8,86.92
13120063,3,Gujarat,131,Kheda,2006,0.78,7,,,,,,,,,,,,,0.33,13.2,,,0.52,4.16,0.4,16,,,,,0.02,0.14,3.07,27.63,,,0.57,4.56,,,0.38,3.75,0.45,3.15,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,24.84,,,,,0,0,0.01,0.03,0.69,3.45,9.28,107.91
13120073,3,Gujarat,131,Kheda,2007,0.79,8.3,,,,,,,,,,,,,0.53,21.28,,,0.63,9.51,0.69,27.76,,,,,0.04,0.28,3.04,30.44,,,0.54,5.43,,,0.39,3.92,0.37,2.98,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,29.4,,,,,0,0,0.01,0.04,0.64,3.19,9.79,142.52
13120083,3,Gujarat,131,Kheda,2008,0.8,0.8,,,,,,,,,,,,,0.78,35.1,,,0.74,11.1,0.79,31.76,,,,,0.05,0.35,2.84,28.4,,,0.54,5.35,,,0.4,4,0.36,2.88,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,29.6,,,,,0,0,0.01,0.05,0.65,6.45,10.07,155.83
13120093,3,Gujarat,131,Kheda,2009,0.82,8.16,,,,,,,,,,,,,0.8,35.82,,,0.76,11.33,0.81,34.82,,,,,0.05,0.36,2.9,28.97,,,0.55,5.46,,,0.41,4.08,0.37,3.3,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,30.18,,,,,0,0,0.01,0.05,0.66,6.58,10.27,169.11
13120103,3,Gujarat,131,Kheda,2010,0.92,9.22,,,,,,,,,,,,,0.81,36.27,,,0.77,11.55,0.88,37.75,,,,,0.05,0.36,2.9,28.97,,,0.55,5.46,,,0.42,4.17,0.47,4.2,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,31.23,,,,,0,0,0.01,0.05,0.7,7,10.69,176.24
13120113,3,Gujarat,131,Kheda,2011,0.9,9.02,,,,,,,,,,,,,0.89,40,,,0.69,10.41,0.97,41.84,,,,,0.04,0.26,2.58,25.8,,,0.53,5.32,,,0.4,3.95,0.12,1.05,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,30.6,,,,,0,0,0.01,0.04,0.21,9.34,9.51,177.63
13120123,3,Gujarat,131,Kheda,2012,0.92,9.2,,,,,,,,,,,,,0.9,48.64,,,0.71,10.61,0.87,41.84,,,,,0.04,0.26,2.58,25.8,,,0.55,5.31,,,0.4,3.95,0.12,1.15,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,31.21,,,,,0,0,0.01,0.04,0.43,18.48,9.74,196.47
13120133,3,Gujarat,131,Kheda,2013,0.81,5.22,,,,,,,,,,,,,0.81,42.76,,,0.72,11.43,0.92,45.9,,,,,0.03,0.22,2.46,27.08,,,0.48,4.41,,,0.4,3.75,0.13,1.65,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,27.35,,,,,0,0,0.01,0.05,0.66,3.89,9.6,173.7
13120143,3,Gujarat,131,Kheda,2014,0.75,4.57,,,,,,,,,,,,,0.83,46.2,,,0.63,9.63,0.96,52.66,,,,,0.04,0.31,2.16,27.08,,,0.45,4.41,,,0.36,3.58,0.13,1.71,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,27.3,,,,,0,0,0.01,0.05,0.72,4.4,9.11,181.89
13120153,3,Gujarat,131,Kheda,2015,0.68,4.42,,,,,,,,,,,,,0.8,44.84,,,0.57,8.84,0.57,31.04,,,,,0.03,0.25,2.05,24.68,,,0.14,1.43,,,0.3,3,0.1,1.35,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,26.18,,,,,0,0,0.01,0.05,0.71,5.12,7.9,151.2
13120163,3,Gujarat,131,Kheda,2016,0.67,4.37,,,,,,,,,,,,,0.77,43.25,,,0.56,8.86,0.57,31.34,,,,,0.04,0.27,2.03,24.59,,,0.14,1.47,,,0.29,2.94,0.09,1.29,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,26.24,,,,,0,0,0.01,0.05,0.81,6.03,7.96,150.7
13220053,3,Gujarat,132,Kutch,2005,5.57,62.83,,,,,,,,,,,,,0.71,31.82,,,0.1,1.4,0.86,34.48,,,,,0,0,0.12,1.44,,,0.23,1.61,,,1.51,18.1,0.02,0.14,,,,,,,,,,,,,,,13.17,92.2,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.34,,,,,0.03,0,0.67,4.69,0.08,0.56,23.37,252.6
13220063,3,Gujarat,132,Kutch,2006,5.97,67.34,,,,,,,,,,,,,0.73,32.9,,,0.14,1.89,0.95,37.8,,,,,0,0,0.12,1.44,,,0.23,1.61,,,1.54,18.52,0.05,0.45,,,,,,,,,,,,,,,13.37,93.6,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3.34,,,,,0.03,0,0.72,5.01,0.08,0.56,24.23,264.45
13220073,3,Gujarat,132,Kutch,2007,6.69,75.49,,,,,,,,,,,,,0.83,20.75,,,0.15,2.07,1.07,21.4,,,,,0,0,0.13,1.58,,,0.24,1.67,,,1.61,19.28,0.63,3.15,,,,,,,,,,,,,,,14.09,98.62,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,3.49,,,,,0.1,0,0.78,5.48,0.12,1.39,26.75,254.38
13220083,3,Gujarat,132,Kutch,2008,7.3,25.56,,,,,,,,,,,,,0.87,43.5,,,0.16,2.24,1.23,123,,,,,0,0.02,0.14,1.62,,,0.27,1.89,,,1.73,19.84,0.71,10.65,,,,,,,,,,,,,,,15.31,107.2,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,3.32,,,,,0.1,0,0.86,6.03,0.14,1.69,29.16,346.56
13220093,3,Gujarat,132,Kutch,2009,7.81,56.29,,,,,,,,,,,,,0.99,52.16,,,0.19,2.81,1.55,167.72,,,,,0,0.02,0.01,0.07,,,0.28,2.04,,,1.73,21.08,0.86,13.66,,,,,,,,,,,,,,,16.55,122.66,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,3.59,,,,,0.11,0,0.88,6.52,0.14,1.72,31.42,450.33
13220103,3,Gujarat,132,Kutch,2010,8.02,57.82,,,,,,,,,,,,,1,52.69,,,0.23,3.48,2.05,221.04,,,,,0,0.02,0.01,0.07,,,0.33,2.43,,,1.73,21.07,1.21,19.14,,,,,,,,,,,,,,,16.69,124,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,3.74,,,,,0.11,0,0.88,6.54,0.17,1.56,32.77,513.59
13220113,3,Gujarat,132,Kutch,2011,8.23,59.34,,,,,,,,,,,,,1.18,62.27,,,0.26,3.84,2.34,252.02,,,,,0,0.02,0.01,0.07,,,0.34,2.5,,,1.74,21.24,1.48,23.42,,,,,,,,,,,,,,,16.69,124.09,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,3.8,,,,,0.11,0,0.88,6.54,0.07,2.66,33.66,561.8
13220123,3,Gujarat,132,Kutch,2012,8.5,62.42,,,,,,,,,,,,,1.52,97.45,,,0.28,4.5,2.54,212.02,,,,,0,0.02,0.01,0.07,,,0.36,3.67,,,1.72,21.68,1.96,23.31,,,,,,,,,,,,,,,16.88,135.88,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,5.09,,,,,0.11,0.35,0.89,7.14,0.17,5.82,35.29,579.41
13220133,3,Gujarat,132,Kutch,2013,8.72,74.12,,,,,,,,,,,,,1.54,77.51,,,0.31,4.9,2.91,241.53,,,,,0,0.03,0.04,0.25,,,0.4,3.63,,,1.7,18.84,2.36,30.62,,,,,,,,,,,,,,,17.25,150.93,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,3.32,,,,,0.11,0.35,0.92,7.8,0.18,1.37,36.84,615.2
13220143,3,Gujarat,132,Kutch,2014,9.17,78.36,,,,,,,,,,,,,1.96,101.76,,,0.51,8.18,3.54,299.83,,,,,0.01,0.05,0.03,0.25,,,0.5,4.65,,,1.52,17.15,3.34,46.72,,,,,,,,,,,,,,,17.37,161.72,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,3.89,,,,,0.11,0.36,0.99,8.38,0.23,1.82,39.75,733.13
13220153,3,Gujarat,132,Kutch,2015,9.37,85.24,,,,,,,,,,,,,1.9,106.62,,,0.56,9.51,3.15,266.65,,,,,0.01,0.05,0.03,0.25,,,0.58,5.37,,,1.48,16.67,4.55,72.49,,,,,,,,,,,,,,,17.66,165.63,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,7.09,,,,,0.07,0.18,0.99,8.38,0.23,1.87,41.11,746
13220163,3,Gujarat,132,Kutch,2016,9.82,91.21,,,,,,,,,,,,,1.99,112.31,,,0.6,10.17,3.2,270.91,,,,,0.01,0.06,0.03,0.25,,,0.62,5.74,,,1.47,16.92,7.97,125.69,,,,,,,,,,,,,,,18.16,170.3,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,7.58,,,,,0.07,0.1,1.02,9.05,0.25,2.01,45.76,822.31
13320053,3,Gujarat,133,Mehsana,2005,0.57,3.99,,,,,,,,,,,,,0,0,,,0.57,5.09,0.37,9.25,,,,,0.05,0,1.77,11.8,,,1.75,14,,,0.88,7.04,0.08,0.32,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,71.82,,,,,0,0,0,0,0.42,1.99,14.43,125.3
13320063,3,Gujarat,133,Mehsana,2006,0.67,5.03,,,,,,,,,,,,,0,0,,,0.57,5.13,0.49,13.1,,,,,0.05,0.05,1.86,13.02,,,1.69,13.52,,,0.98,7.9,0.19,0.76,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,78.87,,,,,0,0,0,0,0.39,1.96,15.27,139.32
13320073,3,Gujarat,133,Mehsana,2007,0.75,5.7,,,,,,,,,,,,,0,0,,,0.6,5.4,0.6,16.5,,,,,0.06,0.06,1.9,13.3,,,1.78,14.2,,,1.03,8.41,0.33,1.32,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77,78.93,,,,,0,0,0,0,0.4,1.6,16.21,145.42
13320083,3,Gujarat,133,Mehsana,2008,0.81,1.61,,,,,,,,,,,,,0,0,,,0.61,5.49,0.65,17.74,,,,,0.06,0.06,1.94,13.55,,,1.85,14.8,,,1.08,8.86,0.36,1.42,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,80.19,,,,,0,0,0,0,0.08,0.32,16.33,144.03
13320093,3,Gujarat,133,Mehsana,2009,0.88,5.3,,,,,,,,,,,,,0,0,,,0.64,5.8,0.66,23.36,,,,,0.06,0.06,1.94,13.66,,,1.87,15,,,1.09,8.8,0.36,1.48,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,83.51,,,,,0,0,0,0,0.08,0.34,16.8,157.31
13320103,3,Gujarat,133,Mehsana,2010,0.93,5.7,,,,,,,,,,,,,0,0,,,0.65,5.91,0.68,24.59,,,,,0.07,0.07,1.94,13.72,,,1.88,15.14,,,1.1,9.03,0.38,1.58,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,91,,,,,0,0,0,0,0.08,0.34,17.71,167.07
13320113,3,Gujarat,133,Mehsana,2011,0.95,5.82,,,,,,,,,,,,,0,0,,,0.69,6.27,0.71,25.65,,,,,0.07,0.07,1.96,13.86,,,1.89,15.27,,,1.12,9.15,0.41,1.74,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26,93.39,,,,,0,0,0,0,0.03,0.51,18.09,171.73
13320123,3,Gujarat,133,Mehsana,2012,0.97,5.99,,,,,,,,,,,,,0,0,,,0.74,6.86,0.81,28.65,,,,,0.07,0.08,1.97,13.99,,,1.9,17.35,,,1.12,9.25,0.48,4.73,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.43,98.01,,,,,0,0,0,0,0.04,0.21,18.53,185.11
13320133,3,Gujarat,133,Mehsana,2013,0.97,4.85,,,,,,,,,,,,,0,0,,,0.75,6.92,0.85,34.85,,,,,0.08,0.51,1.98,14.06,,,1.9,18.51,,,1.15,9.55,0.52,5.1,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48,117.9,,,,,0,0,0,0,0.04,0.26,18.71,212.5
13320143,3,Gujarat,133,Mehsana,2014,1.01,4.86,,,,,,,,,,,,,0,0.08,,,0.8,7.92,0.94,41.36,,,,,0.08,0.61,1.9,13.59,,,1.95,19.21,,,1.14,9.8,0.59,6.74,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76,122.13,,,,,0,0,0,0,0.06,0.44,19.23,226.73
13320153,3,Gujarat,133,Mehsana,2015,1,4.93,,,,,,,,,,,,,0.02,0.72,,,0.82,8.03,1.17,56.35,,,,,0.07,0.56,1.3,9.08,,,1.8,18,,,1.12,9.69,1.02,16.13,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.86,168.1,,,,,0,0,0,0,0.11,0.77,20.28,292.35
13320163,3,Gujarat,133,Mehsana,2016,1.01,5.03,,,,,,,,,,,,,0.02,0.72,,,0.82,8.12,1.18,57.27,,,,,0.07,0.58,1.28,8.93,,,1.79,17.9,,,1.13,10.09,1.04,16.44,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.31,174.57,,,,,0,0,0,0,0.11,0.77,20.75,300.4
13420053,3,Gujarat,134,Panchmahals,2005,1.82,10.94,,,,,,,,,,,,,0.15,4.5,,,0.08,0.4,0.07,2.1,,,,,0.11,0.44,0.34,3.06,,,0.09,0.63,,,0.17,1.16,0.08,0.4,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,2.79,,,,,0,0,0,0,0.08,0.38,3.3,26.79
13420063,3,Gujarat,134,Panchmahals,2006,1.98,11.9,,,,,,,,,,,,,0.2,5.88,,,0.09,1.08,0.12,3.57,,,,,0.13,0.52,0.37,2.96,,,0.1,0.7,,,0.18,1.26,0.1,0.48,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,3.47,,,,,0,0,0,0,0.1,0.45,3.75,32.25
13420073,3,Gujarat,134,Panchmahals,2007,2.07,12.42,,,,,,,,,,,,,0.21,6.3,,,0.1,1.2,0.13,5.2,,,,,0.15,0.6,0.4,3.2,,,0.11,0.74,,,0.19,1.33,0.1,0.5,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4.05,,,,,0,0,0,0,0.12,0.61,4.03,36.14
13420083,3,Gujarat,134,Panchmahals,2008,2.15,4.3,,,,,,,,,,,,,0.23,6.9,,,0.1,1.18,0.15,5.25,,,,,0.15,0.88,0.44,3.52,,,0.1,0.7,,,0.19,1.3,0.1,0.48,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,4.32,,,,,0,0,0,0,0.12,0.58,4.19,29.39
13420093,3,Gujarat,134,Panchmahals,2009,2.2,13.2,,,,,,,,,,,,,0.25,7.5,,,0.11,1.26,0.2,7,,,,,0.16,0.96,0.46,3.68,,,0.11,0.77,,,0.2,1.4,0.1,0.4,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,4.59,,,,,0,0,0,0,0.12,0.58,4.42,41.34
13420103,3,Gujarat,134,Panchmahals,2010,2.3,13.8,,,,,,,,,,,,,0.3,9.15,,,0.11,1.32,0.22,7.7,,,,,0.16,0.97,0.47,3.72,,,0.13,0.89,,,0.21,1.46,0.1,0.41,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,5.52,,,,,0,0,0,0,0.13,0.6,4.72,45.53
