DIST,YEAR,FEMALE_age_ 6YRS_ATTEND_SCHOOL,CHILDREN_below_5YRS_birth REGISTERED,HOUSEHOLD_USING_IODIZED_SALT,HOUSEHOLD_COVERED_ANY_HEALTH_SCHEME,WOMEN_10YRS_OR_MORE_SCHOOLING,MOTHER_ANTENATAL_CHECKUP,PREGNANT_TIME_CONSUMED_FOLIC_ACID,MOTHER_ANTENATAL_FULLCARE,CHILDREN_UNDER_5_YRS_STUNTED,CHILDREN_UNDER_5_YRS_WASTING,CHILDREN_UNDER_5_YRS_SEVERELY_WASTING,CHILDREN_UNDER_5_YRS_UNDER_WEIGHT,WOMEN_BMI_BELOW_NORMAL,MEN_BMI_BELOW_NORMAL,WOMEN_BMI_OVERWEIGHT,MEN_BMI_OVERWEIGHT,CHILDREN_ANAEMIC_6_59_MONTHS,WOMEN_ANAEMIC_15_49_YEARS,WOMEN_HIGH_BLOOD_SUGAR,MEN_HIGH_BLOOD_SUGAR,WOMEN_MODERATELY_HYPERTENSION,MEN_MODERATELY_HYPERTENSION
28,2015,79.5,93.5,99.7,17.7,47.4,85.4,36.7,30,39.2,16.3,6.2,30,17.7,18.6,24.3,21.4,71.4,46.5,6.1,8.6,0.8,1.5
1077,2015,68.5,98.4,63.2,64.3,41.6,47.2,52.9,23.6,37.4,19.3,7.3,28.4,17.4,13.4,20.8,29,46.5,58.6,7.4,10.5,1.3,3.8
530,2015,65.6,83.5,94.7,1.8,43.4,60.4,7.8,5.4,39.1,19.9,4.3,34.3,24.2,39.2,14.6,13,62,52.9,4.5,7.5,1.1,1.7
1031,2015,69.1,50.6,82,2.8,36.4,40.5,3,0.9,44,29.4,14.4,49.2,24.1,30,9.4,5.9,81.1,66.1,2.4,0,0.4,0
922,2015,66.2,67.9,99.1,5.6,29.6,40.9,7.1,1.8,48.1,19.4,6.7,44.7,27.5,26.4,13.5,11.6,63.5,63,5.2,4.1,1.4,1.5
204,2015,50.7,70.8,98.5,4.9,14.6,50.2,4.8,4.2,48.4,21,4.5,45,29.4,32.4,12.3,9.4,77.5,58.3,7.1,12.5,0.9,0
2013,2015,55.5,56.1,96.9,2,18.7,41.8,1.9,1,53.9,11.5,4.2,33.3,31.1,25,10.9,7.2,40,32.4,2.1,3.9,0.6,1
36,2015,57.3,92.2,97.8,8.9,10,70.6,34.8,18.2,46.8,23.2,7.4,49.9,38.6,38.8,8.1,5.2,77.2,59.6,4.7,2.6,1.3,1.3
1029,2015,57.5,65,97.7,14.7,23.8,33.8,22.2,6.4,45.7,14.9,4.6,36.1,28.5,28.1,12.5,6.7,59.4,51.6,4.1,7,1.3,4.5
1060,2015,45.4,49.2,97.4,24.9,7.2,36.6,17.7,6.7,54.5,29.3,9.2,57.2,45.2,46.1,6.7,4,83.1,66.2,4.5,5,1.9,2.9
168,2015,76.2,100,97.9,17,61.1,80.2,35.8,20.3,28.3,21.1,5.6,25.5,8.8,5.8,28.6,34.4,65.2,57.7,7.4,7.2,2.2,1.4
230,2015,55.8,38.8,85.2,4.5,13.7,37.4,12.4,1.4,54.9,16.3,6.6,40.7,36.9,45.9,7.5,5.6,49.7,44.4,3.1,5.9,1.2,0.8
157,2015,60.4,65.5,97.9,28.2,18.7,79.3,15.4,8,33.8,27.6,7.8,40.6,33.5,33.7,11.6,8.6,80.6,65,3.9,6.3,0.6,1.1
1023,2015,71.5,99,89.4,57.7,45.9,60.7,68.9,42.7,16.6,15,4.9,15.5,12,8.4,21.5,25.8,47.2,51.6,6.6,8.9,1.6,4.9
927,2015,57.4,77.9,94.9,24.7,25.8,32.2,14.6,5.8,53.6,15.5,4.8,41.9,29.4,25.6,12.6,11.4,67.8,63.4,3.3,5.4,0.6,1.8
16,2015,55.5,69.5,66.7,6.1,9.3,35,14.2,2.4,44.4,17.8,7,41.2,30.1,34.3,6.5,6.4,69.7,49.5,4.9,12.2,0.7,2
97,2015,91.7,99.3,99.4,25.9,65.2,62.7,42.5,36.3,21.5,34.6,13.4,36.5,13.8,18.4,35.2,35.6,50.8,45.9,8.1,11.2,0.5,3.8
72,2015,63.7,92.1,67.5,47.6,39.2,64,37.7,26.4,32.3,30.9,14.6,33.2,22.8,15.2,10.2,18.8,61.7,45,3.9,7.5,2,2.5
620,2015,68,95.4,99.6,6.9,19.6,44.9,25.8,15.8,31.9,16.5,6.5,28.2,22.3,18.3,10.4,12,41.4,51.6,6.1,5.3,3.5,5.6
1006,2015,62.9,99.3,98.6,11.4,20.6,78.7,36.7,25.3,24.2,30.6,13.8,31.1,18,17.7,19.5,13.4,71.5,58.4,4.2,5,0.5,0
178,2015,59.8,96.5,86.1,9.8,30.2,71.5,48.1,27.4,34.5,24.4,7.5,30.9,23.2,15.2,19,18.8,74,60.4,3.5,1.5,1.3,0.8
909,2015,54.8,80.6,88.3,24.3,18.4,41.6,19.1,3.9,48.6,24.8,8.9,44.5,29,26.2,8.4,8.5,71,59.9,3.9,3.2,0.7,0
13,2015,67.9,78.5,90.7,9.9,15.9,32.1,17.7,3,39.7,17.5,4.3,29.2,24.9,27.6,10.8,5.9,67.8,38.5,8.7,8.5,1.6,4.8
197,2015,71.8,58.8,96,9.1,35.5,37,6.7,1.5,46.1,11.6,3.8,31.2,22.3,26.8,12.6,6.4,41.3,26.7,2.9,5.5,1,0.8
938,2015,48.5,53.9,97.8,6.5,12.5,35.1,8.1,3.7,49.5,25,10.7,48.7,32.1,21.3,6.9,7.8,71.1,62.2,4,8,0.5,0.8
174,2015,64.5,100,97.9,18.7,39.3,91,32.7,25.1,20,10.6,3.3,13.7,13.9,11.9,23.1,24.7,38.6,46.9,4.9,4.5,2,1.1
707,2015,60.5,63.6,91.4,52.5,23.7,46.4,42.2,19.6,44.2,18.6,5,42.6,31.2,24.6,10.6,13.8,29.1,40.4,8.5,6.5,2.1,2.4
218,2015,62.5,46.5,92.9,3.2,39.9,45.5,16.7,5,48.8,27.2,8,52.6,29.4,23.7,14.1,13,58,50.8,3.7,3.5,0.4,1.4
19,2015,62,69.4,90.8,20.8,18,24.9,9.9,1.9,48.4,25,8.1,43.7,27.7,31.4,9.7,7.6,68.7,50.6,4.5,8,0.8,1.2
514,2015,63.4,96,99.7,12.2,21.5,63.6,45.8,34.2,47,21.9,8.6,44.3,29.9,28.4,12.1,15.1,49.3,42.8,2.2,2.9,1.6,1
925,2015,50.3,43,91.8,10.5,12.1,22.3,3.4,1,47.2,17.9,4.4,40.7,29.5,26.5,9.6,6.2,66.5,53.6,6.2,10.7,1.4,0
913,2015,60.8,78.1,97.9,20.9,29.8,55.4,12.1,9,51.3,23.6,9.1,46.9,33.4,22.5,7.7,14.3,66.9,61.6,3.6,8.9,1,2.3
44,2015,54.3,89.2,77.3,86,31.2,80.3,64.3,41.6,28.1,15,4.3,29.8,22.7,18.8,21,12.4,73,71.8,7.7,10.1,0.8,0
719,2015,71.2,71.8,87.6,63.4,24.3,72.5,35.7,25,33.6,21.6,7.9,36.2,23.5,21.4,13.1,10.7,35.6,44.5,5.3,9.7,1.4,2.7
1051,2015,62.4,76.4,99.9,17.1,12.6,63.4,36,19.5,40.1,14.3,1.8,35,42,44.1,7.7,5.3,49.1,54.2,2.5,6.8,2.7,3.7
244,2015,74.3,83.6,98.1,33.2,52.2,68.1,32.9,23.2,32.9,30.4,15,34.5,13,9.2,24.4,18.4,50.8,44.1,6.3,3.4,1.1,3.2
51,2015,52.1,69.1,73.3,79.2,20.2,79.1,51.2,35.1,44.7,18.2,3.8,35.6,23.7,15.6,20.3,26.7,54.9,53.3,5.1,1,0.9,4.2
806,2015,67.1,98.6,93.6,40.6,19.8,53.6,21.2,15.2,40.2,30.8,10.6,45.6,32.4,32.7,8.8,5.2,59.3,64.9,4.8,12,1.7,0.7
824,2015,73.4,96.2,91.3,29.5,22.6,51.5,26.9,21.1,30.1,28.5,9.1,39.5,29.9,25.5,14.7,15.3,53.7,67.2,6.5,11.3,1.2,1.1
604,2015,70.2,94.8,99.5,12.6,18.1,54.8,30.9,15.4,45.7,23.1,9,41.2,24.7,15.5,9.6,12.3,38.1,50.9,2.7,5,2.8,1.4
79,2015,52.5,94.9,83.7,21.4,22.7,63.8,33.6,31.2,56.6,34.2,10.7,59.2,26.2,17.1,10.3,19.7,74.9,45.2,3.6,6.7,0.5,4.4
2005,2015,56.3,93.1,60.5,15.9,31.7,77.7,49.6,42.5,36.9,20.1,8.8,29.4,26.7,23,15.8,16.8,61.4,54.3,5.8,5,0.9,2.6
40,2015,64.4,73.7,95.1,16.2,24,57.6,23.6,11.9,37.4,33.8,10.4,48.4,30.4,24.3,10.3,3.8,61.4,55.6,2.3,5.8,0.8,1
193,2015,64.2,67.1,97.4,3,28.4,60.2,9.1,5.9,37.4,11.4,2.4,30.8,21,24.4,25,14.6,65.4,59.2,5.3,7.9,1.3,0
637,2015,86.1,94,98.2,10.6,57.6,67.9,51.7,36.4,23.7,10.7,3.7,14.8,15.2,19.4,37.3,24.3,55.6,47.5,8.7,7.6,2.4,4.6
1034,2015,44.9,30.7,76.9,4.7,10.8,15.4,5.7,1.4,64.1,10.1,3.4,44.1,28.5,24.5,9.6,9.1,72.7,56.3,7.7,10,1.8,1
706,2015,48.9,79.1,96.1,52.6,15.8,69.5,33.9,13.4,37.3,25.5,9.3,40.8,36.1,34.1,7.4,8.6,69.6,70.6,4.3,7.6,1.3,0
926,2015,49.9,49.9,89.7,11.1,11.9,18.9,12.7,2.2,45.9,22.2,7.2,41.7,29.2,31,9.8,10.2,63.2,56.8,3.7,5.9,2.3,1.1
10,2015,67.5,81,95.4,12.1,18.9,41.2,28.9,11.3,36.8,22.9,9.4,34,28.4,27.5,12,12.9,67.9,48.5,6.8,9.3,1.1,2
150,2015,61.4,81.5,97.5,12.2,26.7,62.3,29.7,14.2,28.1,21.6,7,29,23.5,14.9,19,24,40.3,36.2,6.3,4.2,1.6,3.7
1032,2015,72.6,69.5,94.8,34.5,41.9,41.1,24.2,10.9,25.2,26.4,13.3,27.3,25.1,14.9,9.7,16.7,49.1,41.7,4.3,12.5,0.7,0.9
1047,2015,71.7,94.2,99.9,8.3,20,53.4,34.5,12.6,41,22.5,11.6,34.5,20.2,11.7,12.3,19.1,33.1,49.2,4.1,5.6,2.7,5.3
113,2015,72.5,96.1,99.7,20.3,26.3,72.2,20.5,13.8,46.2,20.4,5.1,41.9,29.6,27.9,14.3,4.3,44.1,44.3,3.2,3.4,0.9,2.4
2015,2015,54.9,92,99.7,81.5,12.5,51.8,23.4,19.1,50.7,32.3,17.1,50.5,24.1,16.9,3.1,3.3,47.3,60.2,3.9,7,0.7,0
1045,2015,57.3,64.1,86.8,13,27.4,43.8,5.1,3.3,49.8,10.7,2.2,35.9,26.8,22,12.8,16.3,70,50.7,8.1,8.2,1.7,1.9
955,2015,58.2,63.7,95.3,2,22.5,66.6,7.8,6,43.6,19.7,6.1,40.6,36,27.1,7.3,11.2,75.2,63.9,4.1,5,0.5,0
148,2015,53.9,68.6,91.3,19.2,23.9,55.1,16.9,3.4,32.1,21.1,8.4,26.1,29.6,31.5,11.9,7.1,42.2,34.7,2.4,2.9,0.3,2
237,2015,78.1,73.3,92.4,13.4,47.1,55.8,35.4,14.7,33.7,8.9,4.1,18.8,18.9,20.5,23.5,18.7,55.8,37.3,7.5,12.2,2,5.2
102,2015,71.9,93.7,94.7,9.7,42.5,57,19.9,12.7,34.7,21.9,4.3,32.5,25.6,22.4,13.9,15.1,43.4,44.8,4.4,2.7,1.1,6.3
114,2015,83,98.7,98.1,18,39.6,78.9,34.1,30.8,47.7,25,7.7,45.4,27,21.8,14.3,7.7,50.5,37.8,4.3,9.3,1.4,1.4
1024,2015,69.3,98.9,81.1,82.7,45.3,64.4,60.5,47.1,24.3,19.4,5.2,22.5,18.5,24.5,24.9,18.9,57.1,59.2,8,11.5,0.8,4.5
819,2015,57.5,88.2,96.9,25.2,13.4,37.2,6.2,4.1,42.1,14.9,5.9,36.5,28,19.1,8.6,7.9,63.6,62.3,5.1,6.8,2.4,1.8
502,2015,80.8,95,98.7,39.8,48.6,78.9,37.8,24.2,47.9,17.8,7.7,37.7,18.4,21.7,26,24,78.1,47.6,4.5,8,1.4,4.8
73,2015,52.8,90.7,72.6,13.2,20,70.9,47,42.5,47.9,26.2,10.2,55.2,24.9,26.2,14.5,10.3,73.9,55.4,3.1,6.6,0.5,1.4
708,2015,42,82.1,88.4,44.9,10.1,53.1,32.8,19.4,43.7,29.3,8.4,46.3,37.4,27.1,6.3,8.8,73.1,67.6,5.2,8.5,1.7,1.7
1068,2015,57,85.3,96.7,69.3,14.9,61.5,18.9,9.4,41.5,17.4,4.2,39.6,34.7,21.2,7.5,10,37.1,34.8,7.1,7.8,1.5,1.1
121,2015,87.6,97.1,97.2,36.9,51,95.8,56.6,54.5,26.2,26.8,11.1,27.3,19.1,22.9,34,29.4,74.1,61.3,6.1,5.6,2.6,4.3
935,2015,44.6,55.2,96.1,9.4,12.4,34.6,1.5,0.7,52.7,24.4,8.8,50,33.6,32.9,7.2,9.9,61.5,57.5,4.6,4.1,1,1
1010,2015,56.4,94.5,82.6,35.6,25,60.3,48.1,40.1,44.5,24.2,9,44.7,21.1,19.2,12.8,8.9,61.8,39.4,3.4,3.4,0.2,0
532,2015,55.2,46.7,96,5,16.3,39.9,10.9,3.4,58.7,14,4.5,44.1,28.3,44.8,12.3,4.8,65.6,56.3,9.4,15.2,1.9,0
918,2015,54.4,62.4,97.3,29.8,21,37.5,6.5,1.2,55.7,23.7,7,50,33.3,25.7,7.1,8.4,59.8,63.4,2.6,4.2,1.3,0
948,2015,59.9,61.8,96.3,21.1,27.3,29.9,2.7,1.2,55,21.6,6.9,49.1,29,27.8,11.6,12.2,63.5,57.8,5.8,5.6,0.6,0.7
1020,2015,52.9,48.5,85.4,25.9,17.1,47.5,10.8,5.5,45.6,20,6.2,35.5,32.7,39.5,8,6.2,51.3,38.9,3.1,3.7,0.5,0
1040,2015,58,60.6,95.1,3.1,28.3,52.3,8.3,4.3,46,23.8,6.7,45.2,32.5,35.8,13.7,7.9,73.9,70.1,6.2,6.6,0.2,0
74,2015,68.8,99,76,36.7,30.9,76,45.5,37,44,43.1,24.5,55.7,16.7,9.8,18.4,18.2,50.2,50.2,5.1,8.1,2.2,1.2
99,2015,85.8,97.2,99,15.3,43.5,84.2,42.5,24.3,43.7,31.3,14.9,36,20.4,15.3,30.1,24.9,52.1,56.2,4.1,6.7,0.7,1.2
42,2015,52.5,95.1,96.3,13.1,11.8,69.6,27.8,17.1,49.6,33.6,11.8,52.7,30.5,27.2,9.4,9.9,80.3,52.5,3.2,3.5,0.7,0.8
223,2015,58.6,60.7,96.3,15.3,28.2,32.1,5.1,1.7,48.8,13.6,4.2,33.3,25.4,28.9,14.6,9.4,70.8,55.5,12.8,11.6,1.5,3
1069,2015,64,90.3,99,74.3,18.9,77.7,22.4,12,43,20.3,5.8,38.4,29.4,22.4,6.9,6.9,37.1,50.8,6.7,12.8,1,0.7
1001,2015,74.5,98.9,83.6,13.2,24.8,82.5,40.4,30.2,49,22.1,7,42.6,42.5,36.4,12.5,9.6,61.1,52.8,5.2,8.7,3,1.3
634,2015,74.2,93.4,98.9,37.3,62.5,61,33.9,21.2,27.5,12.2,4.4,17.1,15.2,13.3,23.4,14.7,35.1,37,2.9,4.7,1.5,3.6
75,2015,65.7,99.2,95.8,18.3,35.6,78.6,61.7,45.2,40,33.1,18,40.3,20.6,15.8,18.6,22.8,70.7,41.5,4.9,4.7,1.8,1
2017,2015,67.9,95.1,99.6,2.6,20.3,44.6,29.4,13.7,39,18.3,7.5,32.1,20.6,12.5,9.4,12.3,40.6,56.3,3.3,7.5,3.7,6.3
1057,2015,58.4,79.5,78.1,36.1,11.9,44.3,16.8,3.6,46.9,27.8,11,48,36.2,26.3,4,5,66.6,67.5,5.5,7.5,1.4,2.5
93,2015,79.5,99.1,86.3,73.5,60.6,76.4,61.9,49.6,35.1,34.5,15.3,34.3,16,9.5,20.7,21.6,50.4,45.5,7.6,17.3,2.1,3.5
932,2015,49,61.7,97.7,16.9,12.3,31.5,6.8,2,50.4,21.7,6.6,46.2,33.5,23.2,6.1,5.5,63.4,64.8,5.2,5.4,0.5,0
180,2015,73.9,89.9,94.5,13.8,48.4,29.5,15.8,4.5,28.5,24,12.1,27.1,17.1,11.1,20.1,22,78.2,68.8,6.7,8.8,0.8,4.2
176,2015,67.5,100,97.5,10.5,42.5,68.3,31.1,18.3,16.8,10.9,5.8,13.7,12,2.8,34.5,37.2,53.3,43.7,6.1,8,2.6,1.2
83,2015,73.7,98.6,84.4,55.5,46.6,59.2,65.5,37.5,27.5,13.7,5.7,14.7,14.9,21.3,33.5,22.1,41.6,58.6,6.8,6.8,1.5,0
714,2015,76.5,78.2,95.8,34.8,28.1,57.2,24.6,11,36.7,16.3,4.1,30.6,31.2,21.3,11.6,21.8,22.4,44.1,11.3,15.5,1.7,1.5
195,2015,60.9,55.2,97.3,5,27.1,53.6,4.3,1.8,43.7,11,3.7,25.6,19,15.4,16.8,16.9,56.1,44.9,2.8,4.3,0.7,0
136,2015,64,88.1,90.9,25,29.7,71.6,23.9,19.4,53.4,25.7,8.1,47.4,38.3,27.9,11,13.7,75.3,68.6,3.6,5.6,0.8,2.8
1037,2015,56.2,70.4,75.9,2.1,19.3,40,17.6,2.2,50.7,33.1,15.1,51.6,36.1,42,6,1.1,72.5,67.9,2.1,5.5,0.2,0
960,2015,51.6,52.6,90.1,7.8,13.8,27.3,2.5,0.9,53.1,15.3,4.5,42.9,33.4,25.7,9.4,13.2,64,55,6.2,6.7,0.7,0
519,2015,58.6,44,83.6,35.1,13.7,50.9,9.9,6.5,56.5,15.6,4.7,40.5,32.2,24.6,6.3,9.2,50.3,46.3,2.2,6.2,0.6,0
962,2015,53.8,51.2,97.4,12.3,11.6,60.2,12.7,8.1,43.6,29.9,12.4,49.9,38.4,23.8,4.3,7.4,76.3,65.7,5,8.1,1.1,1.4
22,2015,54.6,74.3,95.4,15.2,10.8,48.9,28.3,10.3,44.1,31.9,15.3,50,24.8,27.9,6.7,5.7,67.1,60.1,2.2,4.6,0.8,0.6
235,2015,61.4,63,95,6,34.2,30.2,16.7,3,42.1,24,8.7,43.2,29.4,24.1,10.9,11.2,61.2,50.9,2.7,6.8,0.5,0
67,2015,61.2,95.7,81.9,40.2,30.8,65.4,47.2,23.8,28.1,20.6,10.8,29.8,24.6,10.4,19.1,18.3,63.9,45.4,5.2,9.3,1.8,2.4
1014,2015,70.2,96.1,80.9,46.4,29.2,67.5,25.6,19.6,47.5,21.3,8.4,38.8,21.7,18.9,16.7,11.8,60.4,53.1,4.8,6.8,2.6,0
37,2015,54.8,84.7,97.4,16.1,16.6,64.2,20.2,7.5,33,28.8,12.9,40.4,27.1,32,11.7,11.6,67.6,47.2,1.7,4.3,0.8,1.5
621,2015,78.1,95.2,99.8,10.4,32.4,60.4,34.2,16.9,27.7,15.9,6.7,20.3,20.7,20.2,17.1,10.5,46.1,44.4,4.4,3.8,3.7,5.2
655,2015,98.7,97.4,99.4,50.5,81.6,98.2,64.8,58.5,19.8,14.8,4.7,10.2,5.3,4.5,29.6,24.7,28.8,28.3,10.1,12.1,1.2,0
1036,2015,64.5,62.6,99,8.7,37.4,34.1,19,6.2,44.4,16.9,6.8,36.5,28.9,20.2,12,9.5,65.9,63.1,3,7.2,1.1,1.9
811,2015,79.6,96.5,94.9,24.7,27.7,69.6,40.8,36.4,31.5,18.5,5,30.9,19.7,16.3,20.6,11.6,46.2,59.8,7.8,16.8,3.2,5.7
722,2015,42.4,74.8,90.8,59.5,9.8,55.9,40,33.3,47.2,33,8.7,52.5,47.5,28.4,5,5.6,72.6,71.4,4.7,8.7,0.8,1.8
214,2015,57.2,73.2,88.3,1.3,24.4,50.9,17.1,2.6,41,28.5,11.9,40.5,32.6,25.6,4.4,6.3,58.3,54,2.3,6.4,0,2.3
950,2015,52.3,52,92.1,2.6,15.3,35.2,13.5,2.5,46.7,29.1,11,48.1,37.9,25.5,6.9,11.7,60,62.1,2.9,3.7,0.4,1.3
220,2015,62.5,69,92.3,4.2,34.9,56.7,9.4,7,39.8,14.7,3.7,30.5,21,25.7,16.8,11.9,59.8,49.2,5.2,8,1.6,2.8
231,2015,63.7,80.3,91.6,7.3,35.4,43.2,6.4,2.4,51.6,18.9,6.4,45.9,31.1,32.3,13.4,10.1,62.8,60.7,3.4,2.5,0.9,0
908,2015,64,63.8,95.5,6.9,23.9,37.9,9.3,5,48.4,21.4,4.9,44.8,30.9,24.7,12.7,17.1,61,64.6,3.4,7.3,0.7,1.8
1038,2015,66.9,61.9,99.4,9.3,33.7,65.7,13,7.7,32.7,12.5,3.9,28.2,19.2,17.7,25.5,18.8,63.6,56.5,3.5,6.1,0.7,1.6
15,2015,56.2,71.4,69.4,6.6,10.9,32.4,13.4,2.6,50,19.4,7.8,43.1,32.4,30.3,6.1,6.7,69.9,45.1,5.7,7.5,0.5,1
109,2015,77.2,94.6,98,10.1,39.1,76.5,37.9,30.1,41.7,14.8,4.3,36.6,18.2,31.2,24.7,20.1,46.6,47.9,4.8,7.4,1.1,1.2
111,2015,64.9,93.9,94.7,19.7,20.8,68.3,41.1,28.3,42.9,19.6,5.7,36.1,34.2,24.3,8.9,11.6,54.7,45.6,1.9,6.1,1,0
531,2015,53.1,57,89.2,9.1,19.1,31.2,21.5,9.8,53.8,12.7,3.5,37.4,29.4,25.5,13,8.7,59.7,48.6,9,13,2.6,5.1
1048,2015,74.2,97.1,99.2,10,35.1,57.6,33.8,21.5,36.1,6.3,0.8,15.9,17.4,11.8,11.9,11.3,39.4,39.6,6,9.8,3.2,3.3
58,2015,45.5,67.5,77.6,79.2,24.1,81.1,46.9,34.4,38.1,18.7,5.6,34.9,31.1,25.4,16.4,18.3,65.8,51.1,5.5,6,2.6,2.5
1003,2015,65.1,97,98.4,53,19.4,74.5,46.6,31.7,47.9,37.2,13.5,55.3,47,36.2,8,10.3,53.3,57.6,5.4,8.8,1.4,2.3
957,2015,50.1,70.3,96.9,16.7,11.7,56.2,8.9,4,51.5,23.8,9.5,45.3,38.2,36.3,5.4,6.6,73.8,71.4,3.7,3.6,0.6,1.6
14,2015,60.5,75.2,86.3,12,9.2,25.3,18.4,6.8,43.2,21.4,9.2,38.7,31.7,40.1,9.1,2.6,76.4,47,7.5,3.6,1.1,0
964,2015,57.7,67.1,90.4,9,24.5,56.4,19.9,4.7,47.1,24.2,9.9,56,41.3,29.1,5.9,9.6,82.4,83.4,6.4,10,2,0.9
153,2015,45.6,63.2,99.4,9.1,10.9,52.9,19.7,10.3,46.4,26.5,8.8,42.5,32.2,29.8,8.2,9.7,68.4,59.7,4,6.9,0.6,0.7
21,2015,55.7,73.7,88.7,20.7,13.3,31,20.8,7,37.6,29.6,12,42.9,30.6,31.2,8.8,6.9,67.4,63.5,4.7,5,1.6,0.8
203,2015,54.5,69.6,80.7,3.3,20.1,56.2,16.6,9.9,52.6,21.6,7.8,44.7,31.3,39.7,13.1,5.6,78.5,58,8.3,16.5,1.6,1.6
1043,2015,69.5,77.8,86,30.5,50.1,51.8,21.9,2.3,29,19.5,8.2,26.9,15.4,16.9,11.4,12.1,60.3,39.5,3.8,2.3,1.1,0
606,2015,67.5,84.4,99.7,6,13.3,48.2,23.1,10.4,28.4,19.9,11.7,23.8,18.2,12.9,12.5,10.3,25.8,37.8,4.1,9.4,2.9,0.7
18,2015,62.7,79.5,87.9,20.1,19.1,38.2,14.8,3.8,41.3,18,6.5,35.8,24.1,26.1,12.8,13,54.9,40.4,3.9,4.6,0.7,0
116,2015,72.7,95.2,97.4,14.9,29.1,65.9,32.1,23.5,53.4,25.3,14.5,53.4,30.3,29.4,10.6,12.7,73.7,48.9,4.1,4.3,0.6,3.2
1067,2015,62.5,78.8,99.4,60.6,17.1,67.2,21.4,12.6,35.6,27.3,6.8,39.6,35.8,34.7,7.3,3.7,42.8,49.2,5.9,8.3,1.7,3.7
937,2015,50.7,61.5,97.2,6.6,16.7,56.3,9.1,3.2,55.1,25.6,11.1,47.1,37,25.3,6,7.6,82,71.8,4.8,12.2,1.4,3.4
242,2015,61,77,96.7,37,48.3,48.2,20.6,3.9,32.2,45.6,26.1,41.9,20.5,19.2,4.5,6.3,60.5,44.7,4.6,4,0.3,0
953,2015,55.2,63.2,99.2,9.3,24.8,51,14.5,8.1,45.9,43.8,20.3,61.3,37.4,22.5,4.9,3.5,79.1,78.1,4.7,10.9,1.1,0
1005,2015,57,94.2,97.5,28.7,12.5,63.9,19.5,17,41.8,24.8,9.4,42.3,33.8,32.6,11.2,10.5,67.1,57.7,5.5,7.7,0.9,0
506,2015,66.7,98.8,77.9,72.2,42.5,56.1,51.9,34.8,22.2,32.2,18,24.2,16.8,12.2,23.3,22.4,58.4,61.7,7.5,7.7,1.8,2.6
503,2015,51.6,86.2,63.3,85.4,28.4,79.4,49.7,37.2,42,19.4,5.7,37.8,29.7,25.5,16,28,80.9,77.1,6.1,8.7,1.8,3.5
961,2015,59.3,88.1,93.2,24.9,30.5,43.2,5.9,2.2,51.1,29.2,15.3,53.8,31.4,28.6,7.8,6.1,65.3,56.4,4.1,7.6,0.9,0
9,2015,62.6,90.7,94.5,11.7,21.8,54.4,36.7,17.9,37.1,29.5,9.2,42.3,31.7,20.3,11.3,8.9,68.8,52.2,4.1,9.3,1.2,1.4
814,2015,67.8,92.2,92.7,43.8,18,45.5,20,12.1,39.2,24.3,9.8,38.7,25.2,17.3,9.9,9,54.6,58.9,7.9,13.8,1.9,3.8
626,2015,78.1,95.7,99.6,18.5,60.1,72.6,55.5,34,28.2,13.4,4.7,24.2,15.9,18.4,27.7,18.2,29,39.4,6.8,5.1,2,2.2
194,2015,59.7,61.9,91.7,3.8,23.6,46.4,7.7,3.7,52.2,11.9,1.9,38.4,25.6,21.4,13.6,6.4,67,58.6,4.5,13.1,0.6,0.5
201,2015,53.6,59.7,96.4,0.8,19.8,61.4,4,2.4,47,18.3,4.8,46.7,33.4,35.9,11.7,7.2,74.6,64.8,6.2,9.6,1,0.6
210,2015,59.4,36.8,97.7,6.6,37.1,31.9,19,4.9,48.4,19.6,5.4,47.5,23.7,33.5,14.4,6.9,61.7,56.3,3.3,3.3,0.8,3.6
1046,2015,41.8,34.4,74,8.5,7.9,17.9,2.2,0.6,63.4,10.1,3.1,39.5,24.9,26,9.2,7.1,69.1,48.2,7.1,11.2,2,1
802,2015,80.3,98.7,96.3,44.3,22.2,61.4,21.9,19.5,23.9,15.7,5.5,19.6,13.4,19.9,23,16.5,52,61.7,8.1,7.6,1,3.2
920,2015,60,55.4,93.1,21.4,29.3,40.9,7.9,4.6,48.8,25.1,7.4,48,32.7,34,10.7,21.6,54.5,53.9,5.2,20.2,1.3,0
951,2015,47.7,57.4,98.4,8.7,13.6,31.5,8.6,3.2,47.7,21.4,7.5,43.2,38.6,28.8,5.6,8.8,72.5,68.2,4.3,5.2,0.6,2.7
159,2015,52.6,69.4,97.3,32.5,14.5,66,15.6,8,46.3,20.4,6.3,42.1,37.1,24.6,11.2,10.7,53.9,49.6,3.3,1,1.2,1.1
216,2015,63.8,58.9,96.4,8.4,39.4,47.7,19.9,8.6,48.6,25.5,7.7,46.4,26.1,16.1,13.2,12.2,58.8,52.2,3.8,1.6,0.3,1.1
820,2015,67.9,95.7,91,38.9,18.9,53.1,43.6,27,31.6,16.4,4.2,28.8,26.9,12.1,10.5,8.8,70.2,77.4,5.5,7.3,2.8,1.8
161,2015,59,65.7,92.6,18,28.3,78.8,15.4,9.1,28.4,11.6,3.6,21.4,25.7,17.2,14.8,11.3,49.9,33.3,4,5.5,0.3,1
