Key, State Code, State name, District code, District name, Year,Chilli Area (000Ha),Chilli Production (000Tonnes),Dry Chillies Area (000Ha),Dry Chillies Production (000Tonnes),Paprika Area (000Ha),Paprika Production (000Tonnes),Methi Area (000Ha),Methi Production (000Tonnes),Ajwain Area (000Ha),Ajwain Production (000Tonnes),Karayat Area (000Ha),Karayat Production (000Tonnes),Cumin Area (000Ha),Cumin Production (000Tonnes),Black Cumin Area (000Ha),Black Cumin Production (000Tonnes),Fennel Area (000Ha),Fennel Production (000Tonnes),Fenugreek Area (000Ha),Fenugreek Production (000Tonnes),Isabgul Area (000Ha),Isabgul Production (000Tonnes),Suva Area (000Ha),Suva Production (000Tonnes),Dill Area (000Ha),Dill Production (000Tonnes),Tamarind Area (000Ha),Tamarind Production (000Tonnes),Clove Area (000Ha),Clove Production (000Tonnes),Cinnamom Area (000Ha),Cinnamom Production (000Tonnes),Cloves & Cinnamon Area (000Ha),Cloves & Cinnamon Production (000Tonnes),Vanilla Area (000Ha),Vanilla Production (000Tonnes),Mint Area (000Ha),Mint Production (000Tonnes),Betelvine Area (000Ha),Betelvine Production (000Tonnes),Pepper Area (000Ha),Pepper Production (000Tonnes),Red Pepper  Area (000Ha),Red Pepper  Production (000Tonnes),Black Pepper Area (000Ha),Black Pepper Production (000Tonnes),Radhuni Area (000Ha),Radhuni Production (000Tonnes),Cocoa Area (000Ha),Cocoa Production (000Tonnes),Ginger Area (000Ha),Ginger Production (000Tonnes),Ginger (Dry) Area (000Ha),Ginger (Dry) Production (000Tonnes),Garlic Area (000Ha),Garlic Production (000Tonnes),Turmeric Area (000Ha),Turmeric Production (000Tonnes),Cardamom Area (000Ha),Cardamom Production (000Tonnes),Coriander Area (000Ha),Coriander Production (000Tonnes),Other Spices Area (000Ha),Other Spices Production (000Tonnes),Total Spices Area (000Ha),Total Spices Production (000Tonnes),
1028201612,12,Uttar Pradesh,1028,Ambedkar Nagar,2016,.,.,0.04,0.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,0.57,.,.,.,.,0.17,0.09,.,.,0.31,0.70,
1029201312,12,Uttar Pradesh,1029,Kushi Nagar,2013,.,.,0.02,0.02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.01,.,.,0.00,0.02,0.72,2.05,.,.,0.03,0.01,.,.,0.77,2.10,
1029201412,12,Uttar Pradesh,1029,Kushi Nagar,2014,.,.,0.02,0.02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.01,.,.,0.00,0.02,0.76,2.15,.,.,0.03,0.01,.,.,0.81,2.20,
1029201512,12,Uttar Pradesh,1029,Kushi Nagar,2015,.,.,0.04,0.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.01,.,.,0.00,0.02,0.75,2.19,.,.,0.03,0.01,.,.,0.82,2.26,
1029201612,12,Uttar Pradesh,1029,Kushi Nagar,2016,.,.,0.04,0.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.01,.,.,0.00,0.02,0.76,2.18,.,.,0.03,0.01,.,.,0.83,2.25,
1031201312,12,Uttar Pradesh,1031,Auraiya,2013,.,.,0.07,0.06,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.01,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.89,16.91,.,.,.,.,0.00,0.00,.,.,2.98,16.98,
1031201412,12,Uttar Pradesh,1031,Auraiya,2014,.,.,0.07,0.06,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.01,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.00,17.74,.,.,.,.,0.00,0.00,.,.,3.10,17.81,
1031201512,12,Uttar Pradesh,1031,Auraiya,2015,.,.,0.15,0.12,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.01,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.94,17.25,.,.,.,.,0.00,0.00,.,.,3.12,17.39,
1031201612,12,Uttar Pradesh,1031,Auraiya,2016,.,.,0.15,0.12,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.01,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.97,17.42,.,.,.,.,0.00,0.00,.,.,3.15,17.56,
1033201312,12,Uttar Pradesh,1033,Baghpat,2013,.,.,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.01,.,.,.,.,.,.,0.02,0.02,
1033201412,12,Uttar Pradesh,1033,Baghpat,2014,.,.,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.01,.,.,.,.,.,.,0.02,0.02,
1033201512,12,Uttar Pradesh,1033,Baghpat,2015,.,.,0.03,0.02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.01,.,.,.,.,.,.,0.03,0.03,
