Key, State Code, State name, District code, District name, Year,Chilli Area (000Ha),Chilli Production (000Tonnes),Dry Chillies Area (000Ha),Dry Chillies Production (000Tonnes),Paprika Area (000Ha),Paprika Production (000Tonnes),Methi Area (000Ha),Methi Production (000Tonnes),Ajwain Area (000Ha),Ajwain Production (000Tonnes),Karayat Area (000Ha),Karayat Production (000Tonnes),Cumin Area (000Ha),Cumin Production (000Tonnes),Black Cumin Area (000Ha),Black Cumin Production (000Tonnes),Fennel Area (000Ha),Fennel Production (000Tonnes),Fenugreek Area (000Ha),Fenugreek Production (000Tonnes),Isabgul Area (000Ha),Isabgul Production (000Tonnes),Suva Area (000Ha),Suva Production (000Tonnes),Dill Area (000Ha),Dill Production (000Tonnes),Tamarind Area (000Ha),Tamarind Production (000Tonnes),Clove Area (000Ha),Clove Production (000Tonnes),Cinnamom Area (000Ha),Cinnamom Production (000Tonnes),Cloves & Cinnamon Area (000Ha),Cloves & Cinnamon Production (000Tonnes),Vanilla Area (000Ha),Vanilla Production (000Tonnes),Mint Area (000Ha),Mint Production (000Tonnes),Betelvine Area (000Ha),Betelvine Production (000Tonnes),Pepper Area (000Ha),Pepper Production (000Tonnes),Red Pepper  Area (000Ha),Red Pepper  Production (000Tonnes),Black Pepper Area (000Ha),Black Pepper Production (000Tonnes),Radhuni Area (000Ha),Radhuni Production (000Tonnes),Cocoa Area (000Ha),Cocoa Production (000Tonnes),Ginger Area (000Ha),Ginger Production (000Tonnes),Ginger (Dry) Area (000Ha),Ginger (Dry) Production (000Tonnes),Garlic Area (000Ha),Garlic Production (000Tonnes),Turmeric Area (000Ha),Turmeric Production (000Tonnes),Cardamom Area (000Ha),Cardamom Production (000Tonnes),Coriander Area (000Ha),Coriander Production (000Tonnes),Other Spices Area (000Ha),Other Spices Production (000Tonnes),Total Spices Area (000Ha),Total Spices Production (000Tonnes),
4420071,1,Andhra Pradesh,44,Srikakulam,2007,.,.,3.63,10.67,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.01,0.00,0.15,2.90,.,.,0.00,0.00,0.36,2.21,.,.,0.05,0.06,.,.,4.19,15.84,
4420081,1,Andhra Pradesh,44,Srikakulam,2008,.,.,3.63,10.89,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.15,2.90,.,.,0.00,0.00,0.57,3.52,.,.,0.05,0.06,.,.,4.39,17.37,
4420091,1,Andhra Pradesh,44,Srikakulam,2009,.,.,3.63,10.89,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,0.22,1.33,.,.,0.25,0.29,.,.,4.09,12.52,
4420101,1,Andhra Pradesh,44,Srikakulam,2010,.,.,9.36,28.09,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.12,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.06,0.03,0.06,1.20,.,.,0.13,1.25,0.79,4.92,.,.,0.25,0.29,.,.,10.67,35.90,
4420111,1,Andhra Pradesh,44,Srikakulam,2011,.,.,9.55,28.65,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.13,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.07,0.04,0.06,1.22,.,.,0.13,1.28,0.81,5.01,.,.,0.25,0.30,.,.,10.89,36.63,
4420121,1,Andhra Pradesh,44,Srikakulam,2012,.,.,6.53,19.60,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.12,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,.,.,.,.,.,.,0.10,0.02,0.06,1.20,.,.,0.13,1.25,0.44,2.72,.,.,0.25,0.29,.,.,7.51,25.20,
4420131,1,Andhra Pradesh,44,Srikakulam,2013,.,.,7.25,21.76,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.14,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,0.11,0.02,0.07,1.33,.,.,0.14,1.39,0.49,3.01,.,.,0.27,0.33,.,.,8.34,27.97,
4420141,1,Andhra Pradesh,44,Srikakulam,2014,.,.,0.07,0.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.06,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.10,1.46,.,.,0.00,0.00,0.24,1.69,.,.,0.04,0.08,.,.,0.46,3.57,
4420151,1,Andhra Pradesh,44,Srikakulam,2015,.,.,1.89,5.68,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.06,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,.,.,.,.,.,.,0.12,1.97,.,.,0.00,0.00,0.25,1.96,.,.,0.03,0.06,0.00,0.00,2.30,9.73,
4420161,1,Andhra Pradesh,44,Srikakulam,2016,.,.,1.89,2.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,1.97,.,.,.,.,0.25,1.96,.,.,0.03,0.06,.,.,2.30,6.34,
4520071,1,Andhra Pradesh,45,Visakhapatanam,2007,.,.,1.86,5.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.45,15.35,1.50,2.25,.,.,.,.,.,.,0.07,0.01,0.81,16.24,.,.,0.00,0.00,1.53,9.49,.,.,0.00,0.00,.,.,6.23,48.91,
4520081,1,Andhra Pradesh,45,Visakhapatanam,2008,.,.,1.97,5.91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.46,4.63,1.50,2.25,.,.,.,.,.,.,0.07,0.04,0.81,16.24,.,.,0.00,0.00,1.58,9.81,.,.,0.00,0.00,.,.,6.40,38.88,
4520091,1,Andhra Pradesh,45,Visakhapatanam,2009,.,.,1.97,5.91,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.45,4.50,1.50,2.25,.,.,.,.,.,.,0.23,0.11,0.62,12.38,.,.,0.00,0.00,1.58,9.81,.,.,0.25,0.29,.,.,6.59,35.26,
4520101,1,Andhra Pradesh,45,Visakhapatanam,2010,.,.,5.08,15.24,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,0.89,.,.,.,.,.,.,.,.,.,.,0.45,4.50,0.00,0.00,.,.,.,.,.,.,0.24,0.12,0.70,14.00,.,.,0.54,5.36,7.19,44.60,.,.,0.25,0.29,.,.,14.56,85.01,
4520111,1,Andhra Pradesh,45,Visakhapatanam,2011,.,.,5.18,15.55,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,0.91,.,.,.,.,.,.,.,.,.,.,0.46,4.59,0.00,0.00,.,.,.,.,.,.,0.27,0.13,0.71,14.28,.,.,0.55,5.47,7.34,45.49,.,.,0.25,0.30,.,.,14.88,86.72,
4520121,1,Andhra Pradesh,45,Visakhapatanam,2012,.,.,3.55,10.64,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,0.89,.,.,.,.,.,.,.,.,.,.,0.45,4.50,0.00,0.00,.,.,.,.,.,.,0.36,0.06,0.90,18.00,.,.,0.59,5.86,3.97,24.64,.,.,0.25,0.29,.,.,10.18,64.89,
4520131,1,Andhra Pradesh,45,Visakhapatanam,2013,.,.,3.94,11.81,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.13,0.99,.,.,.,.,.,.,.,.,.,.,0.50,5.00,0.00,0.00,.,.,.,.,.,.,0.41,0.07,1.00,19.98,.,.,0.65,6.50,4.41,27.35,.,.,0.27,0.33,.,.,11.31,72.03,
4520141,1,Andhra Pradesh,45,Visakhapatanam,2014,.,.,3.44,10.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.13,0.98,.,.,.,.,.,.,.,.,.,.,0.50,5.00,16.00,2.40,.,.,.,.,.,.,.,.,1.00,19.99,.,.,0.00,0.00,4.18,25.09,.,.,0.27,0.33,.,.,25.52,64.09,
4520151,1,Andhra Pradesh,45,Visakhapatanam,2015,.,.,3.44,10.31,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.13,0.98,.,.,.,.,.,.,.,.,.,.,0.50,5.00,16.00,2.40,.,.,.,.,.,.,.,.,1.00,19.99,.,.,0.00,0.00,4.18,25.09,.,.,0.27,0.33,0.00,0.00,25.52,64.09,
4520161,1,Andhra Pradesh,45,Visakhapatanam,2016,.,.,0.54,2.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.22,.,.,.,.,.,.,.,.,.,.,0.40,4.78,11.00,0.88,.,.,.,.,.,.,.,.,1.68,12.56,.,.,0.01,0.02,8.32,62.38,.,.,.,.,.,.,21.97,83.51,
4620071,1,Andhra Pradesh,46,East Godavari,2007,.,.,2.45,7.34,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.58,12.17,.,.,.,.,.,.,.,.,.,.,0.30,10.04,0.00,0.00,.,.,.,.,.,.,2.63,0.47,0.01,0.26,.,.,0.00,0.00,0.42,2.60,.,.,0.00,0.00,.,.,7.38,32.88,
4620081,1,Andhra Pradesh,46,East Godavari,2008,.,.,2.45,7.34,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.58,12.17,.,.,.,.,.,.,.,.,.,.,0.30,2.97,0.00,0.00,.,.,.,.,.,.,2.63,1.31,0.01,0.26,.,.,0.00,0.00,0.42,2.60,.,.,0.05,0.06,.,.,7.43,26.71,
4620091,1,Andhra Pradesh,46,East Godavari,2009,.,.,0.88,2.63,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.58,7.90,.,.,.,.,.,.,.,.,.,.,0.10,0.96,0.00,0.00,.,.,.,.,.,.,2.71,1.36,0.00,0.02,.,.,0.00,0.00,0.28,1.76,.,.,0.05,0.06,.,.,5.60,14.68,
4620101,1,Andhra Pradesh,46,East Godavari,2010,.,.,2.26,6.78,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.08,0.65,.,.,.,.,.,.,.,.,.,.,0.61,6.09,0.13,0.19,.,.,.,.,.,.,1.15,0.58,0.00,0.00,.,.,0.15,1.50,1.02,6.35,.,.,0.05,0.06,.,.,5.46,22.20,
4620111,1,Andhra Pradesh,46,East Godavari,2011,.,.,2.30,6.91,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,0.66,.,.,.,.,.,.,.,.,.,.,0.62,6.21,0.13,0.20,.,.,.,.,.,.,1.28,0.64,0.00,0.00,.,.,0.15,1.53,1.04,6.48,.,.,0.05,0.06,.,.,5.67,22.70,
4620121,1,Andhra Pradesh,46,East Godavari,2012,.,.,1.58,4.73,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.08,0.65,.,.,.,.,.,.,.,.,.,.,0.61,6.09,0.06,0.10,.,.,.,.,.,.,1.71,0.31,0.00,0.00,.,.,0.15,1.50,0.57,3.51,.,.,0.05,0.06,.,.,4.81,16.94,
4620131,1,Andhra Pradesh,46,East Godavari,2013,.,.,1.75,5.25,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,0.72,.,.,.,.,.,.,.,.,.,.,0.68,6.76,0.06,0.10,.,.,.,.,.,.,1.97,0.35,0.00,0.00,.,.,0.17,1.67,0.63,3.90,.,.,0.06,0.07,.,.,5.40,18.81,
4620141,1,Andhra Pradesh,46,East Godavari,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.34,3.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.38,1.88,.,.,0.09,0.17,.,.,0.80,5.46,
4620151,1,Andhra Pradesh,46,East Godavari,2015,.,.,2.35,9.40,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.22,2.21,0.00,0.00,.,.,.,.,.,.,.,.,0.00,0.00,.,.,0.00,0.00,0.16,0.79,.,.,0.02,0.10,0.04,0.04,2.78,12.54,
4620161,1,Andhra Pradesh,46,East Godavari,2016,.,.,2.89,11.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.22,0.56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.56,10.04,.,.,0.02,0.10,0.04,0.04,3.73,22.31,
4720071,1,Andhra Pradesh,47,West Godavari,2007,.,.,4.21,12.64,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.05,.,.,.,.,.,.,.,.,.,.,0.11,3.55,0.26,0.39,.,.,.,.,.,.,10.34,1.86,0.00,0.00,.,.,0.00,0.00,0.38,2.34,.,.,0.00,0.00,.,.,15.30,20.83,
4720081,1,Andhra Pradesh,47,West Godavari,2008,.,.,4.21,12.64,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.05,.,.,.,.,.,.,.,.,.,.,0.13,1.29,0.26,0.39,.,.,.,.,.,.,10.34,5.17,0.00,0.00,.,.,0.00,0.00,0.38,2.34,.,.,0.00,0.00,.,.,15.32,21.88,
4720091,1,Andhra Pradesh,47,West Godavari,2009,.,.,3.73,11.19,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.18,1.83,0.26,0.39,.,.,.,.,.,.,10.99,5.49,0.00,0.00,.,.,0.00,0.00,0.14,0.89,.,.,0.00,0.00,.,.,15.30,19.79,
4720101,1,Andhra Pradesh,47,West Godavari,2010,.,.,9.62,28.86,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.18,1.83,0.14,0.21,.,.,.,.,.,.,6.05,3.02,0.00,0.00,.,.,0.13,1.30,0.52,3.21,.,.,1.20,1.44,.,.,17.84,39.87,
4720111,1,Andhra Pradesh,47,West Godavari,2011,.,.,9.81,29.44,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.19,1.87,0.14,0.21,.,.,.,.,.,.,6.71,3.36,0.00,0.00,.,.,0.13,1.33,0.53,3.27,.,.,1.22,1.47,.,.,18.74,40.94,
4720121,1,Andhra Pradesh,47,West Godavari,2012,.,.,6.71,20.14,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.18,1.83,0.09,0.13,.,.,.,.,.,.,8.99,1.62,0.00,0.00,.,.,0.13,1.30,0.29,1.77,.,.,1.20,1.44,.,.,17.59,28.24,
4720131,1,Andhra Pradesh,47,West Godavari,2013,.,.,7.45,22.36,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.20,2.03,0.09,0.13,.,.,.,.,.,.,10.34,1.86,0.00,0.00,.,.,0.14,1.44,0.32,1.97,.,.,1.33,1.60,.,.,19.87,31.39,
4720141,1,Andhra Pradesh,47,West Godavari,2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,2.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,0.23,0.91,.,.,.,.,.,.,0.41,3.29,
4720151,1,Andhra Pradesh,47,West Godavari,2015,.,.,1.56,4.67,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.12,1.16,0.00,0.00,.,.,.,.,.,.,.,.,0.00,0.00,.,.,0.00,0.00,0.21,1.58,.,.,0.00,0.00,0.00,0.00,1.88,7.41,
4720161,1,Andhra Pradesh,47,West Godavari,2016,.,.,2.20,6.59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,6.83,0.04,0.01,.,.,.,.,.,.,.,.,0.32,2.54,.,.,.,.,.,.,.,.,0.00,0.01,.,.,2.65,15.97,
4820071,1,Andhra Pradesh,48,Krishna,2007,.,.,10.74,32.23,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.26,8.75,0.02,0.03,.,.,.,.,.,.,0.75,0.14,0.02,0.42,.,.,0.00,0.00,1.79,11.07,.,.,0.00,0.00,.,.,13.58,52.64,
4820081,1,Andhra Pradesh,48,Krishna,2008,.,.,10.74,32.23,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.26,2.59,0.02,0.03,.,.,.,.,.,.,0.75,0.38,0.02,0.42,.,.,0.00,0.00,1.88,11.68,.,.,0.00,0.00,.,.,13.68,47.33,
4820091,1,Andhra Pradesh,48,Krishna,2009,.,.,9.51,28.54,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.29,2.86,0.02,0.03,.,.,.,.,.,.,0.75,0.38,0.06,1.14,.,.,0.00,0.00,2.02,12.55,.,.,0.00,0.00,.,.,12.65,45.49,
4820101,1,Andhra Pradesh,48,Krishna,2010,.,.,24.54,73.61,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.29,2.86,0.09,0.14,.,.,.,.,.,.,0.56,0.28,0.00,0.00,.,.,0.06,0.55,9.67,59.93,.,.,0.13,0.15,.,.,35.32,137.51,
4820111,1,Andhra Pradesh,48,Krishna,2011,.,.,25.03,75.08,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.29,2.92,0.09,0.14,.,.,.,.,.,.,0.62,0.31,0.00,0.00,.,.,0.06,0.56,9.86,61.12,.,.,0.13,0.15,.,.,36.07,140.28,
4820121,1,Andhra Pradesh,48,Krishna,2012,.,.,17.12,51.36,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.29,2.86,0.04,0.06,.,.,.,.,.,.,0.83,0.15,0.00,0.00,.,.,0.06,0.55,5.34,33.11,.,.,0.13,0.15,.,.,23.80,88.25,
4820131,1,Andhra Pradesh,48,Krishna,2013,.,.,19.00,57.01,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.32,3.17,0.04,0.06,.,.,.,.,.,.,0.95,0.17,0.00,0.00,.,.,0.06,0.61,5.93,36.75,.,.,0.14,0.17,.,.,26.45,97.95,
4820141,1,Andhra Pradesh,48,Krishna,2014,.,.,11.25,56.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,1.90,.,.,.,.,.,.,.,.,.,.,0.06,0.90,.,.,0.00,0.00,2.11,12.66,.,.,.,.,.,.,13.61,71.71,
4820151,1,Andhra Pradesh,48,Krishna,2015,.,.,10.15,50.73,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.15,1.48,0.00,0.00,.,.,.,.,.,.,.,.,0.00,0.02,.,.,0.00,0.00,2.07,12.43,.,.,0.00,0.00,0.00,0.00,12.37,64.65,
4820161,1,Andhra Pradesh,48,Krishna,2016,.,.,11.58,57.88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.32,3.16,0.01,0.00,.,.,.,.,.,.,.,.,0.06,0.83,.,.,.,.,2.34,14.06,.,.,.,.,.,.,14.30,75.93,
4920071,1,Andhra Pradesh,49,Guntur,2007,.,.,63.57,190.72,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.59,20.01,0.00,0.00,.,.,.,.,.,.,.,0.00,0.00,0.00,.,.,0.00,0.00,4.32,26.77,.,.,0.00,0.00,.,.,68.48,237.50,
4920081,1,Andhra Pradesh,49,Guntur,2008,.,.,60.17,180.52,.,.,.,.,.,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.59,5.92,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,4.39,27.24,.,.,0.00,0.00,.,.,65.16,213.68,
4920091,1,Andhra Pradesh,49,Guntur,2009,.,.,66.93,200.78,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.53,5.27,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,4.70,29.16,.,.,0.00,0.00,.,.,72.16,235.22,
4920101,1,Andhra Pradesh,49,Guntur,2010,.,.,172.63,517.90,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,5.02,50.24,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.13,1.30,17.90,110.96,.,.,0.36,0.43,.,.,196.05,680.84,
4920111,1,Andhra Pradesh,49,Guntur,2011,.,.,176.09,528.26,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,5.12,51.24,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.13,1.33,18.26,113.18,.,.,0.37,0.44,.,.,199.97,694.46,
4920121,1,Andhra Pradesh,49,Guntur,2012,.,.,120.47,361.41,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,5.02,50.24,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.13,1.30,9.89,61.31,.,.,0.36,0.43,.,.,135.87,474.69,
4920131,1,Andhra Pradesh,49,Guntur,2013,.,.,133.72,401.17,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,5.58,55.77,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.14,1.44,10.98,68.05,.,.,0.40,0.48,.,.,150.82,526.91,
4920141,1,Andhra Pradesh,49,Guntur,2014,.,.,68.93,344.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.46,9.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,5.02,27.61,.,.,.,.,.,.,74.41,381.45,
4920151,1,Andhra Pradesh,49,Guntur,2015,.,.,68.26,321.24,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.41,3.81,0.00,0.00,.,.,.,.,.,.,.,.,0.00,0.00,.,.,0.00,0.00,5.04,27.71,.,.,0.00,0.00,0.00,0.00,73.71,352.77,
4920161,1,Andhra Pradesh,49,Guntur,2016,.,.,87.11,485.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.43,5.10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.51,35.05,.,.,.,.,.,.,93.05,525.24,
5020071,1,Andhra Pradesh,50,Nellore,2007,.,.,2.36,7.09,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.58,19.50,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,0.07,0.45,.,.,0.00,0.00,.,.,3.01,27.04,
5020081,1,Andhra Pradesh,50,Nellore,2008,.,.,2.36,7.09,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.58,5.77,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,0.07,0.45,.,.,0.00,0.00,.,.,3.01,13.31,
5020091,1,Andhra Pradesh,50,Nellore,2009,.,.,2.36,7.09,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.45,4.51,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,0.00,0.00,.,.,0.00,0.00,.,.,2.81,11.60,
5020101,1,Andhra Pradesh,50,Nellore,2010,.,.,6.10,18.29,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.45,4.51,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.14,1.40,0.00,0.00,.,.,0.47,0.56,.,.,7.15,24.75,
5020111,1,Andhra Pradesh,50,Nellore,2011,.,.,6.22,18.65,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.00,.,.,.,.,.,.,.,.,.,.,0.46,4.60,0.00,0.00,.,.,.,.,.,.,0.00,0.00,0.00,0.00,.,.,0.14,1.43,0.00,0.00,.,.,0.47,0.57,.,.,7.29,25.25,
