Key,Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
2200114,2,2001,14,Chhattisgarh,Bastar,-1,471,997,629,-1,396,-1,-1,1669,-1,-1,1845,2320,-1,-1,1292,-1
2200214,2,2002,14,Chhattisgarh,Bastar,-1,382,975,-1,-1,500,-1,-1,1618,-1,-1,2000,1947,-1,-1,1235,-1
2200314,2,2003,14,Chhattisgarh,Bastar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200414,2,2004,14,Chhattisgarh,Bastar,824,506,1029,1000,-1,-1,624,-1,1574,-1,-1,-1,1765,-1,-1,1409,-1
2200514,2,2005,14,Chhattisgarh,Bastar,855,545,1080,-1,-1,509,712,-1,2058,-1,-1,3200,-1,-1,-1,1454,-1
2200614,2,2006,14,Chhattisgarh,Bastar,924,583,1157,450,-1,545,-1,-1,2530,2309,-1,2324,2704,-1,1867,-1,-1
2200714,2,2007,14,Chhattisgarh,Bastar,965,714,1296,1400,-1,558,-1,-1,2691,2508,-1,4333,-1,-1,-1,-1,-1
2200814,2,2008,14,Chhattisgarh,Bastar,1435,934,1543,-1,-1,523,1385,-1,2694,-1,-1,-1,-1,-1,-1,1856,-1
2200914,2,2009,14,Chhattisgarh,Bastar,1479,965,1700,-1,-1,827,1061,-1,3059,-1,-1,3104,2329,-1,-1,2988,-1
2201014,2,2010,14,Chhattisgarh,Bastar,1425,1015,2000,-1,-1,835,1086,-1,2577,-1,-1,-1,-1,-1,-1,3064,-1
2201114,2,2011,14,Chhattisgarh,Bastar,1862,1173,2150,-1,-1,-1,-1,-1,5500,-1,-1,-1,-1,-1,-1,2938,-1
2201214,2,2012,14,Chhattisgarh,Bastar,2000,1268,1520,-1,-1,800,-1,-1,4500,-1,2600,-1,-1,-1,-1,3661,-1
2201314,2,2013,14,Chhattisgarh,Bastar,-1,1108,-1,-1,-1,1093,-1,-1,-1,-1,-1,-1,-1,-1,-1,2872,-1
2201414,2,2014,14,Chhattisgarh,Bastar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7910,-1,-1,-1,-1,-1
2201514,2,2015,14,Chhattisgarh,Bastar,2933,1297,-1,-1,-1,2800,-1,-1,-1,-1,-1,-1,-1,-1,-1,3533,-1
