Key,Dist Code,Year,State Code,State Name,Dist Name,TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent)
1199014,1,1990,14,Chhattisgarh,Durg,795.34,24.75,22.64,72.25,23.22,63.73,22.83,22.58,543.1,758,139.6
1199114,1,1991,14,Chhattisgarh,Durg,870.3,99.8,7.1,85,24.2,66.6,22.6,19.5,545.3,758.4,139.1
1199214,1,1992,14,Chhattisgarh,Durg,870.2,100.7,6.9,87.7,24.2,63.4,22.3,18.1,546.9,760.5,139.1
1199314,1,1993,14,Chhattisgarh,Durg,795.27,24.74,6.85,87.88,23.9,64.64,20.9,16.4,549.8,796.3,144.8
1199414,1,1994,14,Chhattisgarh,Durg,795.29,24.62,11.31,86.16,23.99,62.03,20.49,15.31,551.04,818.31,148.5
1199514,1,1995,14,Chhattisgarh,Durg,870.18,24.92,10.16,85.05,25.81,64.52,18.53,13.2,552.95,817.47,147.8
1199614,1,1996,14,Chhattisgarh,Durg,795.27,24.78,10.16,85.39,22.89,64.27,18.11,13.05,556.48,804,144.5
1199714,1,1997,14,Chhattisgarh,Durg,795.27,24.64,10.16,86.97,23.16,63.12,17.84,13.94,555.3,793.6,142.9
1199814,1,1998,14,Chhattisgarh,Durg,870.18,99.55,10.17,87.52,24.15,62.69,19.15,18.62,548.19,730.85,133.3
1199914,1,1999,14,Chhattisgarh,Durg,870.18,99.55,10.16,88.43,23.15,61.77,18.87,15.69,552.46,792.71,143.5
1200014,1,2000,14,Chhattisgarh,Durg,870.18,99.66,10.1,89.31,23.73,61.11,20.18,27.44,538.54,634.32,117.8
1200114,1,2001,14,Chhattisgarh,Durg,870.18,99.69,10.09,89.12,24.64,61.49,21.58,17.26,546.2,740.74,135.6
1200214,1,2002,14,Chhattisgarh,Durg,870.18,99.61,87.65,10.71,25.35,61.73,20.68,19.35,544.7,693.9,127.4
1200314,1,2003,14,Chhattisgarh,Durg,870.18,99.6,9.8,89.69,25.01,61.81,19.75,15.26,549.05,765.16,139.4
1200414,1,2004,14,Chhattisgarh,Durg,870.18,99.6,9.84,89.79,24.94,61.9,19.39,13.59,550.95,800.7,145.3
1200514,1,2005,14,Chhattisgarh,Durg,870.18,99.6,10.06,89.83,25.31,61.78,18.42,12.52,552.49,809.87,146.6
1200614,1,2006,14,Chhattisgarh,Durg,870.18,99.6,9.89,89.91,24.59,62.47,18.21,13.08,552.29,810.94,146.8
1200714,1,2007,14,Chhattisgarh,Durg,870.18,99.6,9.85,90.29,26.47,62.51,18.47,12.03,550.82,819.19,148.7
1200814,1,2008,14,Chhattisgarh,Durg,870.18,99.6,9.63,90.77,25.96,62.72,18.95,14.08,548.32,774.61,141.3
1200914,1,2009,14,Chhattisgarh,Durg,870.18,99.8,9.81,90.61,26.74,62.32,20.08,14.79,545.75,754.22,138.2
1201014,1,2010,14,Chhattisgarh,Durg,870.18,99.82,9.78,91,27.09,62.01,19.8,13.41,546.96,786.24,143.7
1201114,1,2011,14,Chhattisgarh,Durg,232,0,4.85,35.34,11.92,18.6,8.81,5.38,146.85,192.21,130.9
1201214,1,2012,14,Chhattisgarh,Durg,232,0,4.43,35.83,12.14,19.13,8.89,4.43,147.02,196.51,133.7
1201314,1,2013,14,Chhattisgarh,Durg,232,0,4.43,35.9,12.51,19.08,8.3,4.67,146.98,193.32,131.5
1201414,1,2014,14,Chhattisgarh,Durg,232,0,4.43,35.87,12.78,19.09,8.6,3.91,147.15,190.44,129.4
1201514,1,2015,14,Chhattisgarh,Durg,232,0,4.81,35.85,11.74,19.02,8.18,3.98,148.32,189.72,127.9
1201614,1,2016,14,Chhattisgarh,Durg,232,-1,4.81,35.55,12.94,19.02,8.94,4.63,146.04,186.59,127.8
2199014,2,1990,14,Chhattisgarh,Bastar,2427.98,932.85,127.3,88.58,170.47,151.57,45.6,46.19,865.4,895.3,103.5
2199114,2,1991,14,Chhattisgarh,Bastar,3906,2412.7,127,89.4,168.7,152.3,44,47.3,864.5,893.7,103.4
2199214,2,1992,14,Chhattisgarh,Bastar,3906,2412.4,127.5,89.6,172.6,150.6,45.3,51.5,856.5,883.1,103.1
2199314,2,1993,14,Chhattisgarh,Bastar,2333.38,845.17,106.29,95.61,165.9,145.75,44.2,52,878.4,909.1,103.5
2199414,2,1994,14,Chhattisgarh,Bastar,2332.87,844.39,106.32,99.92,175.49,134.71,46.23,51.55,874.26,906.99,103.7
2199514,2,1995,14,Chhattisgarh,Bastar,3906,843.4,106.28,99.11,183.47,128.17,45.56,50.76,876.19,908.66,103.7
2199614,2,1996,14,Chhattisgarh,Bastar,2332.93,844.1,105.38,99.99,186.69,126.86,46.05,50.87,873,906,103.8
2199714,2,1997,14,Chhattisgarh,Bastar,2331.7,837.02,106.76,103.42,193.42,121.72,47.12,54.04,868.2,898.01,103.4
2199814,2,1998,14,Chhattisgarh,Bastar,1701.6,1136.03,41.5,36.83,57.78,44.78,13.88,15.35,355.45,365.75,102.9
2199914,2,1999,14,Chhattisgarh,Bastar,1701.6,1134.24,42.22,34.96,62.6,43.06,13.71,15.65,355.16,365.44,102.9
2200014,2,2000,14,Chhattisgarh,Bastar,1701.6,1136.99,39.58,30.9,66.49,43.86,14.42,16.6,352.75,362.25,102.7
2200114,2,2001,14,Chhattisgarh,Bastar,1701.6,1135.4,39.19,34.28,58.97,44.77,15.09,16.25,354.05,363.29,102.6
2200214,2,2002,14,Chhattisgarh,Bastar,1701.6,1136.79,39.67,36.29,58.66,45.98,15.7,19.02,349.49,357.08,102.2
2200314,2,2003,14,Chhattisgarh,Bastar,1701.6,1136.91,39.72,37.2,62.18,42.04,15.23,17.3,351.03,360.32,102.6
2200414,2,2004,14,Chhattisgarh,Bastar,1701.6,1137.15,39.62,38.2,60.16,42.9,15.4,17.89,350.3,359.92,102.7
2200514,2,2005,14,Chhattisgarh,Bastar,1701.6,1137.37,39.56,37.62,58.24,44.69,15.63,18.09,349.4,359.15,102.8
2200614,2,2006,14,Chhattisgarh,Bastar,1010.29,499.41,37.96,35.02,51.52,42.17,12.38,14.54,317.29,327.55,103.2
2200714,2,2007,14,Chhattisgarh,Bastar,1010.29,497.82,37.97,35.39,48.7,43.8,13.9,16.4,316.32,326.38,103.2
2200814,2,2008,14,Chhattisgarh,Bastar,1010.29,497.42,38.15,35,52.19,40.77,13.04,15.78,317.94,327.9,103.1
2200914,2,2009,14,Chhattisgarh,Bastar,1010.29,497.79,38.02,36.02,51.6,39.91,12.89,16.47,317.6,327.24,103
2201014,2,2010,14,Chhattisgarh,Bastar,1010.29,497.68,38.01,36.86,55.61,37.01,16.39,13.06,315.66,326.34,103.4
2201114,2,2011,14,Chhattisgarh,Bastar,641.81,322.3,21.56,26.31,40.13,27.76,10.2,12.85,180.69,186.17,103
2201214,2,2012,14,Chhattisgarh,Bastar,405.22,85.89,21.7,26.02,40.83,27.5,10.14,12.68,180.46,186.08,103.1
2201314,2,2013,14,Chhattisgarh,Bastar,403,83.66,21.68,25.52,41.12,27.73,10.11,13.19,180,185.44,103
2201414,2,2014,14,Chhattisgarh,Bastar,389.88,80.86,20.54,25.97,38.36,28.16,12.15,10.55,173.3,179.02,103.3
2201514,2,2015,14,Chhattisgarh,Bastar,389.88,81.42,19.98,26.43,40.69,26.68,11.35,14.26,169.07,174.71,103.3
2201614,2,2016,14,Chhattisgarh,Bastar,392.09,83.82,19.98,26.33,40.08,27.39,11.81,12.96,169.72,175.59,103.5
3199014,3,1990,14,Chhattisgarh,Raipur,1525.62,175.75,22.35,135.26,47.19,142.87,37.58,27.84,936.3,1178.7,125.9
3199114,3,1991,14,Chhattisgarh,Raipur,2257.1,906.8,21.8,135,46.3,144.3,36.9,27.2,938.7,1170.9,124.7
3199214,3,1992,14,Chhattisgarh,Raipur,2257.1,905.4,21.7,136.9,45.4,143.8,35.1,27.2,940.4,1174.7,124.9
3199314,3,1993,14,Chhattisgarh,Raipur,1526.24,174.23,22.31,139.48,44.5,141.97,34.4,22.8,946.4,1208.9,127.7
3199414,3,1994,14,Chhattisgarh,Raipur,1532.68,174.92,19.42,142.6,41.8,146.54,33.18,24.23,949.85,1226.58,129.1
3199514,3,1995,14,Chhattisgarh,Raipur,2246.26,167.24,17.65,145.31,40.44,141.42,33.03,23.19,952.12,1231.38,129.3
3199614,3,1996,14,Chhattisgarh,Raipur,1519.21,159.78,17.53,147.08,41.89,145.77,33.46,24.21,949.42,1188,125.1
3199714,3,1997,14,Chhattisgarh,Raipur,1519.36,159.04,17.62,148.41,41.09,144.74,32.92,22.26,953.18,1204.9,126.4
3199814,3,1998,14,Chhattisgarh,Raipur,1344.32,525.89,9.73,86.34,31.21,96.34,26.25,18.05,550.47,650.67,118.2
3199914,3,1999,14,Chhattisgarh,Raipur,1344.46,525.83,9.76,87.03,31.62,95.05,26.16,16.24,552.65,684.27,123.8
3200014,3,2000,14,Chhattisgarh,Raipur,1344.6,526.07,9.73,88.92,32.18,94.93,26.33,21.53,544.87,598.75,109.9
3200114,3,2001,14,Chhattisgarh,Raipur,1294.41,475.98,9.75,89.53,32.28,94.11,26.02,16.74,549.97,660.42,120.1
3200214,3,2002,14,Chhattisgarh,Raipur,1344.63,526.46,9.66,88.96,33.61,93.91,25.66,18.27,548.05,629.56,114.9
3200314,3,2003,14,Chhattisgarh,Raipur,1344.63,526.38,9.74,89.31,33.94,93.91,26.11,15.8,549.32,674.24,122.7
3200414,3,2004,14,Chhattisgarh,Raipur,1344.63,526.24,9.72,89.86,34.08,94.25,26.23,15.31,548.91,669.84,122
3200514,3,2005,14,Chhattisgarh,Raipur,1344.63,526.14,9.91,91.1,34.91,93.21,27.03,14.46,547.74,675.29,123.3
3200614,3,2006,14,Chhattisgarh,Raipur,1344.63,526.27,9.72,91.55,34.6,93.99,27.04,15.02,546.33,684.16,125.2
3200714,3,2007,14,Chhattisgarh,Raipur,1344.63,524.97,9.66,91.93,34.34,94.95,27.82,15.57,545.26,686.32,125.9
3200814,3,2008,14,Chhattisgarh,Raipur,1344.63,480.03,9.82,93.27,34.06,94.44,28.03,18.41,541.23,668.39,123.5
3200914,3,2009,14,Chhattisgarh,Raipur,1344.63,524.63,9.69,93.81,34.8,95.06,30.63,20.43,535.46,650.38,121.5
3201014,3,2010,14,Chhattisgarh,Raipur,1344.63,525.16,9.46,94.32,36.01,94.44,15.77,31.28,538.07,673.5,125.2
3201114,3,2011,14,Chhattisgarh,Raipur,291.44,2.82,0.38,41.13,20.76,36.51,15.1,5.97,168.67,210.51,124.8
3201214,3,2012,14,Chhattisgarh,Raipur,291.44,2.82,0.38,44.29,21.53,36.24,15.18,5.41,165.49,221.35,133.8
3201314,3,2013,14,Chhattisgarh,Raipur,290.17,1.67,0.38,45.58,21.55,35.42,15.53,4.2,165.75,219.82,132.6
3201414,3,2014,14,Chhattisgarh,Raipur,290.17,1.67,0.38,46.7,21.58,35.08,15.02,5.53,164.11,225.18,137.2
3201514,3,2015,14,Chhattisgarh,Raipur,290.17,1.67,0.39,46.83,22.14,34.91,14.55,6.55,163.05,201,123.3
3201614,3,2016,14,Chhattisgarh,Raipur,291.44,2.94,0.36,47.61,22.61,34.67,15.28,6.01,161.85,214.45,132.5
4199014,4,1990,14,Chhattisgarh,Bilaspur,1519.78,324.76,46.44,101.97,36.01,129.67,27.98,24.8,828.2,1074.4,129.7
4199114,4,1991,14,Chhattisgarh,Bilaspur,1966,770.8,46.3,105.7,34.5,129.6,27.5,25.7,825.9,1045.5,126.6
4199214,4,1992,14,Chhattisgarh,Bilaspur,1966,768.4,46.2,108.4,34.7,129.2,28.9,24.4,825.7,1026.3,124.3
4199314,4,1993,14,Chhattisgarh,Bilaspur,1520.23,322.39,46.27,108.92,34.5,129.59,27.2,21.2,830.2,1069.5,128.8
4199414,4,1994,14,Chhattisgarh,Bilaspur,1520.23,321.74,46.19,109.33,35.27,129.32,27.89,22.71,827.78,1085.73,131.2
4199514,4,1995,14,Chhattisgarh,Bilaspur,1966.02,321.52,46.23,109.04,35.74,129.25,27.82,21.04,829.6,1026,123.7
4199614,4,1996,14,Chhattisgarh,Bilaspur,1520.23,321.5,46.23,109.08,35.35,129.92,28.35,21.97,827.84,1072,129.5
4199714,4,1997,14,Chhattisgarh,Bilaspur,1520.23,321.8,46.17,109.18,35.26,130.4,29.11,23.17,825.14,1016.93,123.2
4199814,4,1998,14,Chhattisgarh,Bilaspur,856.89,331.93,8.69,41.4,12.88,64.06,12.42,13.57,371.93,511.5,137.5
4199914,4,1999,14,Chhattisgarh,Bilaspur,856.89,331.4,8.68,41.49,12.67,64.79,12.67,11.75,373.43,496.15,132.9
4200014,4,2000,14,Chhattisgarh,Bilaspur,856.89,331.78,10.04,40.36,13.5,63.6,14.41,19.86,363.35,441.34,121.5
4200114,4,2001,14,Chhattisgarh,Bilaspur,856.89,331.49,9.68,40.26,13.39,63.57,13.62,14.01,370.88,468.91,126.4
4200214,4,2002,14,Chhattisgarh,Bilaspur,856.89,332.2,10.11,40.94,13.92,63.79,15.02,17.8,363.1,453.76,125
4200314,4,2003,14,Chhattisgarh,Bilaspur,856.89,332.41,10.11,42,12.82,63.53,14.34,13.67,368.01,483.36,131.3
4200414,4,2004,14,Chhattisgarh,Bilaspur,856.89,332.29,10.11,41.56,14.32,62.67,14.6,14.02,367.33,478.89,130.4
4200514,4,2005,14,Chhattisgarh,Bilaspur,856.89,332.45,10.03,41.61,15.31,62.97,14.87,13.63,366.02,480.81,131.4
4200614,4,2006,14,Chhattisgarh,Bilaspur,856.89,330.94,10.23,41.92,15.34,64.45,14.88,12.38,366.75,478.99,130.6
4200714,4,2007,14,Chhattisgarh,Bilaspur,856.89,330.87,10.23,42.1,15.13,64.44,14.54,14.07,365.52,481.42,131.7
4200814,4,2008,14,Chhattisgarh,Bilaspur,856.89,330.69,10.23,42.85,15.6,64.66,14.94,14.76,363.12,480.66,132.4
4200914,4,2009,14,Chhattisgarh,Bilaspur,856.89,330.82,10.23,43.78,15.91,65.11,15.55,15.27,360.19,465.68,129.3
4201014,4,2010,14,Chhattisgarh,Bilaspur,856.89,330.65,10.28,44.91,15.09,64.54,13.98,15.22,362.15,494.3,136.5
4201114,4,2011,14,Chhattisgarh,Bilaspur,581.85,218.44,10.08,30.11,16.15,49.42,12,11.37,234.23,294.58,125.8
4201214,4,2012,14,Chhattisgarh,Bilaspur,581.85,218.44,10.39,31.25,16.19,47.83,11.02,14.87,231.82,289.2,124.7
4201314,4,2013,14,Chhattisgarh,Bilaspur,474.61,111.19,10.39,31.13,16.5,48.04,10.74,13.74,232.82,291.36,125.1
4201414,4,2014,14,Chhattisgarh,Bilaspur,474.61,111.19,9.06,30.13,16.81,47.96,11.78,13.68,233.94,291.03,124.4
4201514,4,2015,14,Chhattisgarh,Bilaspur,474.61,111.19,9.06,30.13,16.81,47.96,12.08,17.65,229.67,283.56,123.5
4201614,4,2016,14,Chhattisgarh,Bilaspur,581.85,218.68,9.06,27.54,21.15,48.24,12.35,21.53,223.24,267.98,120
5199014,5,1990,14,Chhattisgarh,Raigarh,1034.88,120.67,118.27,71.75,15.18,100.12,29.13,33.72,545.8,583,106.8
5199114,5,1991,14,Chhattisgarh,Raigarh,1298.5,384,118.4,72,14.4,100.8,28.9,33.7,546.1,581.6,106.5
5199214,5,1992,14,Chhattisgarh,Raigarh,1298.5,384.7,118.1,70,15.5,101.7,29.1,35.3,544.1,577.3,106.1
5199314,5,1993,14,Chhattisgarh,Raigarh,1034.05,120.32,118.02,70.19,15.2,102.38,28.1,34.2,545.5,581.5,106.6
5199414,5,1994,14,Chhattisgarh,Raigarh,1034.05,120.61,117.87,70.46,15.56,103.14,28.41,36.32,541.59,577.09,106.6
5199514,5,1995,14,Chhattisgarh,Raigarh,1298.52,120.49,117.84,70.61,15.62,103.2,29.43,36.51,540.26,575.36,106.5
5199614,5,1996,14,Chhattisgarh,Raigarh,1034.05,120.73,117.97,71.36,15.38,103.83,29.33,35.42,539.94,573,106.1
5199714,5,1997,14,Chhattisgarh,Raigarh,1034.05,120.87,118.4,71.29,15.2,104.66,29.18,36.33,538.11,572.18,106.3
5199814,5,1998,14,Chhattisgarh,Raigarh,652.77,208.22,14.28,45.23,9.33,64.27,13.82,14.32,283.29,295.06,104.2
5199914,5,1999,14,Chhattisgarh,Raigarh,603.14,18.79,30.61,40.37,9.86,83.62,3.48,1.28,282.35,302.82,107.2
5200014,5,2000,14,Chhattisgarh,Raigarh,652.77,208.26,14.31,45.76,9.26,64.21,14.26,14.48,282.23,299.99,106.3
5200114,5,2001,14,Chhattisgarh,Raigarh,652.77,208,14.3,45.66,9.99,64.32,15.16,15.19,280.15,301.48,107.6
5200214,5,2002,14,Chhattisgarh,Raigarh,652.77,207.51,14.29,46.26,9.86,64.58,15.01,14.99,280.27,304.64,108.7
5200314,5,2003,14,Chhattisgarh,Raigarh,652.77,208.01,14.31,46.43,9.66,64.34,14.34,14.72,280.96,317.74,113.1
5200414,5,2004,14,Chhattisgarh,Raigarh,652.77,207.96,14.28,49.27,7.91,64.08,15.1,14.13,280.04,310.79,111
5200514,5,2005,14,Chhattisgarh,Raigarh,652.77,208.02,14.27,49.56,7.78,64.14,15.95,15.51,277.53,310.07,111.7
5200614,5,2006,14,Chhattisgarh,Raigarh,652.77,208.01,14.3,49.92,7.85,64.04,16.28,15.24,277.13,309.82,111.8
5200714,5,2007,14,Chhattisgarh,Raigarh,652.77,207.9,14.3,50.18,8.42,63.15,16.19,16.74,275.91,309.15,112
5200814,5,2008,14,Chhattisgarh,Raigarh,652.77,207.66,14.37,51.93,6.63,63.31,16.73,16.56,275.58,307.83,111.7
5200914,5,2009,14,Chhattisgarh,Raigarh,652.77,207.69,14.39,52.35,8,63.56,17.38,17.07,272.33,303.26,111.4
5201014,5,2010,14,Chhattisgarh,Raigarh,652.77,207.73,14.39,54.32,6.36,63.52,17.24,17.23,272,303.22,111.5
5201114,5,2011,14,Chhattisgarh,Raigarh,652.77,207.73,14.4,55.82,4.72,64.07,15.57,20.29,270.17,300.92,111.4
5201214,5,2012,14,Chhattisgarh,Raigarh,652.77,207.73,14.4,56.17,5.43,64.05,18.46,17.21,269.31,299.86,111.3
5201314,5,2013,14,Chhattisgarh,Raigarh,505,58.44,14.36,56.1,5.64,64.37,18.76,17.74,269.58,300.52,111.5
5201414,5,2014,14,Chhattisgarh,Raigarh,505,59.61,14.35,57.16,4.88,64.53,19.04,31.11,254.3,287.01,112.9
5201514,5,2015,14,Chhattisgarh,Raigarh,505,59.91,14.32,57.4,5.1,64.33,29.46,18.95,255.53,287.43,112.5
5201614,5,2016,14,Chhattisgarh,Raigarh,652.77,207.68,14.34,57.52,5.33,64.34,20.72,15.51,267.33,299.87,112.2
6199014,6,1990,14,Chhattisgarh,Surguja,1803.37,679.65,43.47,112.57,0,205.47,42.12,50.81,593.9,680.2,114.5
6199114,6,1991,14,Chhattisgarh,Surguja,2201.5,1114,20.6,110.7,0,216.3,41.2,53.2,591.1,664.6,112.4
6199214,6,1992,14,Chhattisgarh,Surguja,2201.5,1113,20.6,111.3,0,217.1,43,63,579.1,632.5,109.2
6199314,6,1993,14,Chhattisgarh,Surguja,1628.43,540.35,20.63,111,0,269.49,41.9,58.2,586.9,663,113
6199414,6,1994,14,Chhattisgarh,Surguja,1628.81,539.1,20.64,111.22,0,268.93,40.68,52.18,596.07,678.73,113.9
6199514,6,1995,14,Chhattisgarh,Surguja,2201.48,475.82,20.74,112.07,0,256.48,38.89,52.58,595.45,681.93,114.5
6199614,6,1996,14,Chhattisgarh,Surguja,1383.08,331.14,21.09,104.3,0,237.7,38.57,52.88,597.01,679,113.7
6199714,6,1997,14,Chhattisgarh,Surguja,1323.08,282.48,20.76,100.74,0,228.76,39.63,53.67,597.05,682.89,114.4
6199814,6,1998,14,Chhattisgarh,Surguja,1603.44,760.14,7.9,79.59,0,196.05,29.05,41.33,489.38,557.26,113.9
6199914,6,1999,14,Chhattisgarh,Surguja,1603.44,759.57,8.37,79.7,0,195.69,29.9,40.09,490.12,565.61,115.4
6200014,6,2000,14,Chhattisgarh,Surguja,1603.44,775.44,7.94,76.53,0,182.94,30.25,44.05,486.29,559.36,115
6200114,6,2001,14,Chhattisgarh,Surguja,1603.44,773.27,7.9,77.1,0,182.41,31.42,43.58,487.77,563.13,115.5
6200214,6,2002,14,Chhattisgarh,Surguja,1603.44,771.49,7.89,78.32,0,183.99,31.75,45.03,484.97,558.91,115.2
6200314,6,2003,14,Chhattisgarh,Surguja,1603.44,771.41,7.94,78.89,0,183.55,31.84,44.9,484.92,563.16,116.1
6200414,6,2004,14,Chhattisgarh,Surguja,1603.44,771.66,7.94,78.77,0,184,32.35,48.38,480.35,555.63,115.7
6200514,6,2005,14,Chhattisgarh,Surguja,1603.44,771.82,7.95,79.05,0,183.99,32.31,48.96,479.36,554,115.6
6200614,6,2006,14,Chhattisgarh,Surguja,1603.44,771.74,7.96,79.34,0,183.84,32.11,46.61,481.81,557.15,115.6
6200714,6,2007,14,Chhattisgarh,Surguja,1603.44,771.51,7.94,79.28,0,183.61,33.53,48.41,479.16,553.83,115.6
6200814,6,2008,14,Chhattisgarh,Surguja,1603.44,771.51,7.94,80.1,0,184.41,32.32,51.72,475.44,548.01,115.3
6200914,6,2009,14,Chhattisgarh,Surguja,1603.44,771.52,7.93,82.93,0,185.06,32.83,51.5,471.68,541.72,114.9
6201014,6,2010,14,Chhattisgarh,Surguja,1603.44,772.17,7.96,83.44,0,183.81,55.97,34.28,465.82,535.28,114.9
6201114,6,2011,14,Chhattisgarh,Surguja,501.98,241.19,5.11,24.83,0,44.79,9.57,16.86,159.63,183.45,114.9
6201214,6,2012,14,Chhattisgarh,Surguja,501.98,241.16,5.1,25.12,0,44.86,16.56,9.87,159.32,183.08,114.9
6201314,6,2013,14,Chhattisgarh,Surguja,375.1,112.47,5.12,25.38,0,46.46,9.87,16.46,159.35,182.27,114.4
6201414,6,2014,14,Chhattisgarh,Surguja,375.1,113.57,5.12,25.28,0,45.86,10.45,15.66,159.17,182.6,114.7
6201514,6,2015,14,Chhattisgarh,Surguja,375.1,113.28,5.11,25.26,0,46.01,10.13,15.57,159.75,182.56,114.3
6201614,6,2016,14,Chhattisgarh,Surguja,501.98,240.17,5.12,25.35,-1,46.18,10,20.57,154.59,182.71,118.2
719906,7,1990,6,Madhya Pradesh,Jabalpur,920.62,51.84,97.28,57.95,68.05,100.11,46.65,42.73,455.7,551.1,120.9
719916,7,1991,6,Madhya Pradesh,Jabalpur,1012.5,154.6,87.1,59.3,68.3,97.2,48.5,54.8,442.4,522.6,118.1
719926,7,1992,6,Madhya Pradesh,Jabalpur,1012.5,154.6,84.4,62.2,63.2,98.1,45,46,458.6,561.2,122.4
719936,7,1993,6,Madhya Pradesh,Jabalpur,911.9,54.25,84.41,62.96,59.7,97.2,44.2,39.3,469.1,601.1,128.1
719946,7,1994,6,Madhya Pradesh,Jabalpur,911.97,54.23,83.76,63.74,57.45,96.93,42.22,36.2,476.71,602.78,126.4
719956,7,1995,6,Madhya Pradesh,Jabalpur,1012.77,54.93,84.11,64.64,54.48,96.91,40.74,34.73,481,619.05,128.7
719966,7,1996,6,Madhya Pradesh,Jabalpur,889.39,59.28,69.57,61.17,53.53,86.13,40.14,34.88,480.84,630,131
719976,7,1997,6,Madhya Pradesh,Jabalpur,889.39,50.36,70.59,71.73,52.95,87.61,40.12,41.23,474.08,622.12,131.2
719986,7,1998,6,Madhya Pradesh,Jabalpur,519.76,73.71,38.84,31.24,22,42.44,16.29,16.45,278.65,368.59,132.3
719996,7,1999,6,Madhya Pradesh,Jabalpur,519.76,74.12,38.43,31.54,23.97,42.14,17.26,16.25,275.92,367.28,133.1
720006,7,2000,6,Madhya Pradesh,Jabalpur,519.76,74.85,37.88,32.52,23.39,42.5,17.77,23.96,266.8,354.36,132.8
720016,7,2001,6,Madhya Pradesh,Jabalpur,519.76,82.73,32.01,32.55,23.25,40.66,18.15,20.03,270.17,357.68,132.4
720026,7,2002,6,Madhya Pradesh,Jabalpur,519.76,77.75,36.84,33.5,22.92,39.7,17.85,20.74,270.39,362.88,134.2
720036,7,2003,6,Madhya Pradesh,Jabalpur,519.76,77.64,36.83,31.99,24.16,40.12,16.98,17.52,274.48,374.53,136.5
720046,7,2004,6,Madhya Pradesh,Jabalpur,519.76,77.65,36.84,32.07,24.6,39.92,16.77,16.99,274.85,377.02,137.2
720056,7,2005,6,Madhya Pradesh,Jabalpur,519.76,77.65,36.93,36.63,22.71,39.61,16.56,16.87,272.66,364.57,133.7
720066,7,2006,6,Madhya Pradesh,Jabalpur,519.76,25.42,36.94,36.72,22.58,39.68,16.07,16.2,273.81,371.84,135.8
720076,7,2007,6,Madhya Pradesh,Jabalpur,519.76,25.43,36.93,36.86,22.83,39.67,15.68,15.83,274.19,377.4,137.6
720086,7,2008,6,Madhya Pradesh,Jabalpur,519.76,25.43,36.92,37.99,22.37,39.87,15.28,13.77,275.85,381.65,138.4
720096,7,2009,6,Madhya Pradesh,Jabalpur,519.76,25.43,36.93,38.15,22.59,39.86,17.1,15.14,272.19,373.36,137.2
720106,7,2010,6,Madhya Pradesh,Jabalpur,519.76,25.43,36.93,38.31,17.3,39.96,16.08,15.17,278.29,386.56,138.9
720116,7,2011,6,Madhya Pradesh,Jabalpur,519.76,25.43,36.93,38.78,18.72,39.74,14.53,15.62,277.68,400.87,144.4
720126,7,2012,6,Madhya Pradesh,Jabalpur,519.76,77.65,36.92,38.96,19.56,39.94,14.58,13.2,278.88,397.42,142.5
720136,7,2013,6,Madhya Pradesh,Jabalpur,519.76,76.68,36.92,41.47,24.58,39.95,12.71,8.64,278.71,424.27,152.2
720146,7,2014,6,Madhya Pradesh,Jabalpur,519.76,77.65,36.92,40.51,23.46,39.94,16.64,11.2,273.33,431.09,157.7
720156,7,2015,6,Madhya Pradesh,Jabalpur,519.76,77.65,36.92,41.82,23.4,39.97,16.8,12.16,270.9,428.35,158.1
720166,7,2016,6,Madhya Pradesh,Jabalpur,519.76,77.65,36.92,40.49,23.29,40.04,16.75,12.03,272.45,450.64,165.4
720176,7,2017,6,Madhya Pradesh,Jabalpur,519.76,77.64,36.96,38.41,28.68,39.97,16.87,12.18,268.9,464.66,172.8
819906,8,1990,6,Madhya Pradesh,Balaghat,658.61,230.92,3.7,46.47,24.86,47.81,15.91,11.66,277.1,367.1,132.5
819916,8,1991,6,Madhya Pradesh,Balaghat,924.5,496.8,3.5,46.9,25.5,48.1,16.3,13,274.2,348.1,127
819926,8,1992,6,Madhya Pradesh,Balaghat,924.5,496.7,1.2,46.7,28.2,47.7,16.5,12.1,275.2,351.8,127.8
819936,8,1993,6,Madhya Pradesh,Balaghat,924.5,496.7,8.41,45.64,27.7,27.94,15,10.1,278.2,369.7,132.9
819946,8,1994,6,Madhya Pradesh,Balaghat,924.5,496.7,9.45,44.34,27.05,28.29,14.82,10.43,278.84,375.55,134.7
819956,8,1995,6,Madhya Pradesh,Balaghat,924.5,496.7,9.59,46.68,28.01,30.32,15.09,10.76,277.59,373.13,134.4
819966,8,1996,6,Madhya Pradesh,Balaghat,924.5,496.7,9.55,45.95,27.72,31.13,14.84,14.33,273.79,353,128.9
819976,8,1997,6,Madhya Pradesh,Balaghat,924.5,496.7,9.7,46.04,27.84,32.43,15.62,13.49,273.22,337.58,123.6
