Key,Dist Code,Year,State Code,State Name,Dist Name,DIESEL PUMPSETS NUMBER (1000 Number),DIESEL PUMPSETS DENSITY (Per 1000 ha),ELECTRIC PUMPSETS NUMBER (1000 Number),ELECTRIC PUMPSETS DENSITY (Per 1000 ha),POWER TILLER NUMBER (1000 Number),POWER TILLER DENSITY (Per 1000 ha),TRACTORS NUMBER (1000 Number),TRACTORS DENSITY (Per 1000 ha)
1320076,13,2007,6,Madhya Pradesh,Sagar,25.39,470.39,49.55,918.21,-1,-1,13.55,251.1
1419926,14,1992,6,Madhya Pradesh,Damoh,3.72,129.31,6.59,229.45,0.55,19.07,0.94,32.68
1419976,14,1997,6,Madhya Pradesh,Damoh,7.39,246.16,12.9,429.62,-1,-1,1.84,61.32
1420036,14,2003,6,Madhya Pradesh,Damoh,5.73,185.48,12.64,408.99,0.06,2.04,3.33,107.73
1420076,14,2007,6,Madhya Pradesh,Damoh,6.81,218.24,19.14,613.91,-1,-1,4.08,130.95
1519926,15,1992,6,Madhya Pradesh,Tikamgarh,1.79,70.71,10.87,428.5,0.45,17.7,0.86,33.98
1519976,15,1997,6,Madhya Pradesh,Tikamgarh,2.9,108.38,11.32,422.73,-1,-1,1.89,70.62
1520036,15,2003,6,Madhya Pradesh,Tikamgarh,33.33,1291.12,66.94,2592.81,0.18,7.09,4.31,167.02
1520076,15,2007,6,Madhya Pradesh,Tikamgarh,15.82,683.85,42.83,1851.27,-1,-1,4.27,184.36
1619926,16,1992,6,Madhya Pradesh,Chhatarpur,7.54,211.71,18.34,514.96,0.42,11.71,1.84,51.74
1619976,16,1997,6,Madhya Pradesh,Chhatarpur,8.05,211.52,22.25,584.79,-1,-1,3.94,103.63
1620036,16,2003,6,Madhya Pradesh,Chhatarpur,34.58,892.14,50.96,1314.59,0.11,2.76,6.59,169.95
1620076,16,2007,6,Madhya Pradesh,Chhatarpur,28.13,857.67,44.77,1365.22,-1,-1,6.84,208.62
1719926,17,1992,6,Madhya Pradesh,Panna,4.32,191.4,2.92,129.38,0.32,14.22,0.84,37.13
1719976,17,1997,6,Madhya Pradesh,Panna,3.46,143.3,3.3,136.76,-1,-1,1.73,71.75
1720036,17,2003,6,Madhya Pradesh,Panna,18.85,763.86,6.52,264.28,0.04,1.58,3.99,161.54
1720076,17,2007,6,Madhya Pradesh,Panna,23.17,1010.77,14.36,626.34,-1,-1,4.02,175.34
1819926,18,1992,6,Madhya Pradesh,Rewa,4.95,135.52,10.92,298.8,1.95,53.23,1.95,53.37
1819976,18,1997,6,Madhya Pradesh,Rewa,0.05,1.23,0.05,1.32,-1,-1,3.15,84.57
1820036,18,2003,6,Madhya Pradesh,Rewa,7.1,190.95,27.66,744.39,0.36,9.66,6.98,187.93
1820076,18,2007,6,Madhya Pradesh,Rewa,3.63,104.7,18.73,539.77,-1,-1,6.27,180.68
1919926,19,1992,6,Madhya Pradesh,Sidhi,3.1,87.55,4.26,120.24,0.02,0.51,0.61,17.25
1919976,19,1997,6,Madhya Pradesh,Sidhi,2.06,54.79,4.92,130.97,-1,-1,1.08,28.87
1920036,19,2003,6,Madhya Pradesh,Sidhi,6.48,179.89,28.26,784.33,1.74,48.3,0.33,9.21
1920076,19,2007,6,Madhya Pradesh,Sidhi,6.02,172.43,11.52,329.91,-1,-1,2.52,72.18
2019926,20,1992,6,Madhya Pradesh,Satna,4.57,128.01,19.95,558.77,1.11,31.09,2.58,72.24
2019976,20,1997,6,Madhya Pradesh,Satna,4.17,115.99,16.97,471.7,-1,-1,4.85,134.7
2020036,20,2003,6,Madhya Pradesh,Satna,8.82,245.08,33.03,918.22,0.13,3.5,4.44,123.33
2020076,20,2007,6,Madhya Pradesh,Satna,4.53,134.24,20.78,615.48,-1,-1,9.72,287.87
2119926,21,1992,6,Madhya Pradesh,Shahdol,2,44.35,1.97,43.57,0.12,2.68,0.49,10.93
2119976,21,1997,6,Madhya Pradesh,Shahdol,5.87,123.09,3.99,83.74,-1,-1,0.84,17.61
2120036,21,2003,6,Madhya Pradesh,Shahdol,3.12,181.13,4.42,256.04,0.07,3.77,0.97,56.3
2120076,21,2007,6,Madhya Pradesh,Shahdol,2.53,148.1,1.84,107.8,-1,-1,1,58.2
2219926,22,1992,6,Madhya Pradesh,Gwalior,2.61,97.1,2.15,79.95,0.33,12.17,3.51,130.47
2219976,22,1997,6,Madhya Pradesh,Gwalior,4.36,160.69,10.43,384.39,-1,-1,7.31,269.5
2220036,22,2003,6,Madhya Pradesh,Gwalior,5.18,251.02,19.21,931.55,0.26,12.36,9.02,437.41
2220076,22,2007,6,Madhya Pradesh,Gwalior,4.53,264.18,17.12,997.75,-1,-1,8.57,499.17
2319926,23,1992,6,Madhya Pradesh,Shivpuri,8.53,210.43,12.36,304.86,0.44,10.8,2.25,55.45
2319976,23,1997,6,Madhya Pradesh,Shivpuri,15.19,359.43,29.76,704.17,-1,-1,3.63,85.97
2320036,23,2003,6,Madhya Pradesh,Shivpuri,37.98,947.87,36.28,905.24,0.1,2.45,7.43,185.36
2320076,23,2007,6,Madhya Pradesh,Shivpuri,30.62,794,34.21,887.15,-1,-1,8.79,227.92
2419926,24,1992,6,Madhya Pradesh,Guna,10.26,163.4,12.8,203.81,1.49,23.65,5.23,83.24
2419976,24,1997,6,Madhya Pradesh,Guna,8.69,137.45,19.88,314.51,-1,-1,7.83,123.92
2420036,24,2003,6,Madhya Pradesh,Guna,25.99,805.54,51.93,1609.4,0.62,19.12,15.82,490.25
2420076,24,2007,6,Madhya Pradesh,Guna,11.78,361.46,44.97,1380.33,-1,-1,9.82,301.3
2519926,25,1992,6,Madhya Pradesh,Datia,2.8,211.08,5.09,383.27,0.48,35.8,1.38,103.99
2519976,25,1997,6,Madhya Pradesh,Datia,3.83,290.09,8.55,648.01,-1,-1,2.37,179.23
2520036,25,2003,6,Madhya Pradesh,Datia,10.79,541.36,15,752.31,0.05,2.41,5.78,289.87
2520076,25,2007,6,Madhya Pradesh,Datia,9.58,558.04,14.33,834.7,-1,-1,6.11,355.76
2619926,26,1992,6,Madhya Pradesh,Morena,7.55,178.02,6.95,163.92,5.83,137.5,6.46,152.45
2619976,26,1997,6,Madhya Pradesh,Morena,5.68,136.45,12.76,306.21,-1,-1,10.32,247.71
2620036,26,2003,6,Madhya Pradesh,Morena,20.36,771.35,16.14,611.37,0.2,7.73,10.78,408.35
2620076,26,2007,6,Madhya Pradesh,Morena,8.48,330.38,11.45,446.35,-1,-1,10.74,418.56
2719926,27,1992,6,Madhya Pradesh,Bhind,2.4,71.31,6.66,197.95,1.14,33.92,4.52,134.48
2719976,27,1997,6,Madhya Pradesh,Bhind,1.63,48.75,7.11,212.37,-1,-1,7.02,209.71
2720036,27,2003,6,Madhya Pradesh,Bhind,10.74,327.5,8.77,267.28,0.14,4.12,9.99,304.57
2720076,27,2007,6,Madhya Pradesh,Bhind,2.1,68.82,8.93,291.97,-1,-1,9.5,310.75
2819926,28,1992,6,Madhya Pradesh,Indore,0.05,1.81,18.54,715.2,0.04,1.47,2.26,87.15
2819976,28,1997,6,Madhya Pradesh,Indore,0.06,2.48,38.21,1483.53,-1,-1,5.41,209.91
2820036,28,2003,6,Madhya Pradesh,Indore,0.93,36.04,43.36,1676.53,0.2,7.73,7.48,289.35
2820076,28,2007,6,Madhya Pradesh,Indore,3.25,126.66,49,1911.99,-1,-1,6.43,250.7
2919926,29,1992,6,Madhya Pradesh,Ratlam,2.1,65.63,33.36,1044.16,0.35,10.95,1.44,45.13
2919976,29,1997,6,Madhya Pradesh,Ratlam,1.39,43.03,39.56,1221.08,-1,-1,2.89,89.17
2920036,29,2003,6,Madhya Pradesh,Ratlam,2.69,81.75,50.77,1540.66,0.06,1.73,4.82,146.35
2920076,29,2007,6,Madhya Pradesh,Ratlam,2.37,71.21,52.57,1577.42,-1,-1,0.27,8.22
3019926,30,1992,6,Madhya Pradesh,Ujjain,0.91,19.14,41.68,878.63,0.53,11.07,2.4,50.67
3019976,30,1997,6,Madhya Pradesh,Ujjain,0.45,9.46,62.49,1304.9,-1,-1,6.5,135.76
3020036,30,2003,6,Madhya Pradesh,Ujjain,3.81,78.05,71.94,1473.26,0.76,15.59,9.88,202.33
3020076,30,2007,6,Madhya Pradesh,Ujjain,2.45,49.93,82.27,1679.37,-1,-1,10.72,218.92
3119926,31,1992,6,Madhya Pradesh,Mandsaur,9.2,167.38,73.95,1345.92,2.43,44.25,3.74,68.09
3119976,31,1997,6,Madhya Pradesh,Mandsaur,4.94,92.44,101.06,1891.48,-1,-1,7.96,148.89
3120036,31,2003,6,Madhya Pradesh,Mandsaur,4.53,127.59,83.5,2350.84,0.65,18.33,6.91,194.65
3120076,31,2007,6,Madhya Pradesh,Mandsaur,1.87,52.32,81.03,2265.88,-1,-1,8.03,224.56
3219926,32,1992,6,Madhya Pradesh,Dewas,1.47,40.38,36.66,1009.03,0.39,10.79,1.65,45.31
