Key,State code,State name,District code,District name, Year, Purpose,Co-operative Number,Co-operative Capacity Mton,Public Number,Public Capacity Mton,Private Number,Private Capacity Mton,Total Number,Total Capacity Mton,
90520092,2,Bihar,905,Purnia  ,2009,Potato,.,.,.,.,5,18550,5,18550,
90620092,2,Bihar,906,Saran,2009,Multipurpose,.,.,.,.,4,8775,4,8775,
90620092,2,Bihar,906,Saran,2009,Potato,.,.,.,.,17,66200,17,66200,
90720092,2,Bihar,907,Patna,2009,Multipurpose,1,9000,.,.,9,39150,10,48150,
90720092,2,Bihar,907,Patna,2009,Potato,1,2400,.,.,14,44095,15,46495,
90920092,2,Bihar,909,Bhagalpur ,2009,Potato,1,4000,.,.,5,16600,6,20600,
91220092,2,Bihar,912,Gaya ,2009,Multipurpose,.,.,.,.,8,37430,8,37430,
91220092,2,Bihar,912,Gaya ,2009,Potato,.,.,.,.,9,19200,9,19200,
91820092,2,Bihar,918,Nalanda,2009,Multipurpose,1,2800,.,.,2,3100,3,5900,
91820092,2,Bihar,918,Nalanda,2009,Potato,.,.,.,.,29,94000,29,94000,
91920092,2,Bihar,919,Nawadah,2009,Potato,.,.,.,.,4,6600,4,6600,
92020092,2,Bihar,920,Aurangabad  ,2009,Potato,.,.,.,.,1,1400,1,1400,
92120092,2,Bihar,921,Bhojpur,2009,Potato,1,4000,.,.,2,12500,3,16500,
92220092,2,Bihar,922,Rohtas,2009,Potato,1,4000,.,.,3,7950,4,11950,
92320092,2,Bihar,923,Siwan,2009,Potato,.,.,.,.,8,16550,8,16550,
92420092,2,Bihar,924,Gopalganj,2009,Multipurpose,.,.,.,.,1,4000,1,4000,
92420092,2,Bihar,924,Gopalganj,2009,Potato,.,.,.,.,10,30150,10,30150,
92520092,2,Bihar,925,Eastchamparan ,2009,Potato,1,4000,.,.,14,60305,15,64305,
92620092,2,Bihar,926,Westchamparan,2009,Multipurpose,.,.,.,.,2,10150,2,10150,
92620092,2,Bihar,926,Westchamparan,2009,Potato,2,7500,.,.,4,14812,6,22312,
92720092,2,Bihar,927,Vaishali,2009,Multipurpose,2,11200,.,.,9,28643,11,39843,
92720092,2,Bihar,927,Vaishali,2009,Potato,.,.,.,.,11,41900,11,41900,
92820092,2,Bihar,928,Sitamarhi,2009,Potato,1,4000,.,.,.,.,1,4000,
92920092,2,Bihar,929,Madhubani,2009,Potato,1,4000,.,.,1,5300,2,9300,
93020092,2,Bihar,930,Samastipur,2009,Multipurpose,.,.,.,.,1,4800,1,4800,
93020092,2,Bihar,930,Samastipur,2009,Potato,.,.,.,.,7,50600,7,50600,
93120092,2,Bihar,931,Begusarai ,2009,Multipurpose,1,4300,.,.,3,17000,4,21300,
93120092,2,Bihar,931,Begusarai ,2009,Potato,.,.,.,.,7,45300,7,45300,
93220092,2,Bihar,932,Katihar,2009,Potato,.,.,.,.,3,12200,3,12200,
93420092,2,Bihar,934,Jahanabad,2009,Potato,1,4000,.,.,1,2000,2,6000,
93620092,2,Bihar,936,Khagaria,2009,Potato,.,.,.,.,1,6300,1,6300,
94520092,2,Bihar,945, Araria,2009,Potato,1,4000,.,.,2,7550,3,11550,
94720092,2,Bihar,947,Buxer,2009,Potato,.,.,.,.,4,23700,4,23700,
94820092,2,Bihar,948,Bhabua,2009,Potato,.,.,.,.,1,5600,1,5600,
95620092,2,Bihar,956,Lakhisarai,2009,Potato,.,.,.,.,1,2200,1,2200,
95820092,2,Bihar,958,Seikhpura,2009,Potato,1,4000,.,.,.,.,1,4000,
12120093,3,Gujarat,121,Ahmedabad ,2009,Dairy Products,.,.,1,811,8,929,9,1740,
12120093,3,Gujarat,121,Ahmedabad ,2009,Marine Products,.,.,.,.,1,85,1,85,
12120093,3,Gujarat,121,Ahmedabad ,2009,Multipurpose,.,.,.,.,15,40646,15,40646,
12120093,3,Gujarat,121,Ahmedabad ,2009,Others,.,.,.,.,1,16,1,16,
12120093,3,Gujarat,121,Ahmedabad ,2009,Potatoes,1,791,.,.,7,20347,8,21138,
12220093,3,Gujarat,122,Amreli ,2009,Multipurpose ,.,.,.,.,1,3000,1,3000,
12320093,3,Gujarat,123,Banaskantha      ,2009,Dairy Products,1,565,.,.,.,.,1,565,
12320093,3,Gujarat,123,Banaskantha      ,2009,Multipurpose ,.,.,.,.,1,2292,1,2292,
12320093,3,Gujarat,123,Banaskantha      ,2009,"Multipurpose,",.,.,.,.,1,2400,1,2400,
12320093,3,Gujarat,123,Banaskantha      ,2009,Potatoes,.,.,2,5814,29,164567,31,170381,
12320093,3,Gujarat,123,Banaskantha      ,2009,Potatoes ,.,.,.,.,5,21786,5,21786,
12320093,3,Gujarat,123,Banaskantha      ,2009,Vegetable & Fruit,.,.,.,.,1,783,1,783,
12420093,3,Gujarat,124,Bharuch,2009,Dairy Products,1,214,.,.,.,.,1,214,
12620093,3,Gujarat,126,Bhavnagar,2009,Dairy Products,.,.,1,120,.,.,1,120,
12620093,3,Gujarat,126,Bhavnagar,2009,Multipurpose,.,.,.,.,2,1755,2,1755,
12620093,3,Gujarat,126,Bhavnagar,2009,Multipurposeclosed /,.,.,.,.,1,834,1,834,
12620093,3,Gujarat,126,Bhavnagar,2009,Potatoes,.,.,.,.,1,2056,1,2056,
12920093,3,Gujarat,129,Jamnagar,2009,       Potatoes,.,.,.,.,1,2000,1,2000,
12920093,3,Gujarat,129,Jamnagar,2009,Dairy Products,.,.,1,15,.,.,1,15,
12920093,3,Gujarat,129,Jamnagar,2009,Multipurpose,.,.,.,.,8,16110,8,16110,
12920093,3,Gujarat,129,Jamnagar,2009,Multipurpose ,.,.,.,.,1,836,1,836,
12920093,3,Gujarat,129,Jamnagar,2009,Potatoes,.,.,.,.,2,2847,2,2847,
51820093,3,Gujarat,518,Gandhinagar,2009,Dairy Products,1,69,.,.,.,.,1,69,
51820093,3,Gujarat,518,Gandhinagar,2009,Multipurpose,.,.,.,.,1,4000,1,4000,
51820093,3,Gujarat,518,Gandhinagar,2009,Multipurpose ,1,2550,.,.,2,2557,3,5107,
51820093,3,Gujarat,518,Gandhinagar,2009,Potatoes,1,3200,.,.,19,105802,20,109002,
17720094,4,Haryana,177,Hissar,2009,Potato,.,.,2,2001,.,.,2,2001,
17820094,4,Haryana,178,Sirsa,2009,Potato,.,.,4,2370,.,.,4,2370,
18020094,4,Haryana,180,Gurgaon,2009,Milk & Milk Product,.,.,2,723,.,.,2,723,
18020094,4,Haryana,180,Gurgaon,2009,Multipurpose,.,.,1,634,.,.,1,634,
18120094,4,Haryana,181,Jind,2009,Potato,.,.,7,6585,.,.,7,6585,
18320094,4,Haryana,183,Ambala,2009,Multi,.,.,.,.,1,60,1,60,
18320094,4,Haryana,183,Ambala,2009,Potato,.,.,22,36634,.,.,22,36634,
18420094,4,Haryana,184,Karnal,2009,Potato,1,889,26,28718,1,2987,28,32594,
18520094,4,Haryana,185,Kurukshetra,2009,Potato,1,1176,51,79698,.,.,52,80874,
18620094,4,Haryana,186,Rohtak,2009,Milk & Milk Product,.,.,.,.,1,160,1,160,
18620094,4,Haryana,186,Rohtak,2009,Multi Purpose,.,.,1,3200,.,.,1,3200,
18620094,4,Haryana,186,Rohtak,2009,Potato,.,.,2,1997,.,.,2,1997,
18720094,4,Haryana,187,Sonepat,2009,Multi Purpose,.,.,44,115552,.,.,44,115552,
18720094,4,Haryana,187,Sonepat,2009,Multipurpose,.,.,5,19248,.,.,5,19248,
18820094,4,Haryana,188,Faridabad,2009,Milk & Milk Product,.,.,.,.,1,231,1,231,
18820094,4,Haryana,188,Faridabad,2009,Potato,.,.,2,2391,.,.,2,2391,
52320094,4,Haryana,523,Yamuna Nagar,2009,Multipurpose,.,.,1,789,.,.,1,789,
52320094,4,Haryana,523,Yamuna Nagar,2009,Potato,.,.,25,28249,.,.,25,28249,
52420094,4,Haryana,524,Kaithal,2009,Multipurpose,.,.,1,1800,.,.,1,1800,
52420094,4,Haryana,524,Kaithal,2009,Potato,.,.,6,5921,.,.,6,5921,
52520094,4,Haryana,525,Panipat,2009,Potato,1,1202,4,4012,.,.,5,5214,
100720094,4,Haryana,1007,Fatehabad,2009,Potato,.,.,6,10920,.,.,6,10920,
100720094,4,Haryana,1007,Tohana,2009,Milk & Milk Product,1,169,.,.,.,.,1,169,
100720094,4,Haryana,1007,Tohana,2009,Potato,1,1176,3,7143,.,.,4,8319,
100920094,4,Haryana,1009,Panchkulla,2009,Potato,.,.,3,1809,.,.,3,1809,
55020095,5,Karnataka,550,Bangalore (Urban),2009,Fish,.,.,1,30,.,.,1,30,
55020095,5,Karnataka,550,Bangalore (Urban),2009,Fruits,.,.,.,.,1,22,1,22,
55020095,5,Karnataka,550,Bangalore (Urban),2009,Ice-Cream,.,.,.,.,3,193,3,193,
55020095,5,Karnataka,550,Bangalore (Urban),2009,Meat,.,.,.,.,2,94,2,94,
55020095,5,Karnataka,550,Bangalore (Urban),2009,Milk Products,2,935,.,.,.,.,2,935,
55020095,5,Karnataka,550,Bangalore (Urban),2009,Multipurpose,1,825,1,726,18,31167,20,32718,
55020095,5,Karnataka,550,Bangalore (Urban),2009,"Potato, ",.,.,.,.,1,5000,1,5000,
6520095,5,Karnataka,65,Kolar,2009,Multipurpose,.,.,.,.,1,3030,1,3030,
6520095,5,Karnataka,65,Kolar,2009,Potato,.,.,2,1350,3,3680,5,5030,
6520095,5,Karnataka,65,Kolar,2009,"Potato, ",.,.,.,.,1,3000,1,3000,
6520095,5,Karnataka,65,Kolar,2009,"Potato,Tamarin",.,.,1,2500,1,1000,2,3500,
6620095,5,Karnataka,66,Tumkur,2009,Milk Products,1,74,.,.,.,.,1,74,
6620095,5,Karnataka,66,Tumkur,2009,Multipurpose,.,.,.,.,1,2500,1,2500,
6720095,5,Karnataka,67,Mysore,2009,Ice-Cream,.,.,.,.,1,13,1,13,
6720095,5,Karnataka,67,Mysore,2009,Milk Products,1,263,.,.,.,.,1,263,
6720095,5,Karnataka,67,Mysore,2009,Multipurpose,.,.,.,.,1,1000,1,1000,
6820095,5,Karnataka,68,Mandya,2009,Milk Products,1,343,.,.,.,.,1,343,
6920095,5,Karnataka,69,Hassan,2009,Milk Products,1,73,.,.,.,.,1,73,
