Key,  State Code,  State name,  District code,  District name,  Year, Potato Area (000Ha), Potato Production (000Tonnes), Sweet Potato Area (000Ha), Sweet Potato Production (000Tonnes), Onion Area (000Ha), Onion Production (000Tonnes), Green onion Area (000Ha), Green onion Production (000Tonnes), Tomato Area (000Ha), Tomato Production (000Tonnes), Ladys finger Area (000Ha), Ladys finger Production (000Tonnes), Brinjal Area (000Ha), Brinjal Production (000Tonnes), Cauliflower Area (000Ha), Cauliflower Production (000Tonnes), Cabbage Area (000Ha), Cabbage Production (000Tonnes), Knol Khol Area (000Ha), Knol Khol Production (000Tonnes), Pumpkin Area (000Ha), Pumpkin Production (000Tonnes), Mushroom Area (000Ha), Mushroom Production (000Tonnes), Drum Stick Area (000Ha), Drum Stick Production (000Tonnes), Ridge Gourd Area (000Ha), Ridge Gourd Production (000Tonnes), Ghosali Area (000Ha), Ghosali Production (000Tonnes), Sponge Gourd Area (000Ha), Sponge Gourd Production (000Tonnes), Bottle Gourd Area (000Ha), Bottle Gourd Production (000Tonnes), Bitter Gourd Area (000Ha), Bitter Gourd Production (000Tonnes), Snake gourd Area (000Ha), Snake gourd Production (000Tonnes), Tinda Area (000Ha), Tinda Production (000Tonnes), Kundru/Perwal Area (000Ha), Kundru/Perwal Production (000Tonnes), Cucurbits Area (000Ha), Cucurbits Production (000Tonnes), Pointed gourd Area (000Ha), Pointed gourd Production (000Tonnes), Ashgourd Area (000Ha), Ashgourd Production (000Tonnes), Little Gourd Area (000Ha), Little Gourd Production (000Tonnes),Gourds &  Coccinia Area (000Ha),Gourds &  Coccinia Production (000Tonnes),Other Gourd Varieties Area (000Ha),Other Gourd Varieties Production (000Tonnes), Gourds Area (000Ha), Gourds Production (000Tonnes), Cowpea Area (000Ha), Cowpea Production (000Tonnes), Green Peas Area (000Ha), Green Peas Production (000Tonnes), Peas Area (000Ha), Peas Production (000Tonnes), Cluster beans Area (000Ha), Cluster beans Production (000Tonnes), Beans Area (000Ha), Beans Production (000Tonnes), French Bean Area (000Ha), French Bean Production (000Tonnes),Beans (All Inc Lab-lab(Sem) Area (000Ha),Beans (All Inc Lab-lab(Sem) Production (000Tonnes), Lab Lab Area (000Ha), Lab Lab Production (000Tonnes), Avarai Area (000Ha), Avarai Production (000Tonnes), Karamani Area (000Ha), Karamani Production (000Tonnes), Mogri Area (000Ha), Mogri Production (000Tonnes), Kakri Area (000Ha), Kakri Production (000Tonnes), Kheera Area (000Ha), Kheera Production (000Tonnes), Gherkins Area (000Ha), Gherkins Production (000Tonnes),Long melon (Kakri) Area (000Ha),Long melon (Kakri) Production (000Tonnes), Kachari Area (000Ha), Kachari Production (000Tonnes), Cucumber Area (000Ha), Cucumber Production (000Tonnes), Leafy Veg. Area (000Ha), Leafy Veg. Production (000Tonnes), Spinach (Palak) Area (000Ha), Spinach (Palak) Production (000Tonnes), Math/Rajgira Area (000Ha), Math/Rajgira Production (000Tonnes), Methi Area (000Ha), Methi Production (000Tonnes), Amaranthus Area (000Ha), Amaranthus Production (000Tonnes), Jimikand Area (000Ha), Jimikand Production (000Tonnes), Yam Area (000Ha), Yam Production (000Tonnes), Elephant Yam Area (000Ha), Elephant Yam Production (000Tonnes), Ratalu Area (000Ha), Ratalu Production (000Tonnes), Tapioca Area (000Ha), Tapioca Production (000Tonnes), Amorphospholus Area (000Ha), Amorphospholus Production (000Tonnes), Mooli Area (000Ha), Mooli Production (000Tonnes), Colocasia Area (000Ha), Colocasia Production (000Tonnes), Arbi Area (000Ha), Arbi Production (000Tonnes), Turnip Area (000Ha), Turnip Production (000Tonnes), Radish Area (000Ha), Radish Production (000Tonnes), Carrot Area (000Ha), Carrot Production (000Tonnes),"Radish, Turnip & Carrot Area (000Ha)","Radish, Turnip & Carrot Production (000Tonnes)","  Root 
crops Area (000Ha)","  Root 
crops Production (000Tonnes)",Other Root crops Area (000Ha),Other Root crops Production (000Tonnes), Beetroot Area (000Ha), Beetroot Production (000Tonnes), Wall (pawata) Area (000Ha), Wall (pawata) Production (000Tonnes), Wal Area (000Ha), Wal Production (000Tonnes), Vine Crops Area (000Ha), Vine Crops Production (000Tonnes), Oal Area (000Ha), Oal Production (000Tonnes), Green Chillies Area (000Ha), Green Chillies Production (000Tonnes),Capsicum &  Chillies Area (000Ha),Capsicum &  Chillies Production (000Tonnes), Capsicum Area (000Ha), Capsicum Production (000Tonnes), Shimla Mirchi Area (000Ha), Shimla Mirchi Production (000Tonnes), Water Melon Area (000Ha), Water Melon Production (000Tonnes), Musk Melon Area (000Ha), Musk Melon Production (000Tonnes), Turmeric Area (000Ha), Turmeric Production (000Tonnes), Garlic Area (000Ha), Garlic Production (000Tonnes), Curry leaves Area (000Ha), Curry leaves Production (000Tonnes), Mint Area (000Ha), Mint Production (000Tonnes),Green Coriander Area (000Ha),Green Coriander Production (000Tonnes),Other Vegetables Area (000Ha),Other Vegetables Production (000Tonnes),Total  Vegetables Area (000Ha),Total  Vegetables Production (000Tonnes),
92720102,2,Bihar,927,Vaishali,2010,12.75,232.01,0.05,0.99,1.74,36.58,.,.,3.81,89.96,3.48,49.43,3.07,68.81,4.97,91.41,2.45,46.14,.,.,.,.,.,.,.,.,0.44,2.79,.,.,2.09,30.11,1.68,38.40,0.51,4.20,.,.,.,.,.,.,.,.,0.58,6.58,0.03,0.66,.,.,.,.,.,.,.,.,0.75,6.28,.,.,0.64,4.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.14,1.55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.08,0.93,.,.,.,.,0.96,15.50,0.29,3.59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,2.61,1.66,20.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.58,23.35,43.80,776.69,
92720112,2,Bihar,927,Vaishali,2011,12.76,247.56,0.05,1.12,1.78,42.82,.,.,3.85,94.01,3.50,51.76,3.09,73.64,4.98,94.10,2.48,48.05,.,.,0.03,0.41,.,.,.,.,0.46,3.15,.,.,2.11,31.26,1.70,39.39,0.52,4.40,.,.,.,.,.,.,.,.,0.60,8.91,0.04,0.89,.,.,.,.,.,.,.,.,0.76,6.81,.,.,0.66,5.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.15,1.75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,1.05,.,.,.,.,0.97,16.51,0.30,3.87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,3.11,1.68,21.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.56,23.81,44.17,825.77,
92720142,2,Bihar,927,Vaishali,2014,9.90,290.50,0.50,1.00,1.80,44.00,.,.,3.90,92.00,3.50,50.00,3.20,69.00,6.00,100.00,2.50,55.00,.,.,0.00,0.10,.,.,.,.,.,.,.,.,.,.,1.70,40.00,0.50,4.30,.,.,.,.,.,.,.,.,0.60,6.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.60,4.70,.,.,0.80,6.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,2.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.00,15.50,0.30,3.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.80,21.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.60,24.00,40.40,832.10,
92720152,2,Bihar,927,Vaishali,2015,9.91,290.50,0.50,1.00,1.80,44.00,.,.,3.90,92.00,3.50,50.00,3.21,69.00,6.00,100.00,2.50,55.00,.,.,.,0.10,.,.,.,.,.,.,.,.,.,.,1.70,40.00,0.50,4.30,.,.,.,.,.,.,.,.,0.60,6.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.60,4.70,.,.,0.80,6.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,2.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.00,15.50,0.30,3.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.80,21.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.60,24.00,40.42,832.10,
92720162,2,Bihar,927,Vaishali,2016,9.90,290.27,0.50,1.00,1.80,44.05,.,.,3.90,92.02,3.50,50.01,3.21,69.15,6.00,99.92,2.50,55.02,.,.,.,0.10,.,.,.,.,.,.,.,.,.,.,1.70,40.02,0.50,4.30,.,.,.,.,.,.,.,.,0.61,6.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.61,4.79,.,.,0.80,6.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,2.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.00,15.50,0.30,3.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.80,21.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.60,24.00,40.43,832.30,
92820092,2,Bihar,928,Sitamarhi,2009,6.69,115.03,0.02,0.48,1.32,25.19,.,.,1.48,32.88,1.09,14.77,1.22,25.89,1.33,22.56,0.96,17.12,.,.,.,.,.,.,.,.,0.17,1.01,.,.,0.96,13.26,1.10,22.78,0.12,0.86,.,.,.,.,.,.,.,.,0.07,0.75,0.01,0.24,.,.,.,.,.,.,.,.,0.16,1.16,.,.,0.19,1.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.13,.,.,.,.,0.41,6.59,0.11,1.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.59,0.73,8.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.79,11.39,18.97,323.92,
92820102,2,Bihar,928,Sitamarhi,2010,6.70,121.25,0.03,0.58,1.33,27.46,.,.,1.49,33.90,1.09,14.54,1.24,26.70,1.34,24.16,0.97,17.67,.,.,.,.,.,.,.,.,0.17,1.04,.,.,0.97,13.23,1.11,22.83,0.14,0.97,.,.,.,.,.,.,.,.,0.08,0.89,0.02,0.38,.,.,.,.,.,.,.,.,0.18,1.34,.,.,0.19,1.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.20,.,.,.,.,0.42,6.48,0.12,1.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.98,0.74,8.39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,11.41,19.19,337.51,
92820112,2,Bihar,928,Sitamarhi,2011,6.72,128.30,0.03,0.69,1.35,30.67,.,.,1.49,34.66,1.10,15.24,1.25,27.35,1.35,24.67,0.98,18.07,.,.,0.01,0.16,.,.,.,.,0.18,1.21,.,.,0.99,13.83,1.12,24.57,0.14,1.07,.,.,.,.,.,.,.,.,0.09,1.07,0.02,0.46,.,.,.,.,.,.,.,.,0.18,1.47,.,.,0.20,1.61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.28,.,.,.,.,0.43,6.85,0.12,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,1.07,0.75,8.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.79,11.66,19.39,355.73,
92820142,2,Bihar,928,Sitamarhi,2014,5.10,136.50,0.00,0.60,1.30,32.50,.,.,1.50,33.90,1.00,14.60,1.30,26.90,1.40,24.20,0.90,17.80,.,.,0.00,0.40,.,.,.,.,.,.,.,.,.,.,1.20,23.00,0.10,1.00,.,.,.,.,.,.,.,.,0.10,0.90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,1.40,.,.,0.20,1.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,6.50,0.10,1.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.70,8.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,11.50,16.70,344.10,
92820152,2,Bihar,928,Sitamarhi,2015,5.10,136.50,.,0.60,1.30,32.50,.,.,1.50,33.90,1.00,14.60,1.30,26.90,1.40,24.20,0.90,17.80,.,.,.,0.40,.,.,.,.,.,.,.,.,.,.,1.20,23.00,0.10,1.00,.,.,.,.,.,.,.,.,0.10,0.90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,1.40,.,.,0.20,1.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,6.50,0.10,1.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.70,8.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,11.50,16.70,344.10,
92820162,2,Bihar,928,Sitamarhi,2016,5.12,137.09,.,0.60,1.30,32.58,.,.,1.58,35.60,1.00,14.63,1.31,27.15,1.41,24.41,0.91,17.92,.,.,.,0.40,.,.,.,.,.,.,.,.,.,.,1.22,23.29,0.10,1.00,.,.,.,.,.,.,.,.,0.10,0.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.21,1.48,.,.,0.20,1.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,6.50,0.10,1.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.71,8.44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.80,11.50,16.87,347.59,
92920092,2,Bihar,929,Madhubani,2009,10.10,168.74,0.02,0.48,1.12,20.98,.,.,1.26,28.64,1.56,20.29,1.98,40.83,2.58,43.28,1.45,25.89,.,.,.,.,.,.,.,.,0.25,1.59,.,.,1.39,19.28,0.57,11.70,0.33,2.42,.,.,.,.,.,.,.,.,0.13,1.40,0.01,0.28,.,.,.,.,.,.,.,.,0.32,2.49,.,.,0.28,1.98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.26,.,.,.,.,0.44,6.79,0.13,1.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.23,1.20,13.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.21,17.09,26.40,429.83,
92920102,2,Bihar,929,Madhubani,2010,10.12,185.18,0.03,0.65,1.12,21.30,.,.,1.26,28.80,1.57,21.95,1.99,43.07,2.58,45.74,1.47,27.09,.,.,.,.,.,.,.,.,0.26,1.68,.,.,1.40,19.43,0.58,11.79,0.34,2.30,.,.,.,.,.,.,.,.,0.15,1.54,0.02,0.44,.,.,.,.,.,.,.,.,0.33,2.56,.,.,0.29,2.02,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,0.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,0.33,.,.,.,.,0.45,6.99,0.13,1.55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.42,1.21,14.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.22,17.34,26.61,456.86,
92920112,2,Bihar,929,Madhubani,2011,10.12,189.32,0.04,0.77,1.13,24.59,.,.,1.27,29.19,1.58,22.49,2.01,44.06,2.59,46.60,1.49,27.49,.,.,0.02,0.28,.,.,.,.,0.27,1.82,.,.,1.41,20.32,0.59,12.82,0.35,2.60,.,.,.,.,.,.,.,.,0.16,2.32,0.02,0.54,.,.,.,.,.,.,.,.,0.34,2.83,.,.,0.30,2.44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,0.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.44,.,.,.,.,0.46,7.64,0.14,1.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.52,1.22,14.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.21,17.59,26.81,473.39,
92920142,2,Bihar,929,Madhubani,2014,7.70,206.90,0.00,0.70,1.10,25.30,.,.,1.30,29.80,1.60,22.00,2.10,43.20,2.60,45.80,1.50,27.10,.,.,0.00,0.40,.,.,.,.,.,.,.,.,.,.,0.60,11.80,0.30,2.30,.,.,.,.,.,.,.,.,0.10,1.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.30,2.00,.,.,0.30,2.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,7.00,0.10,1.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.20,14.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.20,17.30,22.40,462.40,
92920152,2,Bihar,929,Madhubani,2015,7.73,206.90,.,0.70,1.10,25.30,.,.,1.30,29.80,1.60,22.00,2.11,43.20,2.60,45.80,1.50,27.10,.,.,.,0.40,.,.,.,.,.,.,.,.,.,.,0.60,11.80,0.30,2.30,.,.,.,.,.,.,.,.,0.10,1.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.30,2.00,.,.,0.30,2.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,7.00,0.10,1.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.20,14.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.20,17.30,22.44,462.40,
92920162,2,Bihar,929,Madhubani,2016,7.80,208.77,.,0.70,1.00,23.00,.,.,1.30,29.80,1.59,21.86,2.10,43.00,2.60,45.80,1.50,27.10,.,.,.,0.40,.,.,.,.,.,.,.,.,.,.,0.61,12.00,0.30,2.31,.,.,.,.,.,.,.,.,0.12,1.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.32,2.13,.,.,0.30,2.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,7.00,0.10,1.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.21,14.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.20,17.30,22.45,462.37,
93020092,2,Bihar,930,Samastipur,2009,11.88,201.89,0.07,1.45,1.24,24.32,.,.,1.74,39.74,1.74,24.26,2.21,51.62,2.91,53.31,1.78,32.32,.,.,.,.,.,.,.,.,0.21,1.34,.,.,1.40,20.06,1.07,22.43,0.34,2.48,.,.,.,.,.,.,.,.,0.24,2.76,0.01,0.30,.,.,.,.,.,.,.,.,0.40,3.51,.,.,0.39,2.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.08,1.03,.,.,.,.,0.65,10.59,0.20,2.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.14,6.60,1.44,17.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.55,22.72,31.82,546.40,
93020102,2,Bihar,930,Samastipur,2010,11.90,221.25,0.08,1.59,1.26,25.60,.,.,1.75,41.75,1.75,24.47,2.22,50.57,2.94,53.47,1.80,33.46,.,.,.,.,.,.,.,.,0.24,1.56,.,.,1.43,20.71,1.09,23.70,0.37,2.87,.,.,.,.,.,.,.,.,0.27,2.98,0.02,0.57,.,.,.,.,.,.,.,.,0.43,3.60,.,.,0.42,3.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.11,1.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.09,1.14,.,.,.,.,0.67,10.81,0.21,2.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.15,7.17,1.45,17.44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.56,23.03,32.20,574.73,
93020112,2,Bihar,930,Samastipur,2011,11.93,239.73,0.09,1.81,1.28,30.87,.,.,1.78,43.64,1.78,26.12,2.24,53.02,2.95,55.40,1.81,35.01,.,.,0.03,0.39,.,.,.,.,0.24,1.76,.,.,1.41,20.96,1.10,25.56,0.38,3.15,.,.,.,.,.,.,.,.,0.30,4.32,0.03,0.65,.,.,.,.,.,.,.,.,0.44,3.97,.,.,0.44,3.85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.12,1.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.29,.,.,.,.,0.68,11.46,0.22,2.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.16,7.54,1.47,18.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.48,22.68,32.44,615.89,
93020142,2,Bihar,930,Samastipur,2014,9.20,250.00,0.10,1.60,1.40,30.40,.,.,1.90,41.80,1.70,24.50,2.30,58.50,3.00,59.50,1.90,38.50,.,.,0.00,0.60,.,.,.,.,.,.,.,.,.,.,1.00,23.70,0.40,2.90,.,.,.,.,.,.,.,.,0.30,3.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,3.20,.,.,0.40,3.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,7.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.70,10.80,0.20,2.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.50,17.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.60,23.00,28.30,604.00,
93020152,2,Bihar,930,Samastipur,2015,9.20,250.00,0.10,1.60,1.40,30.40,.,.,1.90,41.80,1.70,24.50,2.31,58.50,3.00,59.50,1.90,38.50,.,.,.,0.60,.,.,.,.,.,.,.,.,.,.,1.00,23.70,0.40,2.90,.,.,.,.,.,.,.,.,0.30,3.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,3.20,.,.,0.40,3.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,7.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.70,10.80,0.20,2.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.50,17.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.60,23.00,28.31,604.00,
93020162,2,Bihar,930,Samastipur,2016,9.21,250.22,0.10,1.60,1.40,30.47,.,.,1.91,42.06,1.71,24.66,2.31,58.53,3.01,59.74,1.91,38.72,.,.,.,0.60,.,.,.,.,.,.,.,.,.,.,1.01,23.98,0.40,2.90,.,.,.,.,.,.,.,.,0.30,3.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.40,3.21,.,.,0.40,3.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.10,1.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.20,7.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.70,10.80,0.20,2.60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.51,17.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.60,23.00,28.39,605.61,
93120092,2,Bihar,931,Begusarai,2009,7.77,132.83,0.03,0.63,1.97,38.47,.,.,1.85,41.88,2.27,29.50,2.66,61.13,1.85,33.28,1.07,19.11,.,.,.,.,.,.,.,.,0.23,1.43,.,.,1.50,21.12,1.01,21.07,0.22,1.61,.,.,.,.,.,.,.,.,0.21,2.31,0.01,0.14,.,.,.,.,.,.,.,.,0.36,3.01,.,.,0.31,2.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,0.71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,0.74,.,.,.,.,0.53,8.57,0.13,1.61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03,1.47,1.41,16.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.45,20.52,26.99,459.92,
93120102,2,Bihar,931,Begusarai,2010,7.79,146.40,0.04,0.72,1.98,40.04,.,.,1.86,43.48,2.27,31.38,2.67,58.70,1.87,34.07,1.08,19.84,.,.,.,.,.,.,.,.,0.24,1.55,.,.,1.52,21.46,1.02,21.91,0.24,1.84,.,.,.,.,.,.,.,.,0.23,2.50,0.01,0.27,.,.,.,.,.,.,.,.,0.37,3.05,.,.,0.33,2.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,0.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,0.78,.,.,.,.,0.55,8.78,0.14,1.68,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,2.30,1.43,16.99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46,21.19,27.29,482.10,
